date,site,plot,treatment,sp,ID,no_green,infec,leaves_tot,leaves_infec,Bp_spots_Ev,seeds_collected,field_notes
20180827,D1,1,water,Ev,1,1,NA,NA,NA,NA,0,
20180827,D1,1,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,1,water,Ev,3,1,NA,NA,NA,NA,1,
20180827,D1,1,water,Ev,A,0,0,2,0,0,1,
20180827,D1,1,water,Mv,1,0,1,7,5,NA,NA,
20180827,D1,1,water,Mv,2,0,1,7,5,NA,NA,
20180827,D1,1,water,Mv,3,0,1,6,3,NA,NA,
20180827,D1,2,water,Ev,1,0,1,4,2,1,0,
20180827,D1,2,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,2,water,Ev,3,0,0,2,0,0,0,
20180827,D1,2,water,Ev,A,0,1,5,3,1,1,
20180827,D1,2,water,Mv,1,0,1,6,4,NA,NA,
20180827,D1,2,water,Mv,2,0,1,4,3,NA,NA,
20180827,D1,2,water,Mv,3,0,1,6,5,NA,NA,
20180827,D1,3,water,Ev,1,0,1,3,3,1,0,
20180827,D1,3,water,Ev,2,0,1,2,2,1,0,
20180827,D1,3,water,Ev,3,0,1,5,2,0,0,
20180827,D1,3,water,Ev,A,0,1,6,6,1,0,
20180827,D1,3,water,Mv,1,0,1,3,3,NA,NA,
20180827,D1,3,water,Mv,2,0,1,9,8,NA,NA,
20180827,D1,3,water,Mv,3,0,1,6,4,NA,NA,
20180827,D1,4,water,Ev,1,0,1,2,1,0,0,
20180827,D1,4,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,4,water,Ev,3,1,NA,NA,NA,NA,0,
20180827,D1,4,water,Ev,A,0,0,4,0,0,1,
20180827,D1,4,water,Mv,1,0,0,6,0,NA,NA,
20180827,D1,4,water,Mv,2,0,1,7,2,NA,NA,
20180827,D1,4,water,Mv,3,0,1,8,2,NA,NA,
20180827,D1,5,water,Ev,1,1,NA,NA,NA,NA,0,
20180827,D1,5,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,5,water,Ev,3,1,NA,NA,NA,NA,0,
20180827,D1,5,water,Ev,A,0,0,3,0,0,1,
20180827,D1,5,water,Mv,1,0,0,9,0,NA,NA,
20180827,D1,5,water,Mv,2,0,0,8,0,NA,NA,
20180827,D1,5,water,Mv,3,0,0,4,0,NA,NA,
20180827,D1,6,water,Ev,1,0,1,4,1,0,0,
20180827,D1,6,water,Ev,2,0,0,2,0,0,0,
20180827,D1,6,water,Ev,3,0,1,1,1,1,0,
20180827,D1,6,water,Ev,A,0,1,3,3,0,0,
20180827,D1,6,water,Ev,R1,0,1,NA,NA,0,0,
20180827,D1,6,water,Ev,R2,0,0,NA,NA,0,1,
20180827,D1,6,water,Ev,R3,0,1,NA,NA,1,1,
20180827,D1,6,water,Ev,R4,0,1,NA,NA,0,0,didn't take leaf to scan because it was the last one
20180827,D1,6,water,Ev,R5,0,1,NA,NA,1,1,
20180827,D1,6,water,Mv,1,0,1,4,4,NA,NA,
20180827,D1,6,water,Mv,2,0,1,5,4,NA,NA,
20180827,D1,6,water,Mv,3,0,1,6,5,NA,NA,
20180827,D1,7,water,Ev,1,0,1,3,1,0,0,
20180827,D1,7,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,7,water,Ev,3,0,1,4,4,1,0,
20180827,D1,7,water,Ev,A,0,1,7,6,0,0,
20180827,D1,7,water,Ev,R1,1,NA,NA,NA,NA,0,
20180827,D1,7,water,Ev,R11,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R2,0,1,NA,NA,0,1,
20180827,D1,7,water,Ev,R3,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R4,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R5,0,1,NA,NA,1,1,
20180827,D1,7,water,Ev,R6,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R7,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R8,0,1,NA,NA,1,0,
20180827,D1,7,water,Ev,R9,0,1,NA,NA,1,0,
20180827,D1,7,water,Mv,1,0,1,8,6,NA,NA,
20180827,D1,7,water,Mv,2,0,1,5,4,NA,NA,
20180827,D1,7,water,Mv,3,0,1,4,4,NA,NA,
20180827,D1,8,water,Ev,1,0,1,2,2,1,0,
20180827,D1,8,water,Ev,2,1,NA,NA,NA,NA,0,
20180827,D1,8,water,Ev,3,0,1,4,1,0,1,
20180827,D1,8,water,Ev,A,1,NA,NA,NA,NA,0,
20180827,D1,8,water,Ev,AR1,0,1,NA,NA,1,1,
20180827,D1,8,water,Ev,AR2,0,1,NA,NA,1,0,
20180827,D1,8,water,Mv,1,0,1,8,6,NA,NA,
20180827,D1,8,water,Mv,2,0,1,6,6,NA,NA,
20180827,D1,8,water,Mv,3,0,1,9,7,NA,NA,
20180827,D1,9,water,Ev,1,0,0,2,0,0,0,
20180827,D1,9,water,Ev,2,0,1,4,3,0,1,
20180827,D1,9,water,Ev,3,0,0,4,0,0,1,
20180827,D1,9,water,Ev,A,0,1,1,1,0,1,
20180827,D1,9,water,Ev,AR1,0,1,NA,NA,1,1,
20180827,D1,9,water,Ev,AR2,0,1,NA,NA,1,1,
20180827,D1,9,water,Ev,AS1,0,1,3,1,0,1,
20180827,D1,9,water,Ev,AS2,0,1,3,1,1,1,
20180827,D1,9,water,Mv,1,0,1,9,2,NA,NA,
20180827,D1,9,water,Mv,2,0,1,7,3,NA,NA,
20180827,D1,9,water,Mv,3,0,1,6,1,NA,NA,
20180827,D1,10,water,Ev,1,0,1,3,1,0,0,
20180827,D1,10,water,Ev,2,0,1,4,2,0,0,
20180827,D1,10,water,Ev,3,1,NA,NA,NA,NA,0,
20180827,D1,10,water,Ev,A,0,0,2,0,0,1,
20180827,D1,10,water,Ev,R1,0,1,NA,NA,1,1,
20180827,D1,10,water,Ev,R2,0,1,NA,NA,1,1,
20180827,D1,10,water,Ev,R3,0,1,NA,NA,1,1,
20180827,D1,10,water,Ev,R4,0,1,NA,NA,1,1,
20180827,D1,10,water,Ev,R5,0,1,NA,NA,0,0,
20180827,D1,10,water,Ev,R6,0,1,NA,NA,0,0,
20180827,D1,10,water,Ev,R7,0,1,NA,NA,0,1,
20180827,D1,10,water,Ev,R8,0,1,NA,NA,1,0,
20180827,D1,10,water,Mv,1,0,1,4,4,NA,NA,
20180827,D1,10,water,Mv,2,0,1,7,7,NA,NA,
20180827,D1,10,water,Mv,3,0,1,7,6,NA,NA,
20180827,D1,1,fungicide,Ev,1,1,NA,NA,NA,NA,0,
20180827,D1,1,fungicide,Ev,2,0,1,6,2,0,0,
20180827,D1,1,fungicide,Ev,3,0,1,7,1,1,0,
20180827,D1,1,fungicide,Ev,A,0,1,4,2,0,1,
20180827,D1,1,fungicide,Mv,1,0,0,8,0,NA,NA,
20180827,D1,1,fungicide,Mv,2,0,0,8,0,NA,NA,
20180827,D1,1,fungicide,Mv,3,0,0,8,0,NA,NA,
20180827,D1,2,fungicide,Ev,1,0,1,8,6,1,0,
20180827,D1,2,fungicide,Ev,2,0,1,6,5,1,0,
20180827,D1,2,fungicide,Ev,3,0,1,4,1,0,0,
20180827,D1,2,fungicide,Ev,A,0,1,9,4,1,1,
20180827,D1,2,fungicide,Mv,1,0,1,7,2,NA,NA,
20180827,D1,2,fungicide,Mv,2,0,1,5,3,NA,NA,
20180827,D1,2,fungicide,Mv,3,0,1,3,1,NA,NA,
