date,site,flag_color,plot,litter,seeds_added,mv_germ,mv_infec,ev_germ,ev_infec,mv_germ_ev
20180706,L1,pink,1,live,yes,392,0,9,0,294
20180706,L1,pink,2,live,no,,,,,
20180706,L1,pink,3,live,yes,527,1,0,0,547
20180706,L1,pink,4,live,no,,,,,
20180706,L1,pink,5,live,yes,31,0,7,0,62
20180706,L1,pink,6,live,no,,,,,
20180706,L1,orange,7,sterilized,yes,120,0,13,0,188
20180706,L1,orange,8,sterilized,no,,,,,
20180706,L1,orange,9,sterilized,yes,183,0,11,0,20
20180706,L1,orange,10,sterilized,no,,,,,
20180706,L1,orange,11,sterilized,yes,213,0,13,0,181
20180706,L1,orange,12,sterilized,no,,,,,
20180706,L1,yellow,13,none,yes,465,0,7,0,196
20180706,L2,pink,1,live,yes,462,0,0,0,639
20180706,L2,pink,2,live,no,,,,,
20180706,L2,pink,3,live,yes,128,0,7,0,130
20180706,L2,pink,4,live,no,,,,,
20180706,L2,pink,5,live,yes,250,0,8,0,54
20180706,L2,pink,6,live,no,,,,,
20180706,L2,orange,7,sterilized,yes,421,0,0,0,303
20180706,L2,orange,8,sterilized,no,,,,,
20180706,L2,orange,9,sterilized,yes,206,0,8,0,98
20180706,L2,orange,10,sterilized,no,,,,,
20180706,L2,orange,11,sterilized,yes,92,0,1,0,209
20180706,L2,orange,12,sterilized,no,,,,,
20180706,L2,yellow,13,none,yes,124,0,8,0,40
20180706,L3,pink,1,live,yes,245,0,5,0,241
20180706,L3,pink,2,live,no,,,,,
20180706,L3,pink,3,live,yes,142,0,6,0,219
20180706,L3,pink,4,live,no,,,,,
20180706,L3,pink,5,live,yes,200,0,11,0,210
20180706,L3,pink,6,live,no,,,,,
20180706,L3,orange,7,sterilized,yes,51,0,4,0,86
20180706,L3,orange,8,sterilized,no,,,,,
20180706,L3,orange,9,sterilized,yes,250,0,7,0,227
20180706,L3,orange,10,sterilized,no,,,,,
20180706,L3,orange,11,sterilized,yes,163,0,8,0,77
20180706,L3,orange,12,sterilized,no,,,,,
20180706,L3,yellow,13,none,yes,189,0,2,0,65
20180706,L4,pink,1,live,yes,279,0,4,0,171
20180706,L4,pink,2,live,no,,,,,
20180706,L4,pink,3,live,yes,185,0,6,0,72
20180706,L4,pink,4,live,no,,,,,
20180706,L4,pink,5,live,yes,35,0,2,0,12
20180706,L4,pink,6,live,no,,,,,
20180706,L4,orange,7,sterilized,yes,158,0,2,0,99
20180706,L4,orange,8,sterilized,no,,,,,
20180706,L4,orange,9,sterilized,yes,86,0,11,0,9
20180706,L4,orange,10,sterilized,no,,,,,
20180706,L4,orange,11,sterilized,yes,79,0,6,0,4
20180706,L4,orange,12,sterilized,no,,,,,
20180706,L4,yellow,13,none,yes,94,0,4,0,65
