site,plot,treatment,count,type,processor,process_date,processing_notes
D1,1,fungicide,12,o,cs,10/29/18,
D1,2,fungicide,4,o,dn,10/9/18,
D1,3,fungicide,6,o,zc,9/29/18,
D1,4,fungicide,58,o,cs,11/9/18,
D1,5,fungicide,4,o,cw,11/30/18,
D1,6,fungicide,1,o,cs,11/14/18,
D1,7,fungicide,6,o,zc,9/29/18,
D1,8,fungicide,5,o,zc,9/29/18,
D1,9,fungicide,44,o,cs,11/14/18,
D1,10,fungicide,15,o,zc,9/29/18,
D1,1,water,16,o,cw,11/30/18,
D1,2,water,15,o,cs,11/12/18,
D1,3,water,14,o,cw,11/30/18,
D1,4,water,8,o,zc,9/29/18,
D1,5,water,6,o,cw,11/30/18,
D1,6,water,2,o,cs,11/12/18,
D1,7,water,12,o,cw,11/30/18,
D1,8,water,1,o,cs,11/12/18,
D1,9,water,5,o,cs,11/9/18,
D1,10,water,10,o,cw,11/30/18,
D2,1,fungicide,3,o,cs,11/12/18,
D2,2,fungicide,9,o,cw,11/30/18,
D2,3,fungicide,22,o,cs,11/12/18,
D2,4,fungicide,35,o,cw,11/30/18,
D2,5,fungicide,4,o,cs,11/9/18,
D2,6,fungicide,21,o,cs,11/9/18,
D2,7,fungicide,12,o,cw,11/30/18,
D2,8,fungicide,2,o,cs,11/12/18,
D2,9,fungicide,8,o,zc,9/29/18,
D2,10,fungicide,18,o,cw,11/30/18,
D2,1,water,4,o,unknown,unknown,
D2,2,water,8,o,zc,9/29/18,
D2,3,water,13,o,cw,11/30/18,
D2,4,water,6,o,cs,11/16/18,
D2,5,water,12,o,ak,12/13/18,picture taken September 27 rather than July 9 (all others)
D2,6,water,20,o,cw,11/30/18,
D2,7,water,10,o,cs,11/9/18,
D2,8,water,16,o,cw,11/30/18,
D2,9,water,45,o,zc,9/29/18,
D2,10,water,10,o,cw,11/30/18,
D3,1,fungicide,11,o,zc,9/29/18,
D3,2,fungicide,2,o,cw,11/30/18,
D3,3,fungicide,12,o,cs,11/16/18,
D3,4,fungicide,6,o,zc,9/29/18,
D3,5,fungicide,5,o,cs,11/16/18,
D3,6,fungicide,13,o,cw,11/30/18,
D3,7,fungicide,16,o,cs,11/9/18,
D3,8,fungicide,12,o,cw,11/30/18,
D3,9,fungicide,13,o,cs,10/29/18,
D3,10,fungicide,18,o,cw,11/30/18,
D3,1,water,2,o,zc,9/29/18,
D3,2,water,11,o,cs,11/16/18,
D3,3,water,8,o,cw,11/30/18,
D3,4,water,24,o,cs,11/9/18,
D3,5,water,6,o,cw,11/30/18,used alt photo
D3,6,water,7,o,cw,11/30/18,
D3,7,water,25,o,cs,10/29/18,
D3,8,water,5,o,zc,9/29/18,
D3,9,water,5,o,cs,11/14/18,
D3,10,water,13,o,cw,11/30/18,
D4,1,fungicide,27,o,cs,10/29/18,
D4,2,fungicide,27,o,cw,11/30/18,
D4,3,fungicide,36,o,cs,11/12/18,
D4,4,fungicide,16,o,cw,11/30/18,
D4,5,fungicide,23,o,cs,11/16/18,
D4,6,fungicide,44,c,zc,9/29/18,
D4,7,fungicide,14,o,cw,11/30/18,used alt photo
D4,8,fungicide,NA,NA,NA,NA,tree fell on plot
D4,9,fungicide,34,o,cw,11/30/18,
D4,10,fungicide,NA,NA,NA,NA,tree fell on plot
D4,1,water,42,o,cs,11/14/18,
D4,2,water,28,o,cs,11/16/18,
D4,3,water,21,o,zc,9/29/18,
D4,4,water,35,o,cs,11/14/18,
D4,5,water,12,o,cw,11/30/18,
D4,6,water,10,o,cs,11/12/18,
D4,7,water,37,o,cw,11/30/18,
D4,8,water,14,o,cs,11/12/18,
D4,9,water,35,o,cs,11/12/18,
D4,10,water,22,o,cs,11/16/18,
