treatment,pot,sp,biomass_type,weight.g,notes
water,5,Ev,dead,8.63,
fungicide,9,Ev,live,3.61,
fungicide,3,Ev,dead,8.71,
water,5,Ev,live,2.09,
fungicide,9,Ev,dead,7.76,
fungicide,3,Ev,live,6.37,
fungicide,1,Ev,dead,6.89,
fungicide,6,Ev,live,8.84,
fungicide,1,Ev,live,3.13,
water,7,Ev,live,1.73,
water,3,Ev,dead,4.35,
fungicide,6,Ev,dead,8.65,
water,7,Ev,dead,15.55,
water,3,Ev,live,10.31,
water,1,Ev,live,8.98,
water,1,Ev,dead,6.23,
fungicide,10,Ev,live,2.94,
fungicide,5,Ev,live,4.22,
water,2,Ev,live,6.66,
fungicide,7,Ev,live,5.14,
fungicide,10,Ev,dead,11.72,includes seeds
fungicide,4,Ev,dead,4.27,
fungicide,4,Ev,live,7.31,
fungicide,2,Ev,dead,5.5,
fungicide,5,Ev,dead,9.9,
water,9,Ev,dead,5.97,
water,4,Ev,dead,8.55,
fungicide,7,Ev,dead,9.68,
fungicide,8,Ev,dead,5.31,
water,6,Ev,dead,7.04,
fungicide,8,Ev,live,8.43,
water,4,Ev,live,6.71,
water,2,Ev,dead,5.26,
water,9,Ev,live,6.48,
fungicide,2,Ev,live,10.06,
water,6,Ev,live,4.8,
water,10,Ev,live,4.91,
water,10,Ev,dead,6.29,
