site,plot,treatment,sp,ID,weight,seeds_collected,seeds_green,processing_notes
D1,1,fungicide,Ev,1,0.87,0,0,
D1,1,fungicide,Ev,2,0.05,0,0,
D1,1,fungicide,Ev,3,0.04,0,0,
D1,1,fungicide,Ev,A,4.1,0,0,
D1,2,fungicide,Ev,1,0.98,1,0,
D1,2,fungicide,Ev,2,1.83,1,1,
D1,2,fungicide,Ev,3,1.68,0,0,
D1,2,fungicide,Ev,A,0.85,0,0,
D1,3,fungicide,Ev,1,1.09,0,0,
D1,3,fungicide,Ev,2,1.02,0,0,
D1,3,fungicide,Ev,3,0.88,0,0,
D1,3,fungicide,Ev,A,3.47,1,0.5,
D1,4,fungicide,Ev,1,0.48,0,0,
D1,4,fungicide,Ev,2,1.22,1,0.5,
D1,4,fungicide,Ev,3,0.27,0,0,
D1,4,fungicide,Ev,A,4.43,0,0,
D1,5,fungicide,Ev,1,1.67,1,0,
D1,5,fungicide,Ev,2,1.82,0,0,
D1,5,fungicide,Ev,3,1.35,0,0,
D1,5,fungicide,Ev,A,1.88,0,0,
D1,6,fungicide,Ev,1,0.76,0,0,
D1,6,fungicide,Ev,2,1.19,1,0,
D1,6,fungicide,Ev,3,1.79,0,0,
D1,6,fungicide,Ev,A,1.2,0,0,
D1,7,fungicide,Ev,1,1.14,0,0,
D1,7,fungicide,Ev,2,0.36,0,0,
D1,7,fungicide,Ev,3,0.74,0,0,
D1,7,fungicide,Ev,A,9.63,0,0,
D1,8,fungicide,Ev,1,2.85,0,0,
D1,8,fungicide,Ev,2,1.34,0,0,
D1,8,fungicide,Ev,3,2.37,1,0,
D1,8,fungicide,Ev,A,0.77,0,0,
D1,9,fungicide,Ev,1,0.8,1,0,
D1,9,fungicide,Ev,2,0.88,0,0,
D1,9,fungicide,Ev,3,0.85,0,0,
D1,9,fungicide,Ev,A,18.14,1,0,
D1,10,fungicide,Ev,1,1.08,0,0,
D1,10,fungicide,Ev,2,1.56,1,0.5,
D1,10,fungicide,Ev,3,2.97,1,0,
D1,10,fungicide,Ev,A,0.73,0,0,
D1,1,water,Ev,1,0.54,0,0,
D1,1,water,Ev,2,1.09,0,0,
D1,1,water,Ev,3,0.78,0,0,
D1,1,water,Ev,A,2.92,1,0,
D1,2,water,Ev,1,1.32,0,0,
D1,2,water,Ev,2,1.45,0,0,
D1,2,water,Ev,3,1.43,1,1,
D1,2,water,Ev,A,6.53,1,0,
D1,3,water,Ev,1,1.41,1,0.5,
D1,3,water,Ev,2,0.72,0,0,
D1,3,water,Ev,3,1.78,1,0.5,
D1,3,water,Ev,A,10.2,1,0,
D1,4,water,Ev,1,0.4,0,0,
D1,4,water,Ev,2,0.62,0,0,
D1,4,water,Ev,3,0.58,0,0,
D1,4,water,Ev,A,5.52,1,0,
D1,5,water,Ev,1,0.71,1,0,
D1,5,water,Ev,2,0.5,0,0,
D1,5,water,Ev,3,0.28,0,0,
D1,5,water,Ev,A,6.04,1,0.5,
D1,6,water,Ev,1,0.81,1,0.5,
D1,6,water,Ev,2,0.46,0,0,
D1,6,water,Ev,3,0.21,0,0,
D1,6,water,Ev,A,5.28,1,0.5,
D1,7,water,Ev,1,2.26,0,0,
D1,7,water,Ev,2,2.26,0,0,
D1,7,water,Ev,3,1.11,0,0,
D1,7,water,Ev,A,3.82,0,0,
