Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_1_June,1,142311,142311,12.844,255,4796.812,2137.182,84.783,2.182
lesions:D1_10F_Ev_1_June,12,124348,10362.333,42.281,255,450.87,168.604,9.343,43.021
leaf:D1_10F_Ev_2_June,1,533664,533664,18.278,255,10382.859,4216.093,161.164,179.894
lesions:D1_10F_Ev_2_June,55,463174,8421.345,41.75,255,205.278,79.735,9.101,81.006
leaf:D1_10F_Ev_3_June,1,381022,381022,13.236,255,8171.804,3464.706,140.021,178.171
lesions:D1_10F_Ev_3_June,48,233706,4868.875,30.907,255,221.251,67.774,10.009,88.36
leaf:D1_10F_Ev_A_June,1,315582,315582,18.651,255,5329.229,2367.635,169.71,175.367
lesions:D1_10F_Ev_A_June,1,86,86,0.012,255,45.113,15.904,6.885,97.513
leaf:D1_10W_Ev_1_June,1,93041,93041,18.548,255,3799.693,1424.756,83.146,3.295
lesions:D1_10W_Ev_1_June,6,72971,12161.833,28.275,253.672,673.033,215.056,15.092,117.198
leaf:D1_10W_Ev_2_June_edited,1,40505,40505,19.21,255,1716.617,844.278,61.085,0.28
lesions:D1_10W_Ev_2_June_edited,3,23640,7880,43.132,255,403.79,179.179,30.483,104.694
leaf:D1_10W_Ev_3_June,1,29851,29851,14.394,255,2039.796,804.697,47.232,178.905
lesions:D1_10W_Ev_3_June,17,1995,117.353,2.699,255,41.121,15.785,6.715,67.765
leaf:D1_10W_Ev_A_June,1,71478,71478,14.913,255,3814.764,1547.33,58.817,176.569
lesions:D1_10W_Ev_A_June,9,2177,241.889,0.707,255,60.989,24.559,6.429,101.499
leaf:D1_1F_Ev_1_June,1,162844,162844,19.76,255,4961.568,2492.393,83.189,0.749
lesions:D1_1F_Ev_1_June,9,145588,16176.444,59.544,255,693.08,266.112,14.308,71.356
leaf:D1_1F_Ev_2_June,1,76723,76723,11.545,255,3461.166,1547.611,63.121,0.532
lesions:D1_1F_Ev_2_June,27,33092,1225.63,28.107,255,120.769,41.27,9.128,53.138
leaf:D1_1F_Ev_3_June,1,93367,93367,11.453,255,3884.771,1754.298,67.764,179.975
lesions:D1_1F_Ev_3_June,19,69187,3641.421,49.637,255,259.936,94.118,9.538,89.301
leaf:D1_1F_Ev_A_June,1,509063,509063,18.306,254.999,7954,3128.823,207.158,178.166
lesions:D1_1F_Ev_A_June,182,92129,506.203,9.963,254.936,62.668,18.049,7.384,82.663
leaf:D1_1W_Ev_1_June,1,32918,32918,16.231,255,2051.786,688.803,60.848,178.486
