site,plot,treatment,age,ID,collect_date,seed_date,seeds,seed_weight.mg
D1,9,F,A,R1,20180926,20190311,221,787
D2,8,F,A,R2,20180829,20190311,68,231
D3,10,F,A,R3,20180925,20190311,69,213
D4,3,F,A,,20180802,20190312,50,168
D1,2,F,S,1,20180926,20190312,3,10
D2,5,F,S,1,20180925,20190312,37,128
D3,7,F,S,2,20180828,20190312,1,3
D4,5,F,S,R1,20180802,20190312,11,13
D1,4,W,A,,20180801,20190312,31,41
D2,9,W,A,R4,20180829,20190312,82,344
D3,8,W,A,R2,20180711,20190313,46,81
D4,9,W,A,R4,20180711,20190313,16,38
D1,7,W,S,R5,20180827,20190313,4,13
D2,6,W,S,R4,20180925,20190313,12,46
D3,7,W,S,R2,20180827,20190313,8,18
D4,10,W,S,1,20180828,20190313,12,44
D4,6,W,A,,20180829,20190320,189,696
D3,10,F,A,R2,20180828,20190322,250,839
D3,10,F,A,,20180828,20190321,178,615
D4,9,W,A,R1,20180828,20190321,207,801
