site,plot,plant,collect_date,spikelet_date,spikelets,spikelet_weight.mg,spikelet_notes
D1,8W,EVAR2,20180711,20190214,34,196,
D2,8F,EVAR2,20180711,20190214,14,46,
D2,8W,EVA,20180711,20190214,26,264,
D3,8W,EVAR2,20180711,20190214,64,866,
D3,10F,EVAR2,20180711,20190214,14,156,
D3,10W,EVAR2,20180711,20190214,15,70,
D3,10W,EVAR6,20180711,20190214,23,137,
D4,2F,EVA,20180711,20190214,22,104,
D4,8W,EVAS1,20180711,20190214,23,210,
D4,9W,EVAR4,20180711,20190214,15,180,
D4,10W,EVA,20180711,20190214,17,121,
D4,10W,EVAR1,20180711,20190214,26,469,
D4,10W,EVAR8,20180711,20190214,32,148,
D1,1F,EVA,20180801,20190214,30,112,
D1,8W,EVA,20180801,20190214,13,104,
D1,5W,EVA,20180801,20190214,34,178,
D1,4W,EVA,20180801,20190214,76,499,
D1,10W,EVAR4,20180801,20190214,14,133,
D1,8W,EVAR2,20180801,20190214,23,162,
D2,10W,EVAR4,20180801,20190214,108,1253,
D2,9W,EVAR3,20180801,20190214,19,243,
D2,1W,EVA,20180801,20190214,30,365,
D2,9F,EVAR1,20180801,20190214,11,99,
D2,10W,EVAS1,20180801,20190214,19,299,
D2,4F,EVA,20180801,20190214,44,516,
D2,2W,EVA,20180802,20190214,20,68,
D2,5W,EVA,20180802,20190214,59,206,
D2,1F,EVA,20180802,20190214,28,366,
D2,10F,EVAS1,20180802,20190214,29,380,
D2,6W,EVA,20180802,20190214,17,186,
D3,2W,EVA,20180802,20190214,45,452,
D3,3W,EVA,20180802,20190214,26,253,
D3,9W,EVA,20180802,20190214,26,186,
D3,8F,EVA,20180802,20190214,36,320,
D3,8W,EVAR2,20180802,20190214,27,380,
D3,7F,EVA,20180802,20190214,43,412,
D3,6F,EVA,20180802,20190214,16,113,
D3,1F,EVA,20180802,20190214,39,253,
D4,7F,EVA,20180802,20190215,80,1208,typo corrected
D4,2W,EVA,20180802,20190215,29,349,
D4,5W,EVA,20180802,20190215,36,318,
D4,5F,EVR1,20180802,20190215,11,55,
D4,3F,EVA,20180802,20190215,42,619,
D4,2F,EVA,20180802,20190215,24,140,
L1,9,,20180803,20190215,58,489,
L1,11,,20180803,20190215,16,121,
L1,3,,20180803,20190215,16,178,typo corrected
L3,1,,20180803,20190215,13,101,
L3,13,,20180803,20190215,21,192,
L3,5,,20180803,20190215,40,420,typo corrected
L4,5,,20180803,20190215,42,368,
L4,11,,20180803,20190215,16,108,
L4,1,,20180803,20190215,53,509,
L4,13,,20180803,20190215,25,250,
D2,7W,EVR10,20180829,20190218,16,133,
D2,7W,EV2,20180829,20190218,12,82,
D2,7W,EV1,20180829,20190218,2,17,
D2,8W,EVAR1,20180829,20190218,36,394,
D2,8W,EVA,20180829,20190218,14,104,
D2,8W,EV1,20180829,20190218,12,88,
D2,8W,EV2,20180829,20190218,28,177,
D2,8W,EV3,20180829,20190218,10,60,
D2,8W,EVAR2,20180829,20190218,17,129,
D2,10W,EV2,20180829,20190218,16,140,
D2,10W,EVAS1,20180829,20190218,30,242,
D2,10W,EVAR5,20180829,20190218,122,1596,
D2,10W,EVAR1,20180829,20190218,27,365,
D2,10W,EVAR2,20180829,20190218,89,1258,
