site,plot,plant,collect_date,spikelet_date,spikelet_weight.g,spikelet_notes
D3,9F,EV1,20191022,20191119,0.127,brown
D3,8F,EV3,20191022,20191119,0.016,green
D3,8F,EV3,20191022,20191119,0.276,brown
D3,8F,EV2,20191022,20191119,0.064,brown
D3,7F,EVA,20191022,20191119,0.053,brown
D3,7F,EV3,20191022,20191119,0.17,brown
D3,7F,EV3,20191022,20191119,0.063,green
D3,7F,EV1,20191022,20191119,0.065,green
D3,7F,EV1,20191022,20191119,0.189,brown
D3,5F,EV2,20191022,20191119,0.142,brown
D3,4F,EV3,20191022,20191119,0.032,green
D3,4F,EV3,20191022,20191119,0.204,brown
D3,4F,EV2,20191022,20191119,0.009,green
D3,4F,EV2,20191022,20191119,0.131,brown
D3,4F,EV1,20191022,20191119,0.075,green
D3,4F,EV1,20191022,20191119,0.099,brown
D3,3F,EV3,20191022,20191119,0.518,green
D3,3F,EV3,20191022,20191119,0.26,brown
D3,3F,EV1,20191022,20191119,0.229,brown
D3,2F,EV3,20191022,20191119,0.514,brown
D3,2F,EV3,20191022,20191119,0.464,green
D3,2F,EV2,20191022,20191119,0.069,green
D3,2F,EV2,20191022,20191119,0.045,brown
D3,1F,EV3,20191022,20191119,0.678,green
D3,1F,EV3,20191022,20191119,0.334,brown
D3,1F,EV2,20191022,20191119,0.359,brown
D3,10W,EVA,20191022,20191119,0.06,brown
D3,8W,EVA,20191022,20191119,0.507,brown
D3,8W,EV3,20191022,20191119,0.378,brown
D3,8W,EV3,20191022,20191119,0.123,green
D3,8W,EV1,20191022,20191119,0.242,brown
D3,8W,EV1,20191022,20191119,0.166,green
D3,6W,EV3,20191022,20191119,0.018,green
D3,6W,EV3,20191022,20191119,0.15,brown
D3,6W,EV2,20191022,20191119,0.216,green
D3,6W,EV2,20191022,20191119,0.517,brown
D3,6W,EV1,20191022,20191119,0.019,brown
D3,5W,EV3,20191022,20191119,0.023,green
D3,5W,EV3,20191022,20191119,0.03,brown
D3,5W,EV1,20191022,20191119,0.043,brown
D3,4W,EVA,20191022,20191119,0.022,brown
D3,3W,EVA,20191022,20191119,0.058,green
D3,3W,EVA,20191022,20191119,0.16,brown
D3,3W,EV3,20191022,20191119,0.346,brown
D3,3W,EV3,20191022,20191119,0.223,green
