date,site,plot,treatment,sp,ID,survival,field_notes
20190409,D1,1,water,Ev,1,0,
20190409,D1,1,water,Ev,2,0,
20190409,D1,1,water,Ev,3,1,
20190409,D1,1,water,Ev,A,1,
20190409,D1,2,water,Ev,1,1,
20190409,D1,2,water,Ev,2,0,
20190409,D1,2,water,Ev,3,1,
20190409,D1,2,water,Ev,A,1,
20190409,D1,3,water,Ev,1,1,
20190409,D1,3,water,Ev,2,1,
20190409,D1,3,water,Ev,3,1,
20190409,D1,3,water,Ev,A,1,
20190409,D1,4,water,Ev,1,0,
20190409,D1,4,water,Ev,2,0,
20190409,D1,4,water,Ev,3,0,
20190409,D1,4,water,Ev,A,0,
20190409,D1,5,water,Ev,1,0,
20190409,D1,5,water,Ev,2,0,
20190409,D1,5,water,Ev,3,0,
20190409,D1,5,water,Ev,A,1,
20190409,D1,6,water,Ev,1,1,
20190409,D1,6,water,Ev,2,1,
20190409,D1,6,water,Ev,3,1,
20190409,D1,6,water,Ev,A,1,
20190409,D1,6,water,Ev,R1,1,
20190409,D1,6,water,Ev,R2,1,
20190409,D1,6,water,Ev,R3,1,
20190409,D1,6,water,Ev,R4,1,
20190409,D1,6,water,Ev,R5,1,
20190409,D1,7,water,Ev,1,0,
20190409,D1,7,water,Ev,2,0,
20190409,D1,7,water,Ev,3,1,
20190409,D1,7,water,Ev,A,1,
20190409,D1,7,water,Ev,R1,0,
20190409,D1,7,water,Ev,R11,1,
20190409,D1,7,water,Ev,R2,1,
20190409,D1,7,water,Ev,R3,1,
20190409,D1,7,water,Ev,R4,1,
20190409,D1,7,water,Ev,R5,1,
20190409,D1,7,water,Ev,R6,NA,tag missing
20190409,D1,7,water,Ev,R7,1,
20190409,D1,7,water,Ev,R8,1,
20190409,D1,7,water,Ev,R9,1,
20190409,D1,8,water,Ev,1,1,
20190409,D1,8,water,Ev,2,0,
20190409,D1,8,water,Ev,3,1,
20190409,D1,8,water,Ev,A,1,replace - plant came out of the ground
20190409,D1,8,water,Ev,AR1,1,
20190409,D1,8,water,Ev,AR2,1,
20190409,D1,9,water,Ev,1,1,
20190409,D1,9,water,Ev,2,1,
20190409,D1,9,water,Ev,3,1,
20190409,D1,9,water,Ev,A,1,
20190409,D1,9,water,Ev,AR1,1,
20190409,D1,9,water,Ev,AR2,1,
20190409,D1,9,water,Ev,AS1,1,
20190409,D1,9,water,Ev,AS2,1,
20190409,D1,10,water,Ev,1,1,
20190409,D1,10,water,Ev,2,1,
20190409,D1,10,water,Ev,3,1,
20190409,D1,10,water,Ev,A,1,
20190409,D1,10,water,Ev,R1,1,
20190409,D1,10,water,Ev,R2,1,
20190409,D1,10,water,Ev,R3,1,
20190409,D1,10,water,Ev,R4,1,
20190409,D1,10,water,Ev,R5,1,
20190409,D1,10,water,Ev,R6,1,
20190409,D1,10,water,Ev,R7,1,
20190409,D1,10,water,Ev,R8,1,
20190409,D1,1,fungicide,Ev,1,0,
20190409,D1,1,fungicide,Ev,2,1,
20190409,D1,1,fungicide,Ev,3,1,
20190409,D1,1,fungicide,Ev,A,1,
20190409,D1,2,fungicide,Ev,1,1,
20190409,D1,2,fungicide,Ev,2,1,
20190409,D1,2,fungicide,Ev,3,1,
20190409,D1,2,fungicide,Ev,A,1,
20190409,D1,3,fungicide,Ev,1,0,
20190409,D1,3,fungicide,Ev,2,1,
20190409,D1,3,fungicide,Ev,3,1,
20190409,D1,3,fungicide,Ev,A,1,
20190409,D1,4,fungicide,Ev,1,1,
20190409,D1,4,fungicide,Ev,2,1,
20190409,D1,4,fungicide,Ev,3,0,
20190409,D1,4,fungicide,Ev,A,1,
20190409,D1,5,fungicide,Ev,1,NA,unsure - small and near tag
20190409,D1,5,fungicide,Ev,2,1,
20190409,D1,5,fungicide,Ev,3,1,
20190409,D1,5,fungicide,Ev,A,1,
20190409,D1,5,fungicide,Ev,R2,1,
20190409,D1,5,fungicide,Ev,R3,1,
20190409,D1,6,fungicide,Ev,1,0,
20190409,D1,6,fungicide,Ev,2,0,
20190409,D1,6,fungicide,Ev,3,1,
20190409,D1,6,fungicide,Ev,A,1,
20190409,D1,6,fungicide,Ev,R1,NA,unsure - small and near tag
20190409,D1,6,fungicide,Ev,R2,1,
20190409,D1,6,fungicide,Ev,R3,1,
20190409,D1,6,fungicide,Ev,R4,1,
20190409,D1,6,fungicide,Ev,R5,1,
20190409,D1,6,fungicide,Ev,R6,NA,unsure - small and near tag
20190409,D1,7,fungicide,Ev,1,0,
20190409,D1,7,fungicide,Ev,2,1,
20190409,D1,7,fungicide,Ev,3,1,
20190409,D1,7,fungicide,Ev,A,1,
20190409,D1,7,fungicide,Ev,R1,1,
20190409,D1,7,fungicide,Ev,R2,1,
20190409,D1,7,fungicide,Ev,R3,1,
20190409,D1,8,fungicide,Ev,1,0,
20190409,D1,8,fungicide,Ev,2,0,
20190409,D1,8,fungicide,Ev,3,0,
20190409,D1,8,fungicide,Ev,A,1,
20190409,D1,8,fungicide,Ev,AR1,1,
20190409,D1,8,fungicide,Ev,AR2,1,
20190409,D1,9,fungicide,Ev,1,1,
20190409,D1,9,fungicide,Ev,2,NA,tag missing
20190409,D1,9,fungicide,Ev,3,0,
20190409,D1,9,fungicide,Ev,A,1,
20190409,D1,9,fungicide,Ev,AR1,1,
20190409,D1,9,fungicide,Ev,AR2,1,
20190409,D1,9,fungicide,Ev,AR3,1,
20190409,D1,9,fungicide,Ev,AR4,1,
20190409,D1,10,fungicide,Ev,1,1,
20190409,D1,10,fungicide,Ev,2,1,
20190409,D1,10,fungicide,Ev,3,1,
20190409,D1,10,fungicide,Ev,A,1,
20190409,D1,10,fungicide,Ev,AR1,1,
20190409,D1,10,fungicide,Ev,AR2,1,
20190409,D1,10,fungicide,Ev,AR3,1,
20190409,D1,10,fungicide,Ev,AR4,1,
20190409,D1,10,fungicide,Ev,AR5,1,
20190409,D1,10,fungicide,Ev,AR6,1,"missing tag, but obvious"
20190409,D1,10,fungicide,Ev,AR7,0,
20190409,D1,10,fungicide,Ev,AR8,1,
20190408,D2,1,water,Ev,1,0,
20190408,D2,1,water,Ev,2,1,
20190408,D2,1,water,Ev,3,0,
20190408,D2,1,water,Ev,A,1,
20190408,D2,2,water,Ev,1,1,
20190408,D2,2,water,Ev,2,0,
20190408,D2,2,water,Ev,3,0,
20190408,D2,2,water,Ev,A,1,
20190408,D2,3,water,Ev,1,1,
20190408,D2,3,water,Ev,2,0,
20190408,D2,3,water,Ev,3,1,
20190408,D2,3,water,Ev,A,1,
20190408,D2,4,water,Ev,1,0,
20190408,D2,4,water,Ev,2,0,
20190408,D2,4,water,Ev,3,0,
20190408,D2,4,water,Ev,A,0,
20190409,D2,5,water,Ev,1,NA,"missing, but unsure - missed plot on the first day, checked after raking"
20190409,D2,5,water,Ev,2,1,
20190409,D2,5,water,Ev,3,NA,"missing, but unsure - missed plot on the first day, checked after raking"
20190409,D2,5,water,Ev,A,1,
20190408,D2,6,water,Ev,1,0,
20190408,D2,6,water,Ev,2,1,
20190408,D2,6,water,Ev,3,1,
20190408,D2,6,water,Ev,A,1,
20190408,D2,6,water,Ev,R1,1,
20190408,D2,6,water,Ev,R2,1,
20190408,D2,6,water,Ev,R3,0,
20190408,D2,6,water,Ev,R4,1,
20190408,D2,6,water,Ev,R5,1,
20190408,D2,6,water,Ev,R6,0,
20190408,D2,6,water,Ev,R7,1,
20190408,D2,7,water,Ev,1,1,
20190408,D2,7,water,Ev,2,1,
20190408,D2,7,water,Ev,3,1,
20190408,D2,7,water,Ev,A,1,not E. virginicus - replace
20190408,D2,7,water,Ev,R1,1,
20190408,D2,7,water,Ev,R10,1,
20190408,D2,7,water,Ev,R11,1,
20190408,D2,7,water,Ev,R2,1,
20190408,D2,7,water,Ev,R3,1,
20190408,D2,7,water,Ev,R4,1,
20190408,D2,7,water,Ev,R5,0,
20190408,D2,7,water,Ev,R6,1,
20190408,D2,7,water,Ev,R7,1,
20190408,D2,7,water,Ev,R8,0,
20190408,D2,7,water,Ev,R9,0,
20190408,D2,8,water,Ev,1,1,
20190408,D2,8,water,Ev,2,1,
20190408,D2,8,water,Ev,3,1,
20190408,D2,8,water,Ev,A,1,
20190408,D2,8,water,Ev,AR1,1,
20190408,D2,8,water,Ev,AR2,1,
20190408,D2,9,water,Ev,1,0,
20190408,D2,9,water,Ev,2,1,
20190408,D2,9,water,Ev,3,1,
20190408,D2,9,water,Ev,A,1,
20190408,D2,9,water,Ev,AR1,1,
20190408,D2,9,water,Ev,AR2,1,
20190408,D2,9,water,Ev,AR3,1,
20190408,D2,9,water,Ev,AR4,1,
20190408,D2,10,water,Ev,1,1,
20190408,D2,10,water,Ev,2,1,
20190408,D2,10,water,Ev,3,0,
20190408,D2,10,water,Ev,A,1,
20190408,D2,10,water,Ev,AR1,1,
20190408,D2,10,water,Ev,AR2,1,
20190408,D2,10,water,Ev,AR3,1,
20190408,D2,10,water,Ev,AR4,1,
20190408,D2,10,water,Ev,AR5,1,
20190408,D2,10,water,Ev,AR6,1,
20190408,D2,10,water,Ev,AS1,1,
20190408,D2,10,water,Ev,AS2,1,
20190408,D2,1,fungicide,Ev,1,0,
20190408,D2,1,fungicide,Ev,2,1,
20190408,D2,1,fungicide,Ev,3,0,
20190408,D2,1,fungicide,Ev,A,1,
20190408,D2,2,fungicide,Ev,1,1,
20190408,D2,2,fungicide,Ev,2,1,
20190408,D2,2,fungicide,Ev,3,1,
20190408,D2,2,fungicide,Ev,A,1,
20190408,D2,3,fungicide,Ev,1,0,
20190408,D2,3,fungicide,Ev,2,1,
20190408,D2,3,fungicide,Ev,3,1,
20190408,D2,3,fungicide,Ev,A,1,
20190408,D2,4,fungicide,Ev,1,1,
20190408,D2,4,fungicide,Ev,2,1,
20190408,D2,4,fungicide,Ev,3,1,
20190408,D2,4,fungicide,Ev,A,1,
20190408,D2,5,fungicide,Ev,1,1,
20190408,D2,5,fungicide,Ev,2,NA,unsure - small and near tag
20190408,D2,5,fungicide,Ev,3,1,
20190408,D2,5,fungicide,Ev,A,1,
20190408,D2,5,fungicide,Ev,R1,1,
20190408,D2,5,fungicide,Ev,R2,1,
20190408,D2,5,fungicide,Ev,R3,1,
20190408,D2,5,fungicide,Ev,R4,1,
20190408,D2,6,fungicide,Ev,1,0,
20190408,D2,6,fungicide,Ev,2,0,
20190408,D2,6,fungicide,Ev,3,1,
20190408,D2,6,fungicide,Ev,A,1,
20190408,D2,6,fungicide,Ev,R1,1,
20190408,D2,6,fungicide,Ev,R2,1,
20190408,D2,6,fungicide,Ev,R3,1,
20190408,D2,6,fungicide,Ev,R4,1,
20190408,D2,6,fungicide,Ev,R5,0,
20190408,D2,6,fungicide,Ev,R6,1,
20190408,D2,6,fungicide,Ev,R7,1,
20190408,D2,6,fungicide,Ev,R8,1,
20190408,D2,7,fungicide,Ev,1,1,
20190408,D2,7,fungicide,Ev,2,1,
20190408,D2,7,fungicide,Ev,3,1,
20190408,D2,7,fungicide,Ev,A,1,
20190408,D2,7,fungicide,Ev,R1,1,
20190408,D2,7,fungicide,Ev,R10,1,
20190408,D2,7,fungicide,Ev,R2,1,
20190408,D2,7,fungicide,Ev,R3,1,
20190408,D2,7,fungicide,Ev,R4,0,
20190408,D2,7,fungicide,Ev,R5,1,
20190408,D2,7,fungicide,Ev,R6,1,
20190408,D2,7,fungicide,Ev,R7,1,
20190408,D2,7,fungicide,Ev,R8,1,
20190408,D2,7,fungicide,Ev,R9,1,
20190408,D2,8,fungicide,Ev,1,0,
20190408,D2,8,fungicide,Ev,2,1,
20190408,D2,8,fungicide,Ev,3,1,
20190408,D2,8,fungicide,Ev,A,1,
20190408,D2,8,fungicide,Ev,AR1,0,
20190408,D2,8,fungicide,Ev,AR2,1,
20190408,D2,9,fungicide,Ev,1,1,
20190408,D2,9,fungicide,Ev,2,0,
20190408,D2,9,fungicide,Ev,3,0,
20190408,D2,9,fungicide,Ev,A,1,
20190408,D2,9,fungicide,Ev,AR1,1,
20190408,D2,9,fungicide,Ev,AR3,1,
20190408,D2,9,fungicide,Ev,AR4,1,
20190408,D2,10,fungicide,Ev,1,1,
20190408,D2,10,fungicide,Ev,2,0,
20190408,D2,10,fungicide,Ev,3,1,
20190408,D2,10,fungicide,Ev,A,1,
20190408,D2,10,fungicide,Ev,AR1,1,
20190408,D2,10,fungicide,Ev,AR2,1,
20190408,D2,10,fungicide,Ev,AR3,1,
20190408,D2,10,fungicide,Ev,AR4,1,
20190408,D2,10,fungicide,Ev,AR5,1,
20190408,D2,10,fungicide,Ev,AR6,1,
20190408,D2,10,fungicide,Ev,AR7,1,
20190408,D2,10,fungicide,Ev,AS1,1,
20190408,D3,1,water,Ev,1,0,
20190408,D3,1,water,Ev,2,0,
20190408,D3,1,water,Ev,3,0,
20190408,D3,1,water,Ev,A,1,
20190408,D3,2,water,Ev,1,0,
20190408,D3,2,water,Ev,2,0,
20190408,D3,2,water,Ev,3,0,
20190408,D3,2,water,Ev,A,1,
20190408,D3,3,water,Ev,1,0,
20190408,D3,3,water,Ev,2,0,
20190408,D3,3,water,Ev,3,0,
20190408,D3,3,water,Ev,A,1,
20190408,D3,4,water,Ev,1,0,
20190408,D3,4,water,Ev,2,0,
20190408,D3,4,water,Ev,3,0,
20190408,D3,4,water,Ev,A,0,
20190408,D3,5,water,Ev,1,1,
20190408,D3,5,water,Ev,2,0,
20190408,D3,5,water,Ev,3,NA,unsure - small and near tag
20190408,D3,5,water,Ev,A,1,
20190408,D3,6,water,Ev,1,0,
20190408,D3,6,water,Ev,2,0,
20190408,D3,6,water,Ev,3,0,
20190408,D3,6,water,Ev,A,1,
20190408,D3,6,water,Ev,R1,1,
20190408,D3,6,water,Ev,R2,1,
20190408,D3,6,water,Ev,R3,0,
20190408,D3,7,water,Ev,1,1,
20190408,D3,7,water,Ev,2,0,
20190408,D3,7,water,Ev,3,0,
20190408,D3,7,water,Ev,A,1,
20190408,D3,7,water,Ev,R1,0,
20190408,D3,7,water,Ev,R2,1,
20190408,D3,8,water,Ev,1,0,
20190408,D3,8,water,Ev,2,0,
20190408,D3,8,water,Ev,3,NA,unsure - small and near tag
20190408,D3,8,water,Ev,A,0,
20190408,D3,8,water,Ev,AR1,1,
20190408,D3,8,water,Ev,AR2,1,
20190408,D3,9,water,Ev,1,0,
20190408,D3,9,water,Ev,2,0,
20190408,D3,9,water,Ev,3,0,
20190408,D3,9,water,Ev,A,1,
20190408,D3,9,water,Ev,AR1,1,
20190408,D3,9,water,Ev,AR2,1,
20190408,D3,9,water,Ev,AR3,1,
20190408,D3,10,water,Ev,1,NA,"present, but unsure if it's Ev, no old growth"
20190408,D3,10,water,Ev,2,NA,"present, but unsure if it's Ev, no old growth"
20190408,D3,10,water,Ev,3,NA,"present, but unsure if it's Ev, no old growth"
20190408,D3,10,water,Ev,A,1,
20190408,D3,10,water,Ev,AR1,1,
20190408,D3,10,water,Ev,AR2,1,
20190408,D3,10,water,Ev,AR3,1,
20190408,D3,10,water,Ev,AR4,0,"tag dislodged, but don't see plant"
20190408,D3,10,water,Ev,AR5,1,
20190408,D3,10,water,Ev,AR6,1,
20190408,D3,10,water,Ev,AR7,1,
20190408,D3,10,water,Ev,AR8,1,
20190408,D3,1,fungicide,Ev,1,0,
20190408,D3,1,fungicide,Ev,2,0,
20190408,D3,1,fungicide,Ev,3,0,
20190408,D3,1,fungicide,Ev,A,1,
20190408,D3,2,fungicide,Ev,1,0,
