date,site,plot,treatment,sp,ID,height.cm,tillers,basal_circ.cm,infec,leaves_tot,leaves_infec,field_notes
20180606,D1,1,fungicide,Mv,1,35.2,6,NA,0,NA,NA,
20180606,D1,1,fungicide,Mv,2,38.5,16,NA,0,NA,NA,
20180606,D1,1,fungicide,Mv,3,39.1,5,NA,0,NA,NA,
20180606,D1,1,fungicide,Ev,1,20.1,10,6.1,0,NA,NA,
20180606,D1,1,fungicide,Ev,2,32.5,6,5.4,0,NA,NA,
20180606,D1,1,fungicide,Ev,3,32.4,8,5.7,0,NA,NA,
20180606,D1,1,fungicide,Ev,A,100.2,15,10.1,0,NA,NA,
20180606,D1,2,fungicide,Mv,1,24.2,25,NA,0,NA,NA,
20180606,D1,2,fungicide,Mv,2,50.6,15,NA,0,NA,NA,
20180606,D1,2,fungicide,Mv,3,22.7,22,NA,0,NA,NA,
20180606,D1,2,fungicide,Ev,1,35.9,10,5.6,0,NA,NA,
20180606,D1,2,fungicide,Ev,2,23.7,17,7.9,0,NA,NA,
20180606,D1,2,fungicide,Ev,3,28.4,11,9,0,NA,NA,
20180606,D1,2,fungicide,Ev,A,69.6,28,15.1,0,NA,NA,
20180606,D1,3,fungicide,Mv,1,39.4,10,NA,0,NA,NA,
20180606,D1,3,fungicide,Mv,2,48.3,7,NA,0,NA,NA,
20180606,D1,3,fungicide,Mv,3,44,4,NA,0,NA,NA,
20180606,D1,3,fungicide,Ev,1,28.5,8,6.1,0,NA,NA,
20180606,D1,3,fungicide,Ev,2,29.7,10,5.2,0,NA,NA,
20180606,D1,3,fungicide,Ev,3,36.2,8,5.3,0,NA,NA,
20180606,D1,3,fungicide,Ev,A,65.3,10,11.6,0,NA,NA,
20180606,D1,4,fungicide,Mv,1,69.6,6,NA,0,NA,NA,
20180606,D1,4,fungicide,Mv,2,70.5,9,NA,0,NA,NA,
20180606,D1,4,fungicide,Mv,3,60.3,7,NA,0,NA,NA,
20180606,D1,4,fungicide,Ev,1,51.7,5,5.3,1,8,2,
20180606,D1,4,fungicide,Ev,2,43.1,10,5.5,0,4,0,
20180606,D1,4,fungicide,Ev,3,38.4,7,4.2,0,4,0,
20180606,D1,4,fungicide,Ev,A,76.6,24,15.1,0,NA,NA,
