Date,PotID,Treatment,SpPresent,GermMv,GermEv,InfectedMv,InfectedEv,Notes,Litter.g,Competition,PropEstMvDenCor
20180711,1,None,Mv,40,NA,0,NA,NA,0,0,0.8
20180711,1,None,Ev+Mv,41,35,0,0,duct tape damage to a couple of plants,0,1,0.82
20180711,1,Low,Mv,43,NA,3,NA,NA,0.91,0,0.843137255
20180711,1,Low,Ev+Mv,42,28,1,0,herbivory,0.91,1,0.823529412
20180711,1,Med,Mv,40,NA,0,NA,NA,1.82,0,0.784313725
20180711,1,Med,Ev+Mv,35,33,1,2,NA,1.82,1,0.68627451
20180711,1,High,Mv,43,NA,3,NA,NA,3.64,0,0.704918033
20180711,1,High,Ev+Mv,46,33,1,1,NA,3.64,1,0.754098361
20180711,2,None,Mv,44,NA,0,NA,NA,0,0,0.88
20180711,2,None,Ev+Mv,37,25,0,0,NA,0,1,0.74
20180711,2,Low,Mv,43,NA,2,NA,other damage due to herbivory and sun? as well,0.91,0,0.843137255
20180711,2,Low,Ev+Mv,39,29,0,0,NA,0.91,1,0.764705882
20180711,2,Med,Mv,30,NA,0,NA,NA,1.82,0,0.588235294
20180711,2,Med,Ev+Mv,43,31,1,0,NA,1.82,1,0.843137255
20180711,2,High,Mv,39,NA,0,NA,NA,3.64,0,0.639344262
20180711,2,High,Ev+Mv,48,34,2,1,NA,3.64,1,0.786885246
20180711,3,None,Mv,46,NA,0,NA,NA,0,0,0.92
20180711,3,None,Ev+Mv,36,34,0,0,mushrooms growing. One Mv may have a had 1 spot,0,1,0.72
20180711,3,Low,Mv,45,NA,2,NA,NA,0.91,0,0.882352941
20180711,3,Low,Ev+Mv,37,34,12,3,NA,0.91,1,0.725490196
20180711,3,Med,Mv,36,NA,0,NA,NA,1.82,0,0.705882353
20180711,3,Med,Ev+Mv,38,39,3,4,NA,1.82,1,0.745098039
20180711,3,High,Mv,45,NA,0,NA,NA,3.64,0,0.737704918
20180711,3,High,Ev+Mv,45,31,3,1,NA,3.64,1,0.737704918
20180711,4,None,Mv,43,NA,0,NA,NA,0,0,0.86
20180711,4,None,Ev+Mv,48,35,0,0,NA,0,1,0.96
20180711,4,Low,Mv,44,NA,2,NA,NA,0.91,0,0.862745098
20180711,4,Low,Ev+Mv,38,34,2,0,NA,0.91,1,0.745098039
20180711,4,Med,Mv,33,NA,0,NA,NA,1.82,0,0.647058824
20180711,4,Med,Ev+Mv,42,32,1,2,herbivory,1.82,1,0.823529412
20180711,4,High,Mv,50,NA,6,NA,herbivory,3.64,0,0.819672131
20180711,4,High,Ev+Mv,45,30,0,2,NA,3.64,1,0.737704918
20180711,5,None,Mv,42,NA,0,NA,NA,0,0,0.84
20180711,5,None,Ev+Mv,37,30,0,0,NA,0,1,0.74
20180711,5,Low,Mv,46,NA,9,NA,NA,0.91,0,0.901960784
20180711,5,Low,Ev+Mv,54,29,2,0,NA,0.91,1,1
20180711,5,Med,Mv,52,NA,0,NA,NA,1.82,0,1
20180711,5,Med,Ev+Mv,45,29,3,0,NA,1.82,1,0.882352941
20180711,5,High,Mv,44,NA,0,NA,NA,3.64,0,0.721311475
20180711,5,High,Ev+Mv,42,33,0,2,NA,3.64,1,0.68852459
20180711,6,None,Mv,42,NA,0,NA,NA,0,0,0.84
20180711,6,None,Ev+Mv,40,37,0,0,NA,0,1,0.8
20180711,6,Low,Mv,39,NA,1,NA,NA,0.91,0,0.764705882
20180711,6,Low,Ev+Mv,38,32,1,3,NA,0.91,1,0.745098039
20180711,6,Med,Mv,43,NA,1,NA,NA,1.82,0,0.843137255
20180711,6,Med,Ev+Mv,34,34,1,0,NA,1.82,1,0.666666667
20180711,6,High,Mv,39,NA,2,NA,NA,3.64,0,0.639344262
20180711,6,High,Ev+Mv,40,26,0,0,NA,3.64,1,0.655737705
