title,plot-canopy-july-2018-density-exp
authors,"Callie San Antonio, David Notman, Zobia Chanda, Chris Wojan"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180709
scanned-original,Microstegium Bipolaris -> Canopy Cover -> 2018
,
columns,meaning
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
count,the number of corners that were open or closed canopy (based on type)
type,"type used to count corners (o = open, c = closed canopy)"
processor,initials of person processing canopy cover image (see authors)
process_date,date image was processed
processing_notes,
