title,ev_disease_seeds_sep_2018_density_exp
authors,"Amy Kendig, Christopher Wojan, Penny Reif"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180924 - 20180926
scanned-original,ev_mv_disease_seeds_sep_2018_density_exp
entered-original,DensityExperiment_FocalPlantInfecSeedsEv_20180924.20180926
,
columns,meaning
date,date that data were collected
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,"species (Ev = Elymus virginicus, Mv = Microstegium vimineum)"
ID,"plant ID (A = focal adult, 1 - 3 = focal seedlings, other = background)"
leaves_tot,number of leaves on a tiller
leaves_infec,number of leaves with at least two lesions on that same tiller
Bp_spots_Ev,indicator variable of whether or not Elymus individuals appeared to have Bipolaris infection (leopard-like spots)
seeds_collected,indicator variable of whether or not seeds were collected
field_notes,notes
