title,ev_leaf_scans_jul_2018_density_exp
authors,Amy Kendig
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180704 - 20180709
scanned-original,in folder leaf-scans-jul-2018-density-exp
entered-original,ev_leaf_scan_text_output_jul_2018_density_exp
processing-script,ev_leaf_damage_severity.ijm
,
columns,meaning
Slice,"description of image (leaf or lesions, site, plot, plant ID, indicate of if it was manually edited)"
Count,number of objects (leaves or lesions)
Total Area,area in units of pixels
