title,ev_seeds_early_aug_2018_density_exp
authors,Christopher Wojan
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180801 - 20180803
scanned-original,ev_seeds_early_aug_2018_density_exp
entered-original,BothExperiments_Data_20180801_03.xls
,
columns,meaning
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,"species (Ev = Elymus virginicus, Mv = Microstegium vimineum)"
ID,"plant ID (A = focal adult, 1 - 3 = focal seedlings, other = background)"
seeds_collected,indicator variable of whether or not seeds were collected
