title,ev_spikelets_2019_density_exp
authors,Christopher Wojan
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20190703 - 20191024
scanned-original,ev_spikelets_2019_density_exp
entered-original,ev_spikelets_2019_v20200130
,
columns,meaning
site,"experimental site (D1 - 4,)"
plot,"experimental plot, which corresponds to planting treatment for density experiment (1 - 10)"
plant,plant ID (unique to plot)
collect_date,date seeds were collected
spikelet_date,date seeds were processed
spikelet_weight.g,weight of spikelets (g)
spikelet_notes,notes
