title,mv_bag_seeds_2019_density_exp
authors,"Amy Kendig, Chris Wojan, Thomas Thrasher, Trevor Green, Shannon Regan"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20200406
scanned-original,mv_bag_seeds_2019_density_exp.pdf
,
columns,meaning
process_date,dates that the samples were processed
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,"species (Ev = Elymus virginicus, Mv = Microstegium vimineum)"
plant,plant ID (unique to plot)
bag,bag ID (unique to plant)
two_clips,"indicates whether there were two clips in the bag, which means that it is from a neighboring plant (yes)"
seeds,number of seeds in the bag
process_notes,notes from counting seeds
