process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes
11/16/19,D1,1,fungicide,Mv,1,1,0.1359,0.76,
11/12/19,D1,1,fungicide,Mv,2,0,0.109,0.73,
11/16/19,D1,1,fungicide,Mv,3,1,0.052,0.31,
11/23/19,D1,2,fungicide,Mv,1,17,0.7512,23.88,
11/23/19,D1,2,fungicide,Mv,2,18,0.311,16.74,
11/26/19,D1,2,fungicide,Mv,3,53,1.5733,52.01,
11/26/19,D1,3,fungicide,Mv,1,19,0.3331,9.62,
11/26/19,D1,3,fungicide,Mv,2,28,0.5816,15.15,
11/26/19,D1,3,fungicide,Mv,3,3,0.1276,5.03,
11/26/19,D1,4,fungicide,Mv,1,9,0.1534,11.21,
11/23/19,D1,4,fungicide,Mv,2,14,0.1799,7.06,
11/19/19,D1,4,fungicide,Mv,3,6,0.1496,4.21,
11/9/19,D1,5,fungicide,Mv,1,42,0.7829,21.06,
11/16/19,D1,5,fungicide,Mv,2,21,0.7255,20.42,
11/23/19,D1,5,fungicide,Mv,3,17,0.5807,14.86,
11/23/19,D1,6,fungicide,Mv,1,22,0.1791,11.56,
12/7/19,D1,6,fungicide,Mv,2,23,0.2355,8.7,
11/16/19,D1,6,fungicide,Mv,3,23,0.4381,9.16,
11/23/19,D1,7,fungicide,Mv,1,55,1.011,18.54,
11/23/19,D1,7,fungicide,Mv,2,28,0.7188,12.99,
11/23/19,D1,7,fungicide,Mv,3,23,0.3947,8.73,
11/19/19,D1,8,fungicide,Mv,1,23,1.9236,42.77,
12/7/19,D1,8,fungicide,Mv,2,33,1.5251,42.68,
11/23/19,D1,8,fungicide,Mv,3,39,0.8958,38.42,
11/23/19,D1,9,fungicide,Mv,1,61,1.394,34.39,
11/9/19,D1,9,fungicide,Mv,2,56,1.0423,29.62,
11/26/19,D1,9,fungicide,Mv,3,22,0.6322,11.22,
11/16/19,D1,10,fungicide,Mv,1,39,3.7958,59.07,
11/12/19,D1,10,fungicide,Mv,2,23,0.395,31.92,
11/12/19,D1,10,fungicide,Mv,3,180,7.2888,91.42,
11/23/19,D1,1,water,Mv,1,64,2.8018,39.61,
11/12/19,D1,1,water,Mv,2,20,2.0037,23.69,
11/26/19,D1,1,water,Mv,3,30,1.1415,22.8,
11/23/19,D1,2,water,Mv,1,40,0.6062,16.9,
11/19/19,D1,2,water,Mv,2,32,1.5264,31.91,
11/19/19,D1,2,water,Mv,3,41,1.1992,19.65,
12/7/19,D1,3,water,Mv,1,12,0.2111,11.42,
11/16/19,D1,3,water,Mv,2,21,0.0488,9.31,
11/7/19,D1,3,water,Mv,3,33,0.5943,23.76,
11/23/19,D1,4,water,Mv,1,12,0.1671,5.86,
12/7/19,D1,4,water,Mv,2,4,0.088,3.29,
12/7/19,D1,4,water,Mv,3,12,0.0934,4.77,
11/26/19,D1,5,water,Mv,1,10,0.1615,3.83,
12/7/19,D1,5,water,Mv,2,8,0.3372,5.58,
12/7/19,D1,5,water,Mv,3,7,0.052,1.17,
12/7/19,D1,6,water,Mv,1,34,1.3841,21.52,
12/7/19,D1,6,water,Mv,2,17,0.2654,6.44,
12/7/19,D1,6,water,Mv,3,29,0.8625,14.88,
11/23/19,D1,7,water,Mv,1,33,0.8905,23.38,
11/26/19,D1,7,water,Mv,2,31,0.9239,18.76,
11/19/19,D1,7,water,Mv,3,38,1.1319,19.58,
11/23/19,D1,8,water,Mv,1,76,4.2533,49,
12/7/19,D1,8,water,Mv,2,39,2.2677,45.89,
11/16/19,D1,8,water,Mv,3,48,2.6538,30.64,
11/16/19,D1,9,water,Mv,1,22,0.6835,11.59,
11/19/19,D1,9,water,Mv,2,17,0.3652,9.91,
11/7/19,D1,9,water,Mv,3,37,0.3968,14.12,
11/19/19,D1,10,water,Mv,1,90,3.3069,42.92,
11/16/19,D1,10,water,Mv,2,27,1.1682,25.78,
11/26/19,D1,10,water,Mv,3,58,2.6163,32.94,
2/26/20,D2,1,fungicide,Mv,1,16,0.9993,17.7,
2/25/20,D2,1,fungicide,Mv,2,27,1.9352,28.35,
2/28/20,D2,1,fungicide,Mv,3,52,1.613,31.43,
3/10/20,D2,2,fungicide,Mv,1,3,0.2861,5.27,
2/22/20,D2,2,fungicide,Mv,2,NA,NA,2.83,
2/29/20,D2,2,fungicide,Mv,3,0,0.0035,2.76,hardly any seeds
2/26/20,D2,3,fungicide,Mv,1,2,0.2642,7.52,
2/22/20,D2,3,fungicide,Mv,2,3,0.2341,11.85,
2/25/20,D2,3,fungicide,Mv,3,4,0.1541,8.3,
2/25/20,D2,4,fungicide,Mv,1,2,0.1592,7.44,
2/22/20,D2,4,fungicide,Mv,2,1,0.2098,7.63,
2/22/20,D2,4,fungicide,Mv,3,2,0.1173,9.02,
2/28/20,D2,5,fungicide,Mv,1,25,1.4368,33.16,
3/11/20,D2,5,fungicide,Mv,2,11,1.1367,23.33,
3/10/20,D2,5,fungicide,Mv,3,14,0.9791,21.73,
2/26/20,D2,6,fungicide,Mv,1,12,0.3905,17.25,
2/22/20,D2,6,fungicide,Mv,2,3,0.356,8.77,
2/26/20,D2,6,fungicide,Mv,3,11,0.5542,21.87,
2/26/20,D2,7,fungicide,Mv,1,2,0.1049,4.4,
3/10/20,D2,7,fungicide,Mv,2,0,0.0726,2.54,
2/28/20,D2,7,fungicide,Mv,3,0,0.0694,2.29,
2/29/20,D2,8,fungicide,Mv,1,53,3.2189,75.87,
3/11/20,D2,8,fungicide,Mv,2,17,1.2085,31.58,
3/11/20,D2,8,fungicide,Mv,3,43,1.699,37.31,
2/25/20,D2,9,fungicide,Mv,1,13,0.6386,9.42,"extra plant material between Mv 1 and Mv 2, did not process"
2/23/20,D2,9,fungicide,Mv,2,5,0.4513,7.95,"extra plant material between Mv 1 and Mv 2, did not process"
2/22/20,D2,9,fungicide,Mv,3,1,0.0643,5.63,flower number originally recorded as D2 2F Mv2
2/28/20,D2,10,fungicide,Mv,1,3,0.1155,5.36,
2/25/20,D2,10,fungicide,Mv,2,6,0.0887,4.44,
2/25/20,D2,10,fungicide,Mv,3,6,0.072,3.71,
3/10/20,D2,1,water,Mv,1,0,0.0045,1.63,hardly any seeds
3/11/20,D2,1,water,Mv,2,0,0.0082,1.29,hardly any seeds
2/26/20,D2,1,water,Mv,3,0,0.0036,0.5,hardly any seeds
2/25/20,D2,2,water,Mv,1,22,0.9252,22.5,
