date,pot,treatment,sp,weight.g,seed_heads,height.in,notes
20190606,1,fungicide,Mv,26.49,35,47.5,
20190606,2,fungicide,Mv,29.66,29,34,
20190606,3,fungicide,Mv,21.54,27,48.5,
20190606,4,fungicide,Mv,20.5,34,40.5,
20190606,5,fungicide,Mv,20.34,29,35,
20190606,6,fungicide,Mv,17,27,36.2,
20190606,7,fungicide,Mv,23.57,29,41,
20190606,8,fungicide,Mv,25.83,41,52.8,
20190606,9,fungicide,Mv,8.1,15,31.7,
20190606,10,fungicide,Mv,17.51,30,54.5,
20190606,1,water,Mv,22.52,35,38,
20190606,2,water,Mv,25.35,38,41.5,
20190606,3,water,Mv,27.55,23,31,
20190606,4,water,Mv,20.05,48,51,
20190606,5,water,Mv,22.78,34,45.9,
20190606,6,water,Mv,29.96,53,42.3,
20190606,7,water,Mv,22.51,42,35.5,
20190606,8,water,Mv,18.48,1,40.5,dead
20190606,9,water,Mv,20.16,24,37,
20190606,10,water,Mv,23.35,32,48.5,
