site_plot,trial,date_sterilized,date_check_1,date_check_2,seeds,seeds_dark_check_1,seeds_light_check_1,seeds_dark_check_2,seeds_light_check_2,germination_final,seedlings_lesions,notes
D1 5W,1,6/17/19,6/22/19,6/27/19,30,1,1,1,3,28,2,Dark infection has white/grey fuzz and spread to 6 other seeds (not counted)
D2 10F,1,6/17/19,6/22/19,6/27/19,30,0,1,1,3,28,0,"One seedling has both light hyphae, and spots on the surface of the seed (2 different things or the same?)"
D4 4W,1,6/17/19,6/22/19,6/27/19,30,7,1,7,1,26,0,light fungus turned darker
D1 3F,1,6/17/19,6/22/19,6/27/19,30,0,3,0,3,25,0,"One seedling has both light hyphae, and spots on the surface of the seed (2 different things or the same?)"
D4 10W,1,6/17/19,6/22/19,6/27/19,30,23,0,23,1,22,0,Dark infection has white/grey fuzz
D2 9F,1,6/18/19,6/23/19,6/28/19,30,0,8,0,13,25,0,
D3 7F,1,6/18/19,6/23/19,6/28/19,30,2,3,3,5,27,3,lesions seem to be from touching dark hyphae
D1 1F,1,6/18/19,6/23/19,6/28/19,29,0,4,0,11,28,0,
D2 6F,1,6/18/19,6/23/19,6/28/19,29,2,3,2,6,26,0,
D3 1W,1,6/18/19,6/23/19,6/28/19,30,5,3,7,6,25,2,
D1 7W,1,6/18/19,6/23/19,6/28/19,30,7,3,7,5,26,0,
D2 8F,1,6/18/19,6/23/19,6/28/19,29,0,6,1,7,24,0,
D2 2W,1,6/18/19,6/23/19,6/28/19,30,0,3,0,5,24,1,some green infection scattered across plate. The one seedling has a lighter leasion than others
D4 3F,1,6/18/19,6/23/19,6/28/19,30,3,2,3,5,16,0,
D4 1F,1,6/18/19,6/23/19,6/28/19,30,0,6,2,6,17,0,one light turned completely black by day 10. still counted as light
D3 2W,1,6/25/19,6/30/19,7/5/19,27,2,1,4,4,20,1,entire leaf brown/dead
D4 6F,1,6/25/19,6/30/19,7/5/19,30,1,2,5,4,24,2,
D3 8F,1,6/25/19,6/30/19,7/5/19,30,1,5,5,8,18,0,
D1 4F,1,6/25/19,6/30/19,7/5/19,30,4,7,6,7,18,0,
D3 1F,1,6/25/19,6/30/19,7/5/19,33,2,29,2,29,23,0,
D1 10F,1,6/25/19,6/30/19,7/5/19,30,0,4,1,6,28,0,
D3 4F,1,6/25/19,6/30/19,7/5/19,30,1,4,2,7,25,4,
D4 7F,1,6/25/19,6/30/19,7/5/19,30,7,5,7,7,26,1,
D1 6F,1,6/25/19,6/30/19,7/5/19,30,1,4,1,4,24,1,
D1 4W,1,6/25/19,6/30/19,7/5/19,30,1,4,3,5,27,1,
D3 10F,1,6/25/19,6/30/19,7/5/19,30,2,8,2,11,20,1,hard to tell what is contamination vs infection from seed itself
D4 6W,1,6/25/19,6/30/19,7/5/19,30,4,4,5,5,26,2,
D4 2F,1,6/27/19,7/2/19,7/7/19,30,1,1,1,2,23,0,
D4 9W,1,6/27/19,7/2/19,7/7/19,30,4,5,4,5,21,0,4 more seeds with white fluff but I didn't count because I think it is contamination from neighboring dark hyphae (hard to tell)
D4 7W,1,6/27/19,7/2/19,7/7/19,30,7,5,8,5,8,0,2 more seeds with white fluff but I didn't count because I think it is contamination from neighboring dark hyphae (hard to tell)
D2 9W,1,6/27/19,7/2/19,7/7/19,30,3,3,3,4,24,2,
D4 2W,1,6/27/19,7/2/19,7/7/19,30,3,1,3,4,16,1,
D2 4W,1,6/27/19,7/2/19,7/7/19,29,17,1,18,3,15,0,
D3 9F,1,6/27/19,7/2/19,7/7/19,30,1,4,2,6,20,0,
D3 6F,1,6/27/19,7/2/19,7/7/19,30,2,4,4,9,20,0,
D1 10W,2,2/13/20,2/18/20,2/23/20,30,0,2,4,7,21,0,
D1 1F,2,2/7/20,2/12/20,2/17/20,30,0,2,0,5,24,0,
D1 1W,2,7/11/19,7/16/19,7/21/19,30,3,5,5,5,21,1,
D1 2F,2,7/23/19,7/28/19,7/2/19,30,0,6,1,8,23,0,Seeds could be contaminated (faulty autoclave)
D1 2W,2,7/23/19,7/28/19,7/2/19,30,1,17,1,21,20,0,Seeds could be contaminated (faulty autoclave)
D1 3F,2,2/13/20,2/18/20,2/23/20,30,0,1,2,6,15,0,
D1 3W,2,2/13/20,2/18/20,2/23/20,30,1,3,2,4,17,0,
D1 4F,2,7/11/19,7/16/19,7/21/19,30,5,2,5,4,12,0,
D1 4W,2,2/7/20,2/12/20,2/17/20,30,0,1,0,5,18,0,
D1 5F,2,1/30/20,2/4/20,2/9/20,30,0,0,0,2,25,0,
D1 5W,2,1/30/20,2/4/20,2/9/20,30,0,0,0,1,22,0,
D1 6F,2,2/6/20,2/11/20,2/16/20,30,0,0,0,4,27,0,
D1 6W,2,7/23/19,7/28/19,7/2/19,30,3,4,3,4,22,0,Seeds could be contaminated (faulty autoclave)
D1 7F,2,7/18/19,7/23/19,7/28/19,28,0,5,0,6,26,0,
D1 7W,2,7/11/19,7/16/19,7/21/19,30,0,7,0,7,24,0,
D1 8F,2,2/6/20,2/11/20,2/16/20,30,0,2,0,7,25,0,
D1 8W,2,2/7/20,2/12/20,2/17/20,30,0,2,1,7,25,0,
D1 9F,2,7/11/19,7/16/19,7/21/19,30,0,5,1,7,17,0,
D1 9W,2,7/23/19,7/28/19,7/2/19,30,3,1,3,2,19,2,Seeds could be contaminated (faulty autoclave)
D2 10F,2,7/18/19,7/23/19,7/28/19,30,0,4,0,9,21,0,
D2 10W,2,10/15/19,10/20/19,10/25/19,30,0,7,6,3,24,0,Sample was taken on day 11
D2 1F,2,10/16/19,10/21/19,10/26/19,30,1,8,1,13,20,0,"plate labelled D2 1W, but another plate was labelled D2 1W the same day, think this one is 1F from order of tubes used to fill plates"
D2 1W,2,10/16/19,10/21/19,10/26/19,30,0,4,7,13,18,0,
D2 2F,2,1/30/20,2/4/20,2/9/20,30,0,1,2,5,22,0,
D2 2W,2,10/15/19,10/20/19,10/25/19,30,0,4,0,5,22,0,Sample was taken on day 11
D2 3F,2,1/30/20,2/4/20,2/9/20,30,0,1,1,2,24,0,
D2 3W,2,1/30/20,2/4/20,2/9/20,30,0,1,0,7,18,0,
D2 4F,2,2/6/20,2/11/20,2/16/20,30,0,3,0,3,19,0,
D2 4W,2,1/30/20,2/4/20,2/9/20,30,0,1,0,1,26,0,
D2 5F,2,7/18/19,7/23/19,7/28/19,30,0,7,1,14,14,0,
D2 5W,2,7/18/19,7/23/19,7/28/19,30,0,7,1,8,26,0,
D2 6F,2,2/6/20,2/11/20,2/16/20,30,0,2,1,8,24,0,
D2 6W,2,10/15/19,10/20/19,10/25/19,30,0,8,1,7,25,0,Sample was taken on day 11
