Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Edge_Mv_August,20,8291613,414580.65,35.445,255,3861.048,1583.94,318.301,65.562
lesions:D1_10F_Edge_Mv_August,20,2205,110.25,0.01,255,41.105,14.648,7.61,77.357
leaf:D1_10F_Mv_1_earlyAug,1,653959,653959,40.822,255,4848.113,2025.199,411.143,6.085
lesions:D1_10F_Mv_1_earlyAug,5,681,136.2,0.066,255,43.242,16.28,6.761,23.359
leaf:D1_10F_Mv_2_earlyAug,1,318515,318515,33.778,255,3176.452,1297.404,312.583,0.483
lesions:D1_10F_Mv_2_earlyAug,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_10F_Mv_3_earlyAug,1,313813,313813,31.461,255,3259.038,1356.913,294.462,178.422
lesions:D1_10F_Mv_3_earlyAug,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_10W_Edge_Mv_August,20,7516546,375827.3,31.51,254.991,3776.561,1520.586,302.877,56.172
lesions:D1_10W_Edge_Mv_August,59,19213,325.644,0.086,255,61.492,19.25,10.549,94.656
leaf:D1_10W_Mv_1_August,1,287673,287673,31.544,254.996,3393.381,1333.962,274.578,178.399
lesions:D1_10W_Mv_1_August,9,3441,382.333,0.799,255,67.355,24.688,14.073,102.18
leaf:D1_10W_Mv_2_August,1,460197,460197,37.05,253.745,4659.461,1795.168,326.399,8.12
lesions:D1_10W_Mv_2_August,2,484,242,0.055,255,57.113,22.04,10.419,13.011
leaf:D1_10W_Mv_3_August,1,370005,370005,36.877,254.833,3493.111,1372.204,343.32,174.466
lesions:D1_10W_Mv_3_August,19,107253,5644.895,18.388,255,226.868,49.964,21.09,129.466
leaf:D1_1F_Edge_Mv_August,20,4833052,241652.6,24.204,254.972,3231.254,1269.859,234.379,55.56
lesions:D1_1F_Edge_Mv_August,3,315,105,0.002,255,43.537,15.939,7.911,121.085
leaf:D1_1F_Mv_1_August_edited,1,177694,177694,40.51,254.996,3387.121,1204.837,187.782,179.011
lesions:D1_1F_Mv_1_August_edited,17,625,36.765,0.218,255,19.348,7.298,4.554,75.737
leaf:D1_1F_Mv_2_August,1,135515,135515,23.87,255,2201.876,875.787,197.015,177.521
lesions:D1_1F_Mv_2_August,1,59,59,0.028,255,32.385,11.658,6.444,7.993
leaf:D1_1F_Mv_3_August,1,52282,52282,19.031,255,1664.136,554.591,120.03,6.177
lesions:D1_1F_Mv_3_August,1,12,12,0.008,255,12.485,4.911,3.111,9.417
leaf:D1_1W_Edge_Mv_August,20,5912602,295630.1,28.48,255,3381.71,1374.025,267.129,56.197
lesions:D1_1W_Edge_Mv_August,6,211,35.167,0.001,255,18.63,6.783,4.492,100.048
leaf:D1_1W_Mv_1_August,1,587769,587769,41.595,255,5267.41,2111.494,354.427,179.553
lesions:D1_1W_Mv_1_August,8,2133,266.625,0.228,255,61.373,19.897,11.592,82.43
leaf:D1_1W_Mv_2_August,1,439320,439320,34.24,255,3906.376,1636.411,341.821,179.564
lesions:D1_1W_Mv_2_August,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1W_Mv_3_August,1,479071,479071,37.054,255,3940.359,1634.765,373.125,0.733
lesions:D1_1W_Mv_3_August,2,13743,6871.5,2.018,255,349.848,108.217,43.215,90.602
leaf:D1_2F_Edge_Mv_August,20,7543917,377195.85,31.415,254.99,3962.518,1560.292,300.921,56.603
lesions:D1_2F_Edge_Mv_August,85,22507,264.788,0.096,255,54.956,19.996,9.26,77.488
leaf:D1_2F_Mv_1_August,1,236156,236156,35.918,255,3273.356,1363.046,220.596,178.413
lesions:D1_2F_Mv_1_August,18,8346,463.667,2.394,255,102.904,26.329,10.648,89.405
leaf:D1_2F_Mv_2_August,1,391475,391475,44.224,254.999,3868.685,1593.165,312.862,179.8
lesions:D1_2F_Mv_2_August,6,4842,807,0.855,255,85.076,25.289,11.77,59.683
leaf:D1_2F_Mv_3_August,1,174796,174796,30.441,255,2613.533,1086.047,204.924,179.89
lesions:D1_2F_Mv_3_August,15,1428,95.2,0.572,255,40.708,13.847,6.773,78.196
leaf:D1_2W_Edge_Mv_August,18,7779344,432185.778,34.395,254.905,4239.885,1519.051,347.538,80.972
lesions:D1_2W_Edge_Mv_August,35,7075,202.143,0.032,255,50.502,17.931,9.576,99.1
leaf:D1_2W_Mv_1_August,1,469508,469508,34.498,255,4095.662,1641.62,364.15,6.579
lesions:D1_2W_Mv_1_August,15,775,51.667,0.101,255,27.621,10.059,5.396,45.683
leaf:D1_2W_Mv_2_August,1,849495,849495,40.585,255,5615.083,2362.417,457.841,2.302
lesions:D1_2W_Mv_2_August,51,29226,573.059,2.329,255,75.872,20.068,9.302,53.621
leaf:D1_2W_Mv_3_August,1,382392,382392,39.46,255,3783.204,1558.899,312.321,2.47
lesions:D1_2W_Mv_3_August,1,131,131,0.023,255,45.213,17.599,9.477,171.851
leaf:D1_3F_Edge_Mv_August,20,7459140,372957,29.879,254.883,3946.774,1568.971,297.313,116.948
lesions:D1_3F_Edge_Mv_August,3,3605,1201.667,0.016,255,107.154,33.886,27.563,55.981
leaf:D1_3F_Mv_1_August,1,300591,300591,35.579,254.829,3713.746,1430.559,267.535,2.612
lesions:D1_3F_Mv_1_August,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_3F_Mv_2_August,1,171122,171122,42.563,255,2491.675,1026.383,212.279,179.386
lesions:D1_3F_Mv_2_August,2,21,10.5,0.008,255,12.485,4.64,2.894,66.118
leaf:D1_3F_Mv_3_August,1,125475,125475,29.282,255,2243.09,912.631,175.054,172.203
lesions:D1_3F_Mv_3_August,2,68,34,0.027,255,20.849,6.923,5.932,43.146
leaf:D1_3W_Edge_Mv_August,20,7862856,393142.8,31.563,254.84,4071.254,1562.017,313.014,67.007
lesions:D1_3W_Edge_Mv_August,31,5062,163.29,0.021,255,43.526,15.446,9.118,69.374
leaf:D1_3W_Mv_1_August,1,542356,542356,37.404,255,4871.746,1963.254,351.737,5.163
lesions:D1_3W_Mv_1_August,31,31108,1003.484,3.325,255,114.099,29.647,11.1,60.874
leaf:D1_3W_Mv_2_August,1,644234,644234,37.586,254.566,5205.201,2141.118,383.101,2.09
lesions:D1_3W_Mv_2_August,25,16583,663.32,1.728,255,87.198,25.65,11.451,50.562
leaf:D1_3W_Mv_3_August_edited,1,215065,215065,43.913,255,3138.136,1294.362,211.555,0.45
lesions:D1_3W_Mv_3_August_edited,20,8808,440.4,2.776,255,70.715,17.863,9.004,72.028
leaf:D1_4F_Edge_Mv_August,19,8057968,424103.579,33.778,254.999,4153.245,1636.15,324.129,58.927
lesions:D1_4F_Edge_Mv_August,81,12645,156.111,0.054,255,46.769,14.986,7.267,81.029
leaf:D1_4F_Mv_1_August,1,605105,605105,46.346,255,4946.522,1990.717,387.018,177.814
lesions:D1_4F_Mv_1_August,7,3412,487.429,0.379,255,85.922,26.078,11.551,56.269
