Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Mv_1_edited,1,211704,211704,44.324,255,2722.092,982.408,274.377,175.09
lesions:D1_10F_Mv_1_edited,1,278,278,0.089,255,63.941,23.14,15.296,168.531
leaf:D1_10F_Mv_2,1,422460,422460,41.279,255,3588.241,1437.098,374.291,1.238
lesions:D1_10F_Mv_2,12,11677,973.083,1.869,255,119.636,43.021,23.173,75.377
leaf:D1_10F_Mv_3,1,72788,72788,26.701,255,1357.418,540.995,171.308,177.774
lesions:D1_10F_Mv_3,1,440,440,0.407,255,84.184,33.993,16.48,2.281
leaf:D1_10F_Mv_Bg,11,5310072,482733.818,28.557,254.999,4155.114,1632.546,368.947,143.852
lesions:D1_10F_Mv_Bg,76,46485,611.645,0.33,255,88.946,32.468,16.874,107.322
leaf:D1_10W_Mv_1,1,516483,516483,38.471,255,4501.738,1883.552,349.131,176.022
lesions:D1_10W_Mv_1,8,4798,599.75,0.595,255,91.318,35.436,12.048,126.258
leaf:D1_10W_Mv_2,1,180914,180914,35.368,255,2276.805,931.946,247.168,0.436
lesions:D1_10W_Mv_2,12,21619,1801.583,8.113,255,175.458,67.315,24.054,72.279
leaf:D1_10W_Mv_3,1,373152,373152,36.283,255,3322.567,1326.039,358.294,170.678
lesions:D1_10W_Mv_3,16,10909,681.812,1.791,255,88.34,32.196,19.865,143.824
leaf:D1_10W_Mv_Bg,10,4630810,463081,22.102,255,3949.354,1563.932,370.709,124.873
lesions:D1_10W_Mv_Bg,211,182269,863.834,1.247,255,110.656,39.076,21.318,98.406
leaf:D1_1F_Mv_2_edit,1,245179,245179,25.662,255,2779.842,1125.236,277.428,3.295
lesions:D1_1F_Mv_2_edit,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_3,1,513394,513394,37.861,255,4356.332,1771.024,369.094,8.623
lesions:D1_1F_Mv_3,2,530,265,0.055,255,73.941,28.054,12.012,6.96
leaf:D1_1F_Mv_Bg,5,2024983,404996.6,21.171,255,3770.129,1538.731,329.099,141.132
lesions:D1_1F_Mv_Bg,18,5732,318.444,0.098,255,65.424,25.31,11.748,100.184
leaf:D1_1W_Mv_1,1,392290,392290,36.095,255,3929.957,1568.296,318.485,1.316
lesions:D1_1W_Mv_1,7,4559,651.286,0.781,255,119.754,47.188,16.59,53.025
leaf:D1_1W_Mv_2,1,546282,546282,37.843,255,4565.035,1941.139,358.319,174.486
lesions:D1_1W_Mv_2,4,1476,369,0.169,255,74.184,28.148,14.94,78.848
leaf:D1_1W_Mv_3,1,449060,449060,32.404,255,4014.927,1662.825,343.849,179.751
lesions:D1_1W_Mv_3,10,8444,844.4,1.325,255,109.617,40.682,21.076,64.738
leaf:D1_1W_Mv_Bg,10,4476918,447691.8,24.62,255,3954.224,1630.082,345.433,72.877
lesions:D1_1W_Mv_Bg,62,64084,1033.613,0.419,255,123.162,44.635,20.02,65.567
leaf:D1_2F_Mv_1,1,245050,245050,40.643,255,2926.896,1184.133,263.49,175.754
lesions:D1_2F_Mv_1,10,3442,344.2,0.91,255,58.674,21.92,13.607,106.585
leaf:D1_2F_Mv_2,1,464915,464915,45.121,255,4277.974,1803.058,328.302,177.31
lesions:D1_2F_Mv_2,8,10540,1317.5,1.537,255,166.882,52.251,22.361,99.18
