Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Edge_Mv_June,20,3436491,171824.55,28.707,254.999,2242.129,896.866,232.608,96.916
lesions:D1_10F_Edge_Mv_June,7,246,35.143,0.002,255,18.526,6.571,5.037,46.306
leaf:D1_10F_Mv_1_June,1,169582,169582,32.757,254.244,2047.842,760.742,283.826,90.716
lesions:D1_10F_Mv_1_June,13,7934,610.308,3.197,255,99.83,28.986,13.763,81.492
leaf:D1_10F_Mv_2_June,1,214963,214963,25.387,255,2477.128,963.045,284.202,16.692
lesions:D1_10F_Mv_2_June,3,305,101.667,0.074,255,38.708,13.408,8.792,116.549
leaf:D1_10F_Mv_3_June_edited,1,277637,277637,39.021,254.996,2722.81,1049.429,336.848,72.185
lesions:D1_10F_Mv_3_June_edited,4,273,68.25,0.055,255,28.885,10.723,4.676,36.445
leaf:D1_10W_Edge_Mv_June,20,3461549,173077.45,24.857,254.984,2208.278,875.923,235.918,91.922
lesions:D1_10W_Edge_Mv_June,4,3707,926.75,0.032,255,105.286,23.323,19.299,114.473
leaf:D1_10W_Mv_1_June,1,98976,98976,11.205,255,1721.224,674.93,186.716,172.727
lesions:D1_10W_Mv_1_June,1,359,359,0.225,255,91.841,34.471,13.26,171.532
leaf:D1_10W_Mv_2_June,1,116586,116586,11.281,255,2018.386,779.028,190.548,71.305
lesions:D1_10W_Mv_2_June,5,7367,1473.4,2.909,255,201.206,35.963,17.553,55.359
leaf:D1_10W_Mv_3_June,1,100109,100109,15.248,255,1774.781,716.823,177.816,10.367
lesions:D1_10W_Mv_3_June,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Edge_Mv_June,20,2408988,120449.4,23.7,254.999,2051.34,799.372,184.897,38.89
lesions:D1_1F_Edge_Mv_June,3,396,132,0.004,255,43.375,14.499,8.435,79.295
leaf:D1_1F_Mv_1_June,1,132256,132256,18.204,255,2334.469,890.12,189.181,105.072
lesions:D1_1F_Mv_1_June,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_2_June_edited,1,129152,129152,20.106,254.996,1826.327,672.279,244.603,84.273
lesions:D1_1F_Mv_2_June_edited,2,11,5.5,0.006,255,7.071,2.373,2.324,58.283
leaf:D1_1F_Mv_3_June_edited,1,46425,46425,16.926,255,1034.791,382.899,154.375,88.139
