Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_BgMv,11,4312674,392061.273,26.995,255,3904.27,1595.874,309.799,66.276
lesions:D1_10F_BgMv,65,32066,493.323,0.239,255,78.962,29.892,14.584,78.875
leaf:D1_10F_Mv1,1,237134,237134,24.722,255,2692.327,1093.252,276.175,1.54
lesions:D1_10F_Mv1,5,2760,552,0.804,255,96.297,35.357,17.94,80.237
leaf:D1_10F_Mv2,1,381065,381065,36.073,255,3840.376,1574.249,308.202,2.335
lesions:D1_10F_Mv2,5,2702,540.4,0.469,255,90.641,34.528,17.163,67.042
leaf:D1_10F_Mv3,1,142113,142113,15.95,255,2187.609,887.009,203.993,177.634
lesions:D1_10F_Mv3,5,3029,605.8,1.385,255,106.103,40.655,14.365,102.566
leaf:D1_10W_BgMv,10,4076119,407611.9,24.985,254.997,4022.141,1630.378,312.994,138.803
lesions:D1_10W_BgMv,297,278219,936.764,2.043,255,111.211,38.258,17.373,107.672
leaf:D1_10W_Mv1,1,811674,811674,27.679,255,6309.843,2684.763,384.934,171.742
lesions:D1_10W_Mv1,62,39287,633.661,2.466,255,90.117,33.408,15.516,126.319
leaf:D1_10W_Mv2,1,157286,157286,20.024,255,2569.616,1022.04,195.944,177.742
lesions:D1_10W_Mv2,15,7823,521.533,3.17,255,95.525,29.046,13.282,113.605
leaf:D1_10W_Mv3,1,224110,224110,20.776,255,2753.048,1140.801,250.127,179.288
lesions:D1_10W_Mv3,25,18528,741.12,5.709,255,99.547,36.665,18.324,116.563
leaf:D1_1F_BgMv,3,958837,319612.333,12.813,255,3418.048,1390.475,284.773,92.213
lesions:D1_1F_BgMv,16,6785,424.062,0.189,255,78.454,29.604,14.091,103.008
leaf:D1_1W_BgMv,10,3096394,309639.4,22.119,255,3621.31,1467.561,263.546,88.47
lesions:D1_1W_BgMv,98,124747,1272.929,1.149,255,144.719,50.133,19.422,77.134
leaf:D1_1W_Mv1,1,236306,236306,24.51,255,3098.67,1274.005,236.164,174.874
lesions:D1_1W_Mv1,9,5400,600,1.383,255,96.442,38.741,17.642,135.96
leaf:D1_1W_Mv2,1,184423,184423,17.24,255,2661.349,1100.99,213.276,176.918
