Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Edge_Mv_May_edited,20,1120423,56021.15,21.818,255,1247.096,476.621,141.219,98.043
lesions:D1_10F_Edge_Mv_May_edited,6,1922,320.333,0.044,255,77.548,30.675,10.001,87.263
leaf:D1_10W_Edge_Mv_May,14,867623,61973.071,17.58,254.998,1290.498,499.147,152.325,67.918
lesions:D1_10W_Edge_Mv_May,6,1528,254.667,0.038,255,74.298,29.469,9.538,72.042
leaf:D1_1F_Edge_Mv_May,20,1008930,50446.5,17.456,255,1193.506,465.699,135.363,81.501
lesions:D1_1F_Edge_Mv_May,11,1777,161.545,0.036,255,53.893,17.508,8.649,85.958
leaf:D1_1W_Edge_Mv_May_edited,20,1062310,53115.5,19.034,254.986,1321.13,493.286,133,98.658
lesions:D1_1W_Edge_Mv_May_edited,6,1178,196.333,0.023,255,64.793,24.547,7.901,55.367
leaf:D1_2F_Edge_Mv_May,20,1166101,58305.05,22.961,255,1260.876,491.614,146.523,65.522
lesions:D1_2F_Edge_Mv_May,12,2031,169.25,0.049,255,49.086,15.926,8.833,104.964
leaf:D1_2W_Edge_Mv_May_edited,20,1267694,63384.7,20.832,255,1289.724,501.853,158.049,60.654
lesions:D1_2W_Edge_Mv_May_edited,3,138,46,0.002,255,23.361,8.747,5.481,82.411
leaf:D1_3F_Edge_Mv_May,19,1035143,54481.211,21.101,255,1198.053,462.744,144.634,91.228
lesions:D1_3F_Edge_Mv_May,5,1466,293.2,0.035,255,69.784,23.343,8.942,36.85
leaf:D1_3W_Edge_Mv_May,20,1337668,66883.4,22.864,254.997,1367.106,536.998,154.252,84.937
lesions:D1_3W_Edge_Mv_May,7,1898,271.143,0.034,255,71.451,21.533,10.395,75.734
leaf:D1_4F_Edge_Mv_May,20,1144075,57203.75,20.277,255,1204.192,477.704,146.196,42.346
lesions:D1_4F_Edge_Mv_May,3,1100,366.667,0.022,255,84.426,33.743,11.656,119.276
leaf:D1_4W_Edge_Mv_May_edited,18,1267760,70431.111,24.868,255,1530.08,559.933,155.555,105.463
lesions:D1_4W_Edge_Mv_May_edited,5,747,149.4,0.015,255,44.87,16.769,8.643,94.839
leaf:D1_5F_Edge_Mv_May_edited,21,1143724,54463.048,19.887,254.998,1264.407,488.281,137.691,67.239
lesions:D1_5F_Edge_Mv_May_edited,7,1041,148.714,0.02,255,42.893,16.577,6.227,75.645
