Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Mv_1,1,383673,383673,29.179,255,3953.884,1673.679,291.876,177.465
lesions:D1_10F_Mv_1,8,5266,658.25,0.94,255,93.151,35.229,19.107,168.067
leaf:D1_10F_Mv_2,1,68159,68159,16.608,255,1582.708,665.104,130.48,0.691
lesions:D1_10F_Mv_2,9,2531,281.222,2.501,255,62.722,23.058,12.567,44.114
leaf:D1_10F_Mv_3,1,226599,226599,25.239,255,3006.077,1259.002,229.161,2.912
lesions:D1_10F_Mv_3,6,4979,829.833,1.471,255,120.447,45.728,20.475,35.376
leaf:D1_10F_Mv_Bg,10,3581108,358110.8,33.105,255,3717.784,1546.552,292.168,38.653
lesions:D1_10F_Mv_Bg,113,57875,512.168,0.643,255,80.419,30.341,14.708,67.804
leaf:D1_10W_Mv_1,1,209722,209722,38.072,255,2839.148,1182.864,225.746,2.311
lesions:D1_10W_Mv_1,41,66695,1626.707,20.796,255,127.299,43.025,18.623,75.176
leaf:D1_10W_Mv_2,1,411182,411182,26.281,255,4795.523,2073.385,252.502,3.129
lesions:D1_10W_Mv_2,48,13921,290.021,2.258,255,58.645,20.856,10.164,68.617
leaf:D1_10W_Mv_3,1,254525,254525,24.224,255,3225.634,1379.877,234.855,2.734
lesions:D1_10W_Mv_3,52,26222,504.269,6.887,255,84.568,29.786,14.913,51.52
leaf:D1_10W_Mv_Bg,9,3704251,411583.444,36.283,255,4377.409,1802.932,283.516,61.035
lesions:D1_10W_Mv_Bg,682,651069,954.647,7.544,255,116.878,39.583,17.85,82.664
leaf:D1_1F_Mv_3,1,368364,368364,32.09,255,3748.067,1560.47,300.56,177.053
lesions:D1_1F_Mv_3,6,1110,185,0.2,255,41.782,16.475,8.423,67.651
leaf:D1_1F_Mv_Bg,9,1777269,197474.333,30.171,255,2618.737,1072.571,215.338,61.739
lesions:D1_1F_Mv_Bg,47,42315,900.319,0.898,255,113.97,38.789,17.263,78.163
leaf:D1_1W_Mv_1,1,339434,339434,36.331,255,3901.648,1599.983,270.116,4.485
lesions:D1_1W_Mv_1,36,89013,2472.583,16.383,255,150.218,49.945,19.286,66.959
leaf:D1_1W_Mv_2,1,314142,314142,27.736,255,3810.81,1511.348,264.65,5.816
lesions:D1_1W_Mv_2,30,65253,2175.1,9.736,255,150.081,50.614,17.253,53.265
leaf:D1_1W_Mv_3,1,147565,147565,27.432,255,2288.84,966.383,194.421,1.079
lesions:D1_1W_Mv_3,33,14662,444.303,6.975,255,78.318,30.497,13.486,74.339
