site,plot,treatment,mv.g,mv_weigh_date,process_notes
D1,1,fungicide,2.36,20190402,
D1,2,fungicide,2.80,20190402,
D1,3,fungicide,1.40,20190402,
D1,4,fungicide,18.99,20190402,
D1,5,fungicide,0.84,20190402,
D1,6,fungicide,1.11,20190402,
D1,7,fungicide,1.04,20190402,
D1,8,fungicide,1.90,20190402,
D1,9,fungicide,3.96,20190402,
D1,10,fungicide,1.08,20190402,
D1,1,water,1.44,20190402,
D1,2,water,6.90,20190402,
D1,3,water,2.38,20190402,
D1,4,water,9.69,20190402,
D1,5,water,3.28,20190402,
D1,6,water,1.50,20190402,
D1,7,water,1.34,20190402,
D1,8,water,0.78,20190402,
D1,9,water,0.81,20190402,
D1,10,water,4.89,20190402,
D2,1,fungicide,1.71,20190402,
D2,2,fungicide,0.29,20190402,
D2,3,fungicide,6.06,20190402,
D2,4,fungicide,8.79,20190402,
D2,5,fungicide,1.44,20190402,
D2,6,fungicide,3.49,20190402,
D2,7,fungicide,1.59,20190402,
D2,8,fungicide,1.39,20190402,
D2,9,fungicide,0.93,20190402,
D2,10,fungicide,0.26,20190402,
D2,1,water,0.54,20190402,
D2,2,water,1.58,20190402,
D2,3,water,2.61,20190402,
D2,4,water,20.25,20190402,
D2,5,water,2.69,20190402,
D2,6,water,1.61,20190402,
D2,7,water,2.16,20190402,
D2,8,water,1.36,20190402,
D2,9,water,3.63,20190402,
D2,10,water,2.80,20190402,
D3,1,fungicide,2.87,20190402,
D3,2,fungicide,4.00,20190402,
D3,3,fungicide,3.54,20190402,
D3,4,fungicide,2.31,20190402,
D3,5,fungicide,0.95,20190402,
D3,6,fungicide,0.65,20190402,
D3,7,fungicide,2.62,20190402,
D3,8,fungicide,5.09,20190402,
D3,9,fungicide,1.36,20190402,
D3,10,fungicide,2.45,20190402,
D3,1,water,4.22,20190402,
D3,2,water,4.18,20190402,
D3,3,water,3.58,20190402,
D3,4,water,7.75,20190402,
D3,5,water,4.03,20190402,
D3,6,water,1.89,20190402,
D3,7,water,1.03,20190402,
D3,8,water,0.51,20190402,
D3,9,water,1.37,20190402,
D3,10,water,2.29,20190402,
D4,1,fungicide,1.73,20190402,
D4,2,fungicide,1.33,20190402,
D4,3,fungicide,4.65,20190402,
D4,4,fungicide,6.76,20190402,
D4,5,fungicide,0.86,20190402,
D4,6,fungicide,0.28,20190402,
D4,7,fungicide,1.33,20190402,
D4,8,fungicide,NA,NA,
D4,9,fungicide,6.01,20190402,
D4,10,fungicide,NA,NA,
D4,1,water,1.36,20190402,
D4,2,water,1.04,20190402,
D4,3,water,3.08,20190402,
D4,4,water,5.99,20190402,
D4,5,water,1.29,20190402,
D4,6,water,4.02,20190402,
D4,7,water,6.29,20190402,
D4,8,water,1.96,20190402,
D4,9,water,1.77,20190402,
D4,10,water,1.89,20190402,
