site,plot,treatment,sort_date,sort_initials,mv.g,mv_weigh_date,mv_inf.g,mv_inf_weigh_date,process_notes
D1,1,fungicide,20180821,PR,0.9103,20180914,0.0346,20180916,
D1,2,fungicide,20180823,PR,2.2907,20180914,0.4729,20180914,
D1,3,fungicide,20180823,PR,0.4,20180914,0.0258,20180914,
D1,4,fungicide,20180823,PR,9.287,20180914,1.7736,20180914,
D1,5,fungicide,20180827,PR,0.8307,20180914,0.4592,20180914,
D1,6,fungicide,20180821,PR,0.4184,20180914,0.0038,20180914,
D1,7,fungicide,20180823,PR,0.1603,20180914,0.0341,20180914,
D1,8,fungicide,20180823,PR,2.1575,20180916,0.7055,20180914,
D1,9,fungicide,20180823,PR,1.1524,20180916,0.2606,20180914,
D1,10,fungicide,20180824,PR,2.2568,20180914,0.3308,20180914,
D1,1,water,20180827,PR,2.0728,20180914,0.1497,20180914,
D1,2,water,20180823,PR,0.1551,20180914,0.091,20180914,
D1,3,water,20180821,DN,2.734,20180914,0.9752,20180916,
D1,4,water,20180821,PR,4.9544,20180914,0.0857,20180916,
D1,5,water,20180821,PR,0.3148,20180914,0.0126,20180916,
D1,6,water,20180824,PR,0.7678,20180916,0.0966,20180914,
D1,7,water,20180821,DN,0.3203,20180914,0.1179,20180914,
D1,8,water,20180827,PR,0.4038,20180914,0.1161,20180914,
D1,9,water,20180824,PR,0.4679,20180914,0.0446,20180914,
D1,10,water,20180821,PR,0.528,20180914,0.1952,2180916,
D2,1,fungicide,NA,NA,NA,NA,NA,NA,bag must have gotten lost
D2,2,fungicide,20180820,DN,0.1676,20180916,0,20180916,
D2,3,fungicide,20180820,DN,6.3899,20180916,0.1898,20180916,
D2,4,fungicide,20180817,DN,2.6766,20180914,0.0355,20180916,
D2,5,fungicide,20180817,DN,0.8511,20180916,0.0784,20180916,
D2,6,fungicide,20180817,DN,0.4289,20180916,0.0631,20180916,
D2,7,fungicide,20180817,DN,2.6255,20180916,0.2051,20180916,
D2,8,fungicide,20180817,DN,1.9378,20180916,0.3912,20180916,
D2,9,fungicide,20180817,ZC,1.9351,20180916,0.3193,20180916,
D2,10,fungicide,20180820,DN,0.2459,20180914,0,20180916,
D2,1,water,20180820,DN,0.3156,20180914,0,20180916,
D2,2,water,20180820,DN,4.0671,20180916,0.5198,20180914,
D2,3,water,20180820,DN,2.7698,20180914,0,20180916,
D2,4,water,20180820,DN,3.342,20180914,0.1478,20180914,
D2,5,water,20180820,DN,1.478,20180916,0,20180916,
D2,6,water,20180817,DN,0.7306,20180914,0.1424,20180916,
D2,7,water,20180817,ZC,0.3259,20180916,0.1535,20180916,
D2,8,water,20180817,ZC,0.7137,20180916,0.421,20180916,
D2,9,water,20180817,DN,1.1741,20180916,0.214,20180916,
D2,10,water,20180817,DN,0.3773,20180916,0.0549,20180916,
D3,1,fungicide,20180816,DN,2.1042,20180914,0.059,20180916,
D3,2,fungicide,20180815,ZC,5.7393,20180916,0.0728,20180914,
D3,3,fungicide,20180816,DN,2.084,20180914,0.1522,20180916,
D3,4,fungicide,20180808,PR,1.1169,20180916,0.2332,20180914,
D3,5,fungicide,20180815,ZC,0.8295,20180914,0,20180914,
D3,6,fungicide,20180815,DN,0.1738,20180916,0,20180916,
D3,7,fungicide,20180808,DN,4.8247,20180916,0.7626,20180914,
D3,8,fungicide,20180809,PR,9.415,20180916,1.5208,20180914,
D3,9,fungicide,20180810,ZC,0.9908,20180916,0.0538,20180914,
D3,10,fungicide,20180816,DN,0.8848,20180914,0,20180916,
D3,1,water,20180808,DN,1.4787,20180916,0.0772,20180914,
D3,2,water,20180816,DN,3.038,20180914,0.6836,20180916,
D3,3,water,20180808,PR,1.3466,20180916,0.3546,20180914,
D3,4,water,20180815,DN,4.8699,20180914,0.2333,20180916,
D3,5,water,20180815,DN,1.1303,20180914,0.1275,20180916,
D3,6,water,20180810,ZC,0.08488,20180916,0.1069,20180916,
D3,7,water,20180815,ZC,0.8448,20180914,0.0098,20180914,
D3,8,water,20180815,DN,1.4834,20180916,0.0564,20180916,
D3,9,water,20180815,DN,0.1194,20180916,0,20180916,
D3,10,water,20180818,PR,1.8988,20180914,0.0601,20180914,
D4,1,fungicide,20180806,DN,0.2493,20180916,0.0265,20180916,
D4,2,fungicide,20180816,DN,1.3157,20180916,0.0246,20180914,
D4,3,fungicide,20180815,DN,2.4378,20180916,0.0421,20180916,
D4,4,fungicide,20180817,ZC,2.1829,20180916,0,20180914,
D4,5,fungicide,20180808,PR,0.512,20180916,0.0228,20180914,
D4,6,fungicide,20180808,DN,0.6034,20180916,0,20180916,
D4,7,fungicide,20180806,"PR,  DN",0.6472,20180916,0.0073,20180916,
D4,8,fungicide,NA,NA,NA,NA,NA,NA,
D4,9,fungicide,20180806,"PR,  DN",1.06,20180916,0.0535,20180916,
D4,10,fungicide,NA,NA,NA,NA,NA,NA,
D4,1,water,20180816,DN,0.5767,20180916,0,20180916,
D4,2,water,20180806,DN,0.2551,20180916,0.0259,20180916,
D4,3,water,20180817,ZC,5.1879,20180916,0.12,20180916,
D4,4,water,20180808,PR,3.0973,20180916,0.0573,20180914,
D4,5,water,20180816,DN,1.195,20180914,0.0034,20180914,
D4,6,water,20180816,DN,1.3057,20180914,0,20180916,
D4,7,water,20180816,DN,1.5737,20180914,0.0283,20180914,
D4,8,water,20180817,ZC,0.1634,20180916,0,20180914,
D4,9,water,20180816,DN,2.2351,20180914,0.0111,20180914,
D4,10,water,20180808,"PR, DN",1.5927,20180916,0.0361,20180916,
