date,month,site,plot,treatment,sp,ID,focal,age,leaves_tot,leaves_infec,Bp_spots,leaf_area.pix,lesion_area.pix,leaf_count,scan_notes
20190507,may,D1,1,water,Ev,A,1,adult,4,1,0,224820,16086,1,NA
20190507,may,D1,2,water,Ev,A,1,adult,5,0,0,253435,155,1,NA
20190507,may,D1,3,water,Ev,A,1,adult,5,0,0,392795,327,1,NA
20190507,may,D1,5,water,Ev,A,1,adult,5,0,0,482539,27,1,NA
20190507,may,D1,6,water,Ev,A,1,adult,3,1,0,112750,4305,1,NA
20190507,may,D1,7,water,Ev,A,1,adult,4,3,0,121201,17791,1,NA
20190507,may,D1,8,water,Ev,R1,0,adult,5,1,0,300797,4083,1,NA
20190507,may,D1,8,water,Ev,R2,0,adult,4,0,0,162846,1304,2,NA
20190507,may,D1,9,water,Ev,A,1,adult,4,1,0,282627,2883,2,NA
20190507,may,D1,9,water,Ev,R1,0,adult,2,1,0,238839,9364,1,NA
20190507,may,D1,9,water,Ev,R2,0,adult,3,1,0,678686,2683,1,NA
20190507,may,D1,9,water,Ev,S1,0,adult,5,2,0,127935,2735,1,NA
20190507,may,D1,10,water,Ev,A,1,adult,3,1,0,560180,36683,1,NA
20190507,may,D1,10,water,Ev,R1,0,adult,3,2,0,94598,1474,1,NA
20190507,may,D1,10,water,Ev,R2,0,adult,4,1,1,265351,78783,1,NA
20190507,may,D1,10,water,Ev,R3,0,adult,6,1,0,394641,39698,1,NA
20190507,may,D1,10,water,Ev,R4,0,adult,3,1,0,185261,2071,1,NA
20190507,may,D1,10,water,Ev,R6,0,adult,2,2,1,285574,16673,1,NA
20190507,may,D1,10,water,Ev,R7,0,adult,5,2,0,320313,3540,1,NA
20190507,may,D1,10,water,Ev,R8,0,adult,3,0,0,179056,3237,1,NA
20190507,may,D1,1,fungicide,Ev,A,1,adult,4,0,0,703824,513,1,NA
20190507,may,D1,2,fungicide,Ev,A,1,adult,2,1,0,274984,4367,1,NA
20190507,may,D1,3,fungicide,Ev,A,1,adult,4,0,0,398270,21,1,NA
20190507,may,D1,5,fungicide,Ev,A,1,adult,2,1,0,131409,16995,1,NA
20190507,may,D1,6,fungicide,Ev,A,1,adult,4,0,0,174489,202,1,NA
20190507,may,D1,8,fungicide,Ev,A,1,adult,5,0,0,130410,257,1,NA
20190507,may,D1,8,fungicide,Ev,R1,0,adult,4,0,0,741925,148,1,NA
20190507,may,D1,8,fungicide,Ev,R2,0,adult,5,0,0,410429,35,1,NA
20190507,may,D1,9,fungicide,Ev,A,1,adult,3,1,0,133076,890,1,NA
20190507,may,D1,9,fungicide,Ev,R1,0,adult,3,1,0,520118,2434,1,NA
20190507,may,D1,9,fungicide,Ev,R2,0,adult,3,1,0,465026,29524,1,NA
20190507,may,D1,9,fungicide,Ev,R3,0,adult,3,1,0,329839,1075,1,NA
20190507,may,D1,9,fungicide,Ev,R4,0,adult,4,2,0,382851,6290,2,NA
20190507,may,D1,10,fungicide,Ev,A,1,adult,4,1,0,148243,88,1,NA
20190507,may,D1,10,fungicide,Ev,R1,0,adult,3,1,0,168762,31695,1,NA
20190507,may,D1,10,fungicide,Ev,R3,0,adult,4,1,0,209432,21761,1,NA
20190507,may,D1,10,fungicide,Ev,R4,0,adult,5,2,0,365466,2938,1,NA
20190507,may,D1,10,fungicide,Ev,R5,0,adult,5,2,0,344956,549,1,NA
20190507,may,D1,10,fungicide,Ev,R6,0,adult,3,2,1,235397,1948,1,NA
20190507,may,D1,10,fungicide,Ev,R8,0,adult,3,1,0,247260,118,1,NA
20190507,may,D2,1,water,Ev,A,1,adult,4,2,1,421777,356,1,NA
20190507,may,D2,2,water,Ev,A,1,adult,5,0,0,532458,485,1,NA
20190507,may,D2,3,water,Ev,A,1,adult,5,1,0,265205,3309,1,NA
20190507,may,D2,5,water,Ev,A,1,adult,5,2,0,340456,3651,1,NA
20190507,may,D2,6,water,Ev,A,1,adult,6,0,0,517502,159,1,NA
20190507,may,D2,8,water,Ev,R1,0,adult,5,2,0,296180,12113,1,NA
20190507,may,D2,8,water,Ev,R2,0,adult,4,2,0,130466,45154,1,NA
20190507,may,D2,9,water,Ev,A,1,adult,5,1,1,57106,1310,1,NA
20190507,may,D2,9,water,Ev,R2,0,adult,6,1,0,248177,37277,1,NA
20190507,may,D2,9,water,Ev,R3,0,adult,3,1,0,119813,3694,1,NA
20190507,may,D2,9,water,Ev,R4,0,adult,4,1,0,445697,829,1,NA
20190507,may,D2,10,water,Ev,A,1,adult,5,1,0,468433,646,1,NA
20190507,may,D2,10,water,Ev,R1,0,adult,3,1,0,474139,2084,1,NA
20190507,may,D2,10,water,Ev,R2,0,adult,3,1,0,208843,360,1,NA
20190507,may,D2,10,water,Ev,R3,0,adult,4,1,0,184864,223,1,NA
20190507,may,D2,10,water,Ev,R4,0,adult,4,1,0,361206,11873,1,NA
20190507,may,D2,10,water,Ev,R5,0,adult,5,1,0,248500,242,1,NA
20190507,may,D2,10,water,Ev,R6,0,adult,3,1,0,258836,6561,1,NA
20190507,may,D2,10,water,Ev,S1,0,adult,3,1,1,346783,12070,1,NA
20190507,may,D2,10,water,Ev,S2,0,adult,4,2,0,325358,3060,1,NA
20190507,may,D2,1,fungicide,Ev,A,1,adult,4,1,0,510471,1625,1,NA
20190507,may,D2,2,fungicide,Ev,A,1,adult,4,0,0,178974,634,1,NA
