site,treatment,block,ev_germ,ev_infec,litter_weight.lb,litter_weight.g,litter.g.m2,litter.g.cm2,plot,ev_tot,ev_prop_germ
D1,addition,1,0,0,28.7,13018.0904,3254.5226,0.32545226,D1_1,26,0
D1,control,1,2,0,20.8,9434.7136,2358.6784,0.23586783999999997,D1_1,26,0.07692307692307693
D1,removal,1,4,0,0,0,0,0,D1_1,50,0.08
D1,addition,2,0,0,13,5896.696,1474.174,0.1474174,D1_2,26,0
D1,control,2,0,0,2.8,1270.0575999999999,317.51439999999997,0.03175144,D1_2,26,0
D1,removal,2,1,0,0,0,0,0,D1_2,50,0.02
D3,addition,1,0,0,9.1,4127.687199999999,1031.9217999999998,0.10319217999999998,D3_1,26,0
D3,control,1,0,0,7.6,3447.2992,861.8248,0.08618247999999999,D3_1,26,0
D3,removal,1,0,0,0,0,0,0,D3_1,50,0
D3,addition,2,0,0,7.4,3356.5808,839.1452,0.08391452,D3_2,26,0
D3,control,2,0,0,4.5,2041.164,510.291,0.0510291,D3_2,26,0
D3,removal,2,2,0,0,0,0,0,D3_2,50,0.04
