site,plot,plant,collect_date,spikelet_date,spikelet_notes,experiment,treatment,month,ID,focal,age,seed_date,ID_unclear,sp,spikelets,spikelet_weight.mg,seeds,seed_weight.mg,reps,spikelet_weight.g
D3,10,EVAR6,20180828,20190221,2 samples,density,water,late August,R6,0,adult,NA,0,Ev,293,4972,361.949483350212,NA,1,4.972
D2,1,EVA,20180829,20190328,processed by Keith Clay,density,fungicide,late August,A,1,adult,20190201,0,Ev,NA,167,8,19,1,0.167
D1,8,EVAR2,20180711,20190214,NA,density,water,July,R2,0,adult,NA,0,Ev,34,196,14.268322352502324,NA,1,0.196
D2,8,EVAR2,20180711,20190214,NA,density,fungicide,July,R2,0,adult,NA,0,Ev,14,46,3.3486878990566673,NA,1,0.046
D2,8,EVA,20180711,20190214,NA,density,water,July,A,1,adult,NA,0,Ev,26,264,19.218556638064353,NA,1,0.264
D3,8,EVAR2,20180711,20190214,NA,density,water,July,R2,0,adult,20190313,0,Ev,64,866,46,81,1,0.866
D3,10,EVAR2,20180711,20190214,NA,density,fungicide,July,R2,0,adult,NA,0,Ev,14,156,11.356419831583482,NA,1,0.156
D3,10,EVAR2,20180711,20190214,NA,density,water,July,R2,0,adult,NA,0,Ev,15,70,5.095829411607973,NA,1,0.07
D3,10,EVAR6,20180711,20190214,NA,density,water,July,R6,0,adult,NA,0,Ev,23,137,9.973266134147032,NA,1,0.137
D4,2,EVA,20180711,20190214,NA,density,fungicide,July,A,1,adult,NA,0,Ev,22,104,7.570946554388987,NA,1,0.104
D4,8,EVAS1,20180711,20190214,NA,density,water,July,S1,0,adult,NA,0,Ev,23,210,15.287488234823916,NA,1,0.21
D4,9,EVAR4,20180711,20190214,NA,density,water,July,R4,0,adult,20190313,0,Ev,15,180,16,38,1,0.18
D4,10,EVA,20180711,20190214,NA,density,water,July,A,1,adult,NA,0,Ev,17,121,8.808505125779496,NA,1,0.121
D4,10,EVAR1,20180711,20190214,NA,density,water,July,R1,0,adult,NA,0,Ev,26,469,34.142057057773414,NA,1,0.469
D4,10,EVAR8,20180711,20190214,NA,density,water,July,R8,0,adult,NA,0,Ev,32,148,10.774039327399713,NA,1,0.148
D1,1,EVA,20180801,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,30,112,8.153327058572756,NA,1,0.112
D1,8,EVA,20180801,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,13,104,7.570946554388987,NA,1,0.104
D1,5,EVA,20180801,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,34,178,12.957966218088844,NA,1,0.178
