site,plot,treatment,sp,ID,collect_date,spikelet_weight.g,spikelet_notes,spikelet_bags_green,age,seeds,seed_weight
D1,1,water,Ev,A,20190830,0.03,NA,0,adult,2,0.008
D1,1,water,Ev,A,20190928,0.067,NA,0,NA,4.877436722539059,NA
D1,1,water,Ev,A,20191022,0.101,brown,0,NA,7.352553865320075,NA
D1,2,fungicide,Ev,1,20191022,0.01,brown,0,NA,0.7279756302297103,NA
D1,2,fungicide,Ev,2,20190928,0.063,NA,0,NA,4.5862464704471755,NA
D1,2,fungicide,Ev,2,20191022,0.059,green,1,NA,4.295056218355291,NA
D1,2,fungicide,Ev,3,20190831,0.185,NA,0,NA,13.467549159249641,NA
D1,2,fungicide,Ev,3,20190928,0.098,NA,0,NA,7.134161176251162,NA
D1,2,water,Ev,1,20190928,0.305,NA,0,NA,22.203256722006163,NA
D1,2,water,Ev,2,20190928,0.293,NA,0,seedling,28,0.139
D1,2,water,Ev,3,20190928,0.066,NA,0,NA,4.804639159516088,NA
D1,2,water,Ev,3,20191022,0.058,green,1,NA,4.22225865533232,NA
D1,2,water,Ev,A,20190830,0.208,NA,0,NA,15.141893108777975,NA
D1,2,water,Ev,A,20190928,0.388,NA,0,NA,28.24545445291276,NA
D1,2,water,Ev,A,20191022,0.013,brown,0,NA,0.9463683192986234,NA
D1,3,fungicide,Ev,A,20190830,0.12,NA,0,NA,8.735707562756524,NA
D1,3,fungicide,Ev,A,20191022,0.138,brown; green,1,NA,10.046063697170004,NA
D1,3,water,Ev,1,20191022,0.07500000000000001,green; brown,1,NA,5.459817226722828,NA
D1,3,water,Ev,3,20191022,0.191,brown; green,1,NA,13.904334537387468,NA
D1,3,water,Ev,A,20190830,2.085,NA,0,NA,151.7829189028946,NA
D1,3,water,Ev,A,20190928,0.56,NA,0,NA,40.76663529286378,NA
D1,3,water,Ev,A,20191022,0.055,brown,0,NA,4.003865966263407,NA
D1,4,fungicide,Ev,2,20190928,0.039,NA,0,NA,2.8391049578958705,NA
D1,4,fungicide,Ev,2,20191022,0.040999999999999995,brown; green,1,NA,2.984700083941812,NA
D1,4,fungicide,Ev,A,20190830,0.233,NA,0,NA,16.96183218435225,NA
D1,4,fungicide,Ev,A,20190928,0.868,NA,0,NA,63.188284703938855,NA
D1,4,water,Ev,A,20190830,0.682,NA,0,NA,49.647937981666246,NA
D1,4,water,Ev,A,20190928,0.268,NA,0,NA,19.509746890156237,NA
D1,4,water,Ev,A,20191022,0.105,brown,0,NA,7.643744117411958,NA
D1,5,fungicide,Ev,1,20190830,0.12,NA,0,NA,8.735707562756524,NA
D1,5,fungicide,Ev,1,20191022,0.016,brown,0,NA,1.1647610083675366,NA
D1,5,fungicide,Ev,2,20190830,0.076,NA,0,NA,5.532614789745798,NA
D1,5,fungicide,Ev,3,20190830,0.278,NA,0,NA,20.237722520385947,NA
D1,5,water,Ev,1,20191022,0.066,brown,0,NA,4.804639159516088,NA
D1,5,water,Ev,A,20190928,0.109,NA,0,NA,7.934934369503843,NA
D1,5,water,Ev,A,20191022,0.431,green; brown,1,NA,31.375749662900514,NA
D1,6,fungicide,Ev,2,20190830,0.066,NA,0,NA,4.804639159516088,NA
D1,6,fungicide,Ev,2,20191022,0.087,brown,0,seedling,9,0.042
D1,6,fungicide,Ev,3,20190928,0.164,NA,0,NA,11.93880033576725,NA
