month,site,plot,treatment,sp,ID,focal,age,bp_example,leaves_tot,leaves_infec,Bp_spots_Ev,leaf_area.pix,lesion_area.pix,leaf_count
jul,D1,10,fungicide,Ev,1,1,seedling,0,3,1,0,320791,2924,1
jul,D1,10,fungicide,Ev,2,1,seedling,0,5,1,0,206506,5805,1
jul,D1,10,fungicide,Ev,3,1,seedling,0,6,2,1,303702,544,1
jul,D1,10,fungicide,Ev,A,1,adult,0,6,1,0,495917,7232,1
jul,D1,10,water,Ev,1,1,seedling,0,2,1,0,226455,1815,1
jul,D1,10,water,Ev,2,1,seedling,0,5,0,1,468503,550,2
jul,D1,10,water,Ev,A,1,adult,0,4,0,0,551128,270400,1
jul,D1,1,fungicide,Ev,1,1,seedling,0,3,0,0,69907,23359,1
jul,D1,1,fungicide,Ev,2,1,seedling,0,5,1,0,638912,92887,1
jul,D1,1,fungicide,Ev,3,1,seedling,0,7,0,0,610066,4660,1
jul,D1,1,fungicide,Ev,A,1,adult,0,9,2,0,255206,795,1
jul,D1,1,water,Ev,3,1,seedling,0,6,2,0,367990,654,1
jul,D1,1,water,Ev,A,1,adult,0,6,2,0,525363,321660,1
jul,D1,2,fungicide,Ev,1,1,seedling,0,6,4,1,527961,7171,1
jul,D1,2,fungicide,Ev,2,1,seedling,0,4,2,1,327597,17166,1
jul,D1,2,fungicide,Ev,3,1,seedling,0,4,0,0,633750,242321,1
jul,D1,2,fungicide,Ev,A,1,adult,0,6,4,1,424310,42780,1
jul,D1,2,water,Ev,1,1,seedling,0,3,1,1,447105,5223,1
jul,D1,2,water,Ev,2,1,seedling,0,5,3,1,214804,7753,1
jul,D1,2,water,Ev,3,1,seedling,0,3,0,0,282439,3917,1
jul,D1,2,water,Ev,A,1,adult,0,7,5,1,805097,187611,2
jul,D1,3,fungicide,Ev,1,1,seedling,0,1,1,0,202045,30524,2
jul,D1,3,fungicide,Ev,2,1,seedling,0,2,0,0,710978,116875,1
jul,D1,3,fungicide,Ev,3,1,seedling,0,7,0,0,338165,18327,1
jul,D1,3,fungicide,Ev,A,1,adult,0,5,0,NA,606692,137538,1
jul,D1,3,water,Ev,1,1,seedling,0,4,4,1,590762,14462,1
jul,D1,3,water,Ev,2,1,seedling,0,4,2,1,298497,1275,1
jul,D1,3,water,Ev,3,1,seedling,0,4,1,1,673732,100339,1
jul,D1,3,water,Ev,A,1,adult,0,5,4,1,582304,28810,1
jul,D1,4,fungicide,Ev,1,1,seedling,0,6,2,0,459819,3122,1
jul,D1,4,fungicide,Ev,2,1,seedling,0,6,3,1,397547,10604,1
jul,D1,4,fungicide,Ev,3,1,seedling,0,5,0,0,537397,38854,1
jul,D1,4,fungicide,Ev,A,1,adult,0,6,2,NA,898131,340842,1
jul,D1,4,water,Ev,1,1,seedling,0,2,1,0,523267,172903,1
jul,D1,4,water,Ev,2,1,seedling,0,1,1,0,265730,204125,1
jul,D1,4,water,Ev,A,1,adult,0,3,0,0,556052,471452,1
jul,D1,5,fungicide,Ev,2,1,seedling,0,6,4,1,404916,147426,1
jul,D1,5,fungicide,Ev,3,1,seedling,0,5,5,1,492508,66480,1
jul,D1,5,fungicide,Ev,A,1,adult,0,6,2,NA,459658,292432,2
jul,D1,5,water,Ev,2,1,seedling,0,2,0,0,140133,121068,1
jul,D1,5,water,Ev,3,1,seedling,0,2,0,0,265705,8242,1
jul,D1,5,water,Ev,A,1,adult,0,6,1,0,1207173,150550,2
jul,D1,6,fungicide,Ev,3,1,seedling,0,2,0,0,257062,128028,1
jul,D1,6,fungicide,Ev,A,1,adult,0,6,3,0,913477,85914,1
jul,D1,6,water,Ev,1,1,seedling,0,5,3,0,609384,169137,1
jul,D1,6,water,Ev,2,1,seedling,0,5,3,0,438594,211187,1
jul,D1,6,water,Ev,3,1,seedling,0,5,3,1,360450,18250,1
jul,D1,6,water,Ev,A,1,adult,0,8,2,0,1363456,105871,2
jul,D1,7,fungicide,Ev,1,1,seedling,0,8,2,0,343614,30735,1
jul,D1,7,fungicide,Ev,2,1,seedling,0,4,3,0,393144,170568,1
jul,D1,7,fungicide,Ev,3,1,seedling,0,8,4,0,459400,27347,1
jul,D1,7,fungicide,Ev,A,1,adult,0,5,1,0,457634,8910,1
jul,D1,7,water,Ev,1,1,seedling,0,4,2,0,355695,9214,1
jul,D1,7,water,Ev,3,1,seedling,0,4,2,1,275506,62165,1
jul,D1,7,water,Ev,A,1,adult,0,5,2,0,1276467,241957,2
jul,D1,8,fungicide,Ev,1,1,seedling,0,1,1,0,365529,138604,1
jul,D1,8,fungicide,Ev,2,1,seedling,0,3,2,1,229705,5049,1
jul,D1,8,fungicide,Ev,3,1,seedling,0,2,1,0,368052,224924,1
jul,D1,8,fungicide,Ev,A,1,adult,0,7,3,1,478359,17937,1
jul,D1,8,water,Ev,1,1,seedling,0,7,4,0,355704,8090,1
jul,D1,8,water,Ev,3,1,seedling,0,7,1,0,558671,63187,2
jul,D1,8,water,Ev,A,1,adult,0,8,3,0,904595,603729,2
jul,D1,9,fungicide,Ev,1,1,seedling,0,2,1,1,488737,10073,1
jul,D1,9,fungicide,Ev,A,1,adult,0,5,1,1,561160,17986,2
jul,D1,9,water,Ev,1,1,seedling,0,3,1,0,425425,31456,2
jul,D1,9,water,Ev,2,1,seedling,0,2,2,0,477246,11328,1
jul,D1,9,water,Ev,3,1,seedling,0,6,3,0,463248,132062,1
jul,D1,9,water,Ev,A,1,adult,0,5,2,0,853684,38446,1
jul,D2,10,fungicide,Ev,1,1,seedling,0,5,3,0,348813,96449,1
jul,D2,10,fungicide,Ev,3,1,seedling,0,3,1,0,130722,40821,1
jul,D2,10,fungicide,Ev,A,1,adult,0,3,2,0,462798,388752,1
jul,D2,10,water,Ev,1,1,seedling,0,7,3,0,833918,704332,2
jul,D2,10,water,Ev,2,1,seedling,0,5,5,0,275420,178420,1
