site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D1,2,fungicide,Ev,adult,A,14.996297982732033,Mv,low,7,NA,NA,NA,NA,NA,NA,1,15.996297982732033,2.772357319388959,Ev adult,a,m,D12f
D1,2,fungicide,Ev,seedling,1,3,Mv,low,7,NA,NA,NA,NA,NA,NA,1,4,1.3862943611198906,Ev seedling,s,m,D12f
D1,2,water,Ev,adult,A,53.5062088218837,Mv,low,7,NA,NA,NA,NA,NA,NA,0,54.5062088218837,3.9983146185177434,Ev adult,a,m,D12w
D1,3,fungicide,Ev,adult,A,11.210824705537538,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,12.210824705537538,2.502322829292725,Ev adult,a,m,D13f
D1,3,water,Ev,adult,A,1.819939075574276,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,2.819939075574276,1.0367152803103585,Ev adult,a,m,D13w
D1,4,fungicide,Ev,adult,A,44.18812075494342,Mv,high,67,NA,NA,NA,NA,NA,NA,1,45.18812075494342,3.810834237140111,Ev adult,a,m,D14f
D1,4,water,Ev,adult,A,54.80480310851153,Mv,high,67,NA,NA,NA,NA,NA,NA,0,55.80480310851153,4.0218599428963024,Ev adult,a,m,D14w
D1,5,fungicide,Ev,adult,A,43.387347561690724,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,44.387347561690724,3.7929544640012023,Ev adult,a,s,D15f
D1,5,fungicide,Ev,seedling,3,4.367853781378262,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,5.367853781378262,1.6804281603599183,Ev seedling,s,s,D15f
D1,5,water,Ev,adult,A,179.66438554069254,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,0,180.66438554069254,5.1966410865332975,Ev adult,a,s,D15w
D1,6,fungicide,Ev,adult,A,96.16558075334473,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,97.16558075334473,4.576416541279659,Ev adult,a,s,D16f
D1,6,water,Ev,adult,A,43.751335376805585,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,44.751335376805585,3.801121285098107,Ev adult,a,s,D16w
D1,7,fungicide,Ev,adult,A,35.96199613334769,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,36.96199613334769,3.609890253252004,Ev adult,a,s,D17f
D1,7,fungicide,Ev,seedling,3,5.241424537653915,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,6.241424537653915,1.8312084476175363,Ev seedling,s,s,D17f
D1,7,water,Ev,seedling,3,3.130295209987754,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,4.130295209987754,1.4183488838343306,Ev seedling,s,s,D17w
D1,8,water,Ev,adult,A,7.570946554388987,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,8.570946554388987,2.1483781762642375,Ev adult,a,a,D18w
D1,8,water,Ev,seedling,3,4.076663529286378,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,5.076663529286378,1.624654260238713,Ev seedling,s,a,D18w
D1,9,fungicide,Ev,adult,A,34.87003268800313,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,1,35.87003268800313,3.5799022028346354,Ev adult,a,a,D19f
D1,9,fungicide,Ev,seedling,1,3.130295209987754,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,1,4.130295209987754,1.4183488838343306,Ev seedling,s,a,D19f
D1,9,water,Ev,adult,A,62.533106636732114,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,63.533106636732114,4.1515611343934555,Ev adult,a,a,D19w
D1,9,water,Ev,seedling,2,11.647610083675366,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,12.647610083675366,2.5374682711330574,Ev seedling,s,a,D19w
D1,9,water,Ev,seedling,3,8.735707562756524,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,9.735707562756524,2.2758003185410716,Ev seedling,s,a,D19w
D1,10,fungicide,Ev,adult,A,13.103561344134786,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,14.103561344134786,2.6464273430899827,Ev adult,a,a,D110f
D1,10,water,Ev,adult,A,14.70510773064015,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,15.70510773064015,2.7539859926066974,Ev adult,a,a,D110w
D2,2,fungicide,Ev,adult,A,10.191658823215946,Mv,low,7,NA,NA,NA,NA,NA,NA,1,11.191658823215946,2.4151687529113954,Ev adult,a,m,D22f
D2,2,water,Ev,adult,A,4.950234285562031,Mv,low,7,NA,NA,NA,NA,NA,NA,0,5.950234285562031,1.7834305945070459,Ev adult,a,m,D22w
