process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes,stem_seeds,stem_seeds_adj,flowers_adj,mean_flower_seeds,analysis_notes,mean_flower_seeds_adj,flower_seeds,seeds,flower_seeds_adj,seeds_adj
11/16/19,D1,1,fungicide,Mv,1,1,0.1359,0.76,NA,214.9128569935997,214.9128569935997,1,26.2,"bags put in D1 1F paper bag, switched back based on field notes",26.2,26.2,241.11285699359968,26.2,241.11285699359968
11/12/19,D1,1,fungicide,Mv,2,0,0.109,0.73,NA,185.87607437352887,185.87607437352887,0,29.4,"bags put in D1 1F paper bag, switched back based on field notes",29.4,0,185.87607437352887,0,185.87607437352887
11/16/19,D1,1,fungicide,Mv,3,1,0.052,0.31,NA,124.34831937932668,124.34831937932668,1,23,"bags put in D1 1F paper bag, switched back based on field notes",23,23,147.34831937932668,23,147.34831937932668
11/23/19,D1,2,fungicide,Mv,1,17,0.7512,23.88,NA,879.0887806415398,879.0887806415398,17,5,"bags put in D1 2F paper bag, switched back based on field notes",5,85,964.0887806415398,85,964.0887806415398
11/23/19,D1,2,fungicide,Mv,2,18,0.311,16.74,NA,403.9218025985961,403.9218025985961,18,0,"bags put in D1 2F paper bag, switched back based on field notes",0,0,403.9218025985961,0,403.9218025985961
11/26/19,D1,2,fungicide,Mv,3,53,1.5733,52.01,NA,1766.4917171456377,1766.4917171456377,53,0,"bags put in D1 2F paper bag, switched back based on field notes",0,0,1766.4917171456377,0,1766.4917171456377
11/26/19,D1,3,fungicide,Mv,1,19,0.3331,9.62,NA,427.7773005875763,427.7773005875763,19,8.4,NA,8.4,159.6,587.3773005875763,159.6,587.3773005875763
11/26/19,D1,3,fungicide,Mv,2,28,0.5816,15.15,NA,696.0167236763348,696.0167236763348,28,11.8,NA,11.8,330.40000000000003,1026.4167236763349,330.40000000000003,1026.4167236763349
11/26/19,D1,3,fungicide,Mv,3,3,0.1276,5.03,NA,205.95355231900533,205.95355231900533,3,6,NA,6,18,223.95355231900533,18,223.95355231900533
11/26/19,D1,4,fungicide,Mv,1,9,0.1534,11.21,NA,233.8029572111179,233.8029572111179,9,5.6,NA,5.6,50.4,284.2029572111179,50.4,284.2029572111179
11/23/19,D1,4,fungicide,Mv,2,14,0.1799,7.06,NA,262.40796611193116,262.40796611193116,14,3.8,NA,3.8,53.199999999999996,315.60796611193115,53.199999999999996,315.60796611193115
11/19/19,D1,4,fungicide,Mv,3,6,0.1496,4.21,NA,229.7011068781711,229.7011068781711,6,7.2,NA,7.2,43.2,272.9011068781711,43.2,272.9011068781711
11/9/19,D1,5,fungicide,Mv,1,42,0.7829,21.06,NA,913.3068478927014,913.3068478927014,42,6.2,NA,6.2,260.40000000000003,1173.7068478927015,260.40000000000003,1173.7068478927015
11/16/19,D1,5,fungicide,Mv,2,21,0.7255,20.42,NA,851.3473191792416,851.3473191792416,21,6.6,NA,6.6,138.6,989.9473191792416,138.6,989.9473191792416
11/23/19,D1,5,fungicide,Mv,3,17,0.5807,14.86,NA,695.0452328080053,695.0452328080053,17,6.4,NA,6.4,108.80000000000001,803.8452328080052,108.80000000000001,803.8452328080052
11/23/19,D1,6,fungicide,Mv,1,22,0.1791,11.56,NA,261.5444186734161,261.5444186734161,22,10.4,NA,10.4,228.8,490.3444186734161,228.8,490.3444186734161
12/7/19,D1,6,fungicide,Mv,2,23,0.2355,8.7,NA,322.4245130887318,322.4245130887318,23,18.6,NA,18.6,427.8,750.2245130887318,427.8,750.2245130887318
11/16/19,D1,6,fungicide,Mv,3,23,0.4381,9.16,NA,541.1179018926855,541.1179018926855,23,11.4,NA,11.4,262.2,803.3179018926855,262.2,803.3179018926855
11/23/19,D1,7,fungicide,Mv,1,55,1.011,18.54,NA,1159.5258112993242,1159.5258112993242,55,12,NA,12,660,1819.5258112993242,660,1819.5258112993242
11/23/19,D1,7,fungicide,Mv,2,28,0.7188,12.99,NA,844.1151093816775,844.1151093816775,28,5.8,NA,5.8,162.4,1006.5151093816775,162.4,1006.5151093816775
11/23/19,D1,7,fungicide,Mv,3,23,0.3947,8.73,NA,494.2704533532403,494.2704533532403,23,6.2,NA,6.2,142.6,636.8704533532404,142.6,636.8704533532404
11/19/19,D1,8,fungicide,Mv,1,23,1.9236,42.77,NA,2144.617551785445,2144.617551785445,23,24,NA,24,552,2696.617551785445,552,2696.617551785445
12/7/19,D1,8,fungicide,Mv,2,33,1.5251,42.68,NA,1714.462983975102,1714.462983975102,33,21,NA,21,693,2407.462983975102,693,2407.462983975102
11/23/19,D1,8,fungicide,Mv,3,39,0.8958,38.42,NA,1035.1749801531473,1035.1749801531473,39,24.2,NA,24.2,943.8,1978.9749801531473,943.8,1978.9749801531473
11/23/19,D1,9,fungicide,Mv,1,61,1.394,34.39,NA,1572.949147488437,1572.949147488437,61,20,NA,20,1220,2792.949147488437,1220,2792.949147488437
11/9/19,D1,9,fungicide,Mv,2,56,1.0423,29.62,NA,1193.3121048312282,1193.3121048312282,56,12.8,NA,12.8,716.8000000000001,1910.1121048312284,716.8000000000001,1910.1121048312284
11/26/19,D1,9,fungicide,Mv,3,22,0.6322,11.22,NA,750.6360991624159,750.6360991624159,22,13.6,NA,13.6,299.2,1049.8360991624158,299.2,1049.8360991624158
11/16/19,D1,10,fungicide,Mv,1,39,3.7958,59.07,NA,4165.53444477045,4165.53444477045,39,31,NA,31,1209,5374.53444477045,1209,5374.53444477045
11/12/19,D1,10,fungicide,Mv,2,23,0.395,31.92,NA,494.59428364268354,494.59428364268354,23,11.2,NA,11.2,257.59999999999997,752.1942836426836,257.59999999999997,752.1942836426836
11/12/19,D1,10,fungicide,Mv,3,180,7.2888,91.42,NA,7935.998448187083,7935.998448187083,180,20.2,NA,20.2,3636,11571.998448187083,3636,11571.998448187083
11/23/19,D1,1,water,Mv,1,64,2.8018,39.61,NA,3092.5767524154157,3092.5767524154157,64,22.2,NA,22.2,1420.8,4513.3767524154155,1420.8,4513.3767524154155
11/12/19,D1,1,water,Mv,2,20,2.0037,23.69,NA,2231.080239066771,2231.080239066771,20,21.8,NA,21.8,436,2667.080239066771,436,2667.080239066771
11/26/19,D1,1,water,Mv,3,30,1.1415,22.8,NA,1300.3919872071028,1300.3919872071028,30,15.4,NA,15.4,462,1762.3919872071028,462,1762.3919872071028
11/23/19,D1,2,water,Mv,1,40,0.6062,16.9,NA,722.5708074106745,722.5708074106745,40,12.4,NA,12.4,496,1218.5708074106747,496,1218.5708074106747
11/19/19,D1,2,water,Mv,2,32,1.5264,31.91,NA,1715.866248562689,1715.866248562689,32,14.2,NA,14.2,454.4,2170.266248562689,454.4,2170.266248562689
11/19/19,D1,2,water,Mv,3,41,1.1992,19.65,NA,1362.675346210006,1362.675346210006,41,14.4,NA,14.4,590.4,1953.075346210006,590.4,1953.075346210006
12/7/19,D1,3,water,Mv,1,12,0.2111,11.42,NA,296.0863162140208,296.0863162140208,12,6,NA,6,72,368.0863162140208,72,368.0863162140208
11/16/19,D1,3,water,Mv,2,21,0.0488,9.31,NA,120.89412962526623,120.89412962526623,21,5.2,NA,5.2,109.2,230.09412962526625,109.2,230.09412962526625
11/7/19,D1,3,water,Mv,3,33,0.5943,23.76,NA,709.7255392627624,709.7255392627624,33,6.4,NA,6.4,211.20000000000002,920.9255392627624,211.20000000000002,920.9255392627624
11/23/19,D1,4,water,Mv,1,12,0.1671,5.86,NA,248.5912070956893,248.5912070956893,12,12.8,NA,12.8,153.60000000000002,402.1912070956893,153.60000000000002,402.1912070956893
12/7/19,D1,4,water,Mv,2,4,0.088,3.29,NA,163.207954112507,163.207954112507,4,12.8,NA,12.8,51.2,214.407954112507,51.2,214.407954112507
12/7/19,D1,4,water,Mv,3,12,0.0934,4.77,NA,169.03689932248403,169.03689932248403,12,15.8,NA,15.8,189.60000000000002,358.63689932248406,189.60000000000002,358.63689932248406
11/26/19,D1,5,water,Mv,1,10,0.1615,3.83,NA,242.54637502608347,242.54637502608347,10,11.2,NA,11.2,112,354.54637502608347,112,354.54637502608347
12/7/19,D1,5,water,Mv,2,8,0.3372,5.58,NA,432.20298120996625,432.20298120996625,8,13.6,NA,13.6,108.8,541.0029812099663,108.8,541.0029812099663
12/7/19,D1,5,water,Mv,3,7,0.052,1.17,NA,124.34831937932668,124.34831937932668,7,9.2,NA,9.2,64.39999999999999,188.7483193793267,64.39999999999999,188.7483193793267
12/7/19,D1,6,water,Mv,1,34,1.3841,21.52,NA,1562.2627479368125,1562.2627479368125,34,19,NA,19,646,2208.2627479368125,646,2208.2627479368125
12/7/19,D1,6,water,Mv,2,17,0.2654,6.44,NA,354.69959860323445,354.69959860323445,17,21.6,NA,21.6,367.20000000000005,721.8995986032345,367.20000000000005,721.8995986032345
12/7/19,D1,6,water,Mv,3,29,0.8625,14.88,NA,999.2298180249556,999.2298180249556,29,19,NA,19,551,1550.2298180249556,551,1550.2298180249556
11/23/19,D1,7,water,Mv,1,33,0.8905,23.38,NA,1029.4539783729847,1029.4539783729847,33,10.8,NA,10.8,356.40000000000003,1385.8539783729848,356.40000000000003,1385.8539783729848
11/26/19,D1,7,water,Mv,2,31,0.9239,18.76,NA,1065.507083930991,1065.507083930991,31,9.4,NA,9.4,291.40000000000003,1356.9070839309911,291.40000000000003,1356.9070839309911
11/19/19,D1,7,water,Mv,3,38,1.1319,19.58,NA,1290.0294179449213,1290.0294179449213,38,10,NA,10,380,1670.0294179449213,380,1670.0294179449213
11/23/19,D1,8,water,Mv,1,76,4.2533,49,NA,4659.375636171284,4659.375636171284,76,32,NA,32,2432,7091.375636171284,2432,7091.375636171284
12/7/19,D1,8,water,Mv,2,39,2.2677,45.89,NA,2516.0508937767604,2516.0508937767604,39,30.4,NA,30.4,1185.6,3701.6508937767603,1185.6,3701.6508937767603
11/16/19,D1,8,water,Mv,3,48,2.6538,30.64,NA,2932.820476290119,2932.820476290119,48,19.4,NA,19.4,931.1999999999999,3864.020476290119,931.1999999999999,3864.020476290119
11/16/19,D1,9,water,Mv,1,22,0.6835,11.59,NA,806.0110786571979,806.0110786571979,22,13.666666666666666,NA,13.666666666666666,300.66666666666663,1106.6777453238647,300.66666666666663,1106.6777453238647
11/19/19,D1,9,water,Mv,2,17,0.3652,9.91,NA,462.4271415579954,462.4271415579954,17,13.4,NA,13.4,227.8,690.2271415579954,227.8,690.2271415579954
11/7/19,D1,9,water,Mv,3,37,0.3968,14.12,NA,496.5372653793425,496.5372653793425,37,9.8,NA,9.8,362.6,859.1372653793426,362.6,859.1372653793426
11/19/19,D1,10,water,Mv,1,90,3.3069,42.92,NA,3637.7990164078988,3637.7990164078988,90,15.4,bags mixed up among plants,15.4,1386,5023.799016407898,1386,5023.799016407898
11/16/19,D1,10,water,Mv,2,27,1.1682,25.78,NA,1329.2128829675448,1329.2128829675448,27,25,bags mixed up among plants,25,675,2004.2128829675448,675,2004.2128829675448
11/26/19,D1,10,water,Mv,3,58,2.6163,32.94,NA,2892.3416901097225,2892.3416901097225,58,16.4,bags mixed up among plants,16.4,951.1999999999999,3843.5416901097224,951.1999999999999,3843.5416901097224
2/26/20,D2,1,fungicide,Mv,1,16,0.9993,17.7,NA,1146.8964300110406,1146.8964300110406,16,9.6,NA,9.6,153.6,1300.4964300110405,153.6,1300.4964300110405
2/25/20,D2,1,fungicide,Mv,2,27,1.9352,28.35,NA,2157.1389896439146,2157.1389896439146,27,9.6,NA,9.6,259.2,2416.3389896439144,259.2,2416.3389896439144
2/28/20,D2,1,fungicide,Mv,3,52,1.613,31.43,NA,1809.3452587819506,1809.3452587819506,52,12.6,NA,12.6,655.1999999999999,2464.5452587819505,655.1999999999999,2464.5452587819505
3/10/20,D2,2,fungicide,Mv,1,3,0.2861,5.27,NA,377.0438885748131,377.0438885748131,3,4.666666666666667,NA,4.666666666666667,14,391.0438885748131,14,391.0438885748131
2/22/20,D2,2,fungicide,Mv,2,NA,NA,2.83,NA,NA,224.51982224708036,0,0,NA,0,NA,NA,0,224.51982224708036
2/29/20,D2,2,fungicide,Mv,3,0,0.0035,2.76,hardly any seeds,71.99575591934767,71.99575591934767,0,2,NA,2,0,71.99575591934767,0,71.99575591934767
2/26/20,D2,3,fungicide,Mv,1,2,0.2642,7.52,NA,353.40427744546173,353.40427744546173,2,7.2,NA,7.2,14.4,367.8042774454617,14.4,367.8042774454617
2/22/20,D2,3,fungicide,Mv,2,3,0.2341,11.85,NA,320.91330507133046,320.91330507133046,3,12.8,NA,12.8,38.400000000000006,359.31330507133043,38.400000000000006,359.31330507133043
2/25/20,D2,3,fungicide,Mv,3,4,0.1541,8.3,NA,234.5585612198186,234.5585612198186,4,7.8,NA,7.8,31.2,265.7585612198186,31.2,265.7585612198186
2/25/20,D2,4,fungicide,Mv,1,2,0.1592,7.44,NA,240.0636761403525,240.0636761403525,2,12.8,bags mixed up among plants,12.8,25.6,265.6636761403525,25.6,265.6636761403525
2/22/20,D2,4,fungicide,Mv,2,1,0.2098,7.63,NA,294.68305162643367,294.68305162643367,1,8,bags mixed up among plants,8,8,302.68305162643367,8,302.68305162643367
2/22/20,D2,4,fungicide,Mv,3,2,0.1173,9.02,NA,194.8353790481232,194.8353790481232,2,13.8,bags mixed up among plants,13.8,27.6,222.4353790481232,27.6,222.4353790481232
