site,plot,treatment,sp,age,seeds,biomass_mv,biomass_bg,biomass_foc_mv
D1,1,fungicide,Mv,seedling,574.3372507464553,1.8,0,1.8
D1,1,water,Mv,seedling,8942.84897868929,86.1,0,86.1
D1,2,fungicide,Mv,seedling,11493.175101414503,288.51,195.88,92.63
D1,2,water,Mv,seedling,19587.012141339022,259.76,191.3,68.46000000000001
D1,3,fungicide,Mv,seedling,11639.067985025138,204.39000000000001,174.59,29.8
D1,3,water,Mv,seedling,9621.00457231298,330.99,286.5,44.49
D1,4,fungicide,Mv,seedling,19490.568674493916,606.57,584.09,22.48
D1,4,water,Mv,seedling,21780.27201851853,238.07999999999998,224.16,13.92
D2,1,fungicide,Mv,seedling,6181.380678436906,77.47999999999999,0,77.47999999999999
D2,1,water,Mv,seedling,222.2479866872776,3.42,0,3.42
D2,2,fungicide,Mv,seedling,2546.718044717884,19.14,8.28,10.86
D2,2,water,Mv,seedling,14871.359457226436,131.49,66.66,64.83
D2,3,fungicide,Mv,seedling,6288.215576998535,244.37999999999997,216.70999999999998,27.669999999999998
D2,3,water,Mv,seedling,5686.519797129953,114.03,97.43,16.599999999999998
D2,4,fungicide,Mv,seedling,17660.800385532977,334.45,310.36,24.09
D2,4,water,Mv,seedling,18645.790405046355,329.42,310.46000000000004,18.96
D3,1,fungicide,Mv,seedling,2052.6986797656555,48.760000000000005,0,48.760000000000005
D3,1,water,Mv,seedling,3396.906237089957,41.339999999999996,0,41.339999999999996
D3,2,fungicide,Mv,seedling,13895.70941353292,169.97,87.4,82.57
D3,2,water,Mv,seedling,10651.531584312317,118.7,64.8,53.900000000000006
D3,3,fungicide,Mv,seedling,9787.311639536758,385.61,349.2,36.410000000000004
D3,3,water,Mv,seedling,14966.590955008547,315.98,276.70000000000005,39.279999999999994
D3,4,fungicide,Mv,seedling,23756.493292844774,494.87,476,18.87
D3,4,water,Mv,seedling,21584.354347149136,340.23,323,17.23
D4,1,fungicide,Mv,seedling,1916.7569702656435,43.080000000000005,0,43.080000000000005
D4,1,water,Mv,seedling,1834.1552259524174,29.75,0,29.75
D4,2,fungicide,Mv,seedling,11067.71316229574,127.31,86.3,41.010000000000005
D4,2,water,Mv,seedling,8969.085189336805,102.24000000000001,72.2,30.04
D4,3,fungicide,Mv,seedling,16091.807231265519,389.53000000000003,335.3,54.23
D4,3,water,Mv,seedling,20649.644793997,238.07999999999998,185.6,52.480000000000004
D4,4,fungicide,Mv,seedling,29490.99869038534,325.68,293.6,32.08
D4,4,water,Mv,seedling,27302.22042625431,423.43999999999994,398.79999999999995,24.64
