entry,sample_ID,site,plot,treatment,seeds_20_bio.g,seeds_bio.g,seeds_bio,seeds_20_soil.g,seeds_soil.g,seeds_soil,bio_bag.g,bag.g,bio.g,processing_notes,seeds_soil_total
62,D110F,D1,10,fungicide,0.017,1.434,1687.058824,0.026,0.159,122.3076923,19.65,6.27,13.38,NA,1198.61538454
73,D110W,D1,10,water,0.021,0.719,684.7619048,0.026,0.099,76.15384615,23.15,6.31,16.84,NA,746.30769227
76,D11F,D1,1,fungicide,0.023,1.541,1340,NA,0.026,17,19.1,10.94,8.16,NA,166.6
68,D11W,D1,1,water,0.02,0.391,391,NA,0.017,10,14.93,6.27,8.66,NA,97.99999999999999
78,D12F,D1,2,fungicide,0.023,1.647,1432.173913,0.024,0.047,39.16666667,30.99,10.92,20.07,NA,383.8333333659999
77,D12W,D1,2,water,0.022,0.49,445.4545455,0.026,0.161,123.8461538,23.09,9.51,13.58,NA,1213.6923072399998
1,D13F,D2,3,fungicide,0.021,0.84,800,0.029,0.099,68.27586207,17.51,8.41,9.1,"duplicate - one is D2, probably this one because the other was sorted with other D1 bags; Quynh guessed on which seeds go with which biomass (see email)",669.103448286
63,D13F,D1,3,fungicide,0.022,0.691,628.1818182,0.031,0.061,39.35483871,18.55,6.32,12.23,duplicate - one is D2; Quynh guessed on which seeds go with which biomass (see email),385.677419358
72,D13W,D1,3,water,0.024,1.662,1385,0.03,0.14,93.33333333,30.7,10.96,19.74,NA,914.666666634
67,D14F,D1,4,fungicide,0.022,0.616,560,0.029,0.065,44.82758621,29.04,6.55,22.49,NA,439.31034485799995
70,D14W,D1,4,water,0.019,0.276,290.5263158,NA,0.009,5,16.02,6.27,9.75,NA,48.99999999999999
66,D15F,D1,5,fungicide,0.021,1.023,974.2857143,0.022,0.21,190.9090909,17.56,6.29,11.27,NA,1870.9090908199998
5,D15W,D1,5,water,0.018,0.238,264.4444444,NA,0.012,9,15.38,8.67,6.71,NA,88.19999999999999
65,D16F,D1,6,fungicide,0.02,0.819,819,0.03,0.08,53.33333333,18.44,6.26,12.18,NA,522.666666634
61,D16W,D1,6,water,0.022,1.246,1132.727273,0.026,0.155,119.2307692,21.56,6.3,15.26,NA,1168.46153816
64,D17F,D1,7,fungicide,0.026,1.784,1372.307692,0.027,0.12,88.88888889,14.99,6.28,8.71,NA,871.1111111219999
60,D17W,D1,7,water,0.025,0.732,585.6,0.023,0.062,53.91304348,19.62,6.35,13.27,NA,528.347826104
69,D18F,D1,8,fungicide,0.023,1.168,1015.652174,0.03,0.156,104,24.72,6.26,18.46,NA,1019.1999999999999
74,D18W,D1,8,water,0.025,0.72,576,0.023,0.18,156.5217391,20.16,6.33,13.83,NA,1533.9130431799997
71,D19F,D1,9,fungicide,0.024,0.281,234.1666667,0.026,0.073,56.15384615,23.9,10.83,13.07,NA,550.30769227
75,D19W,D1,9,water,0.017,1.211,1424.705882,0.027,0.089,65.92592593,23.12,6.32,16.8,NA,646.0740741139999
43,D210F,D2,10,fungicide,0.013,0.257,395.3846154,0.02,0.06,60,16.4,10.74,5.66,NA,587.9999999999999
21,D210W 20181022,D2,10,water,0.02,0.268,268,0.026,0.081,62.30769231,21.02,8.57,12.45,NA,610.6153846379999
23,D21F,D2,1,fungicide,0.019,1.314,1383.157895,0.032,0.33,206.25,34.36,8.7,25.66,NA,2021.2499999999998
45,D21W,D2,1,water,0.019,0.246,258.9473684,NA,0.011,7,14.44,10.73,3.71,NA,68.6
40,D22F,D2,2,fungicide,0.015,0.517,689.3333333,0.027,0.027,20,12.6,6.27,6.33,NA,195.99999999999997
39,D22W,D2,2,water,0.02,0.562,562,0.028,0.038,27.14285714,20.05,8.68,11.37,NA,265.99999997199996
7,D23W,D2,3,water,0.021,0.659,627.6190476,NA,0.023,13,18.37,8.6,9.77,NA,127.39999999999999
38,D24F,D2,4,fungicide,0.019,0.451,474.7368421,0.029,0.052,35.86206897,26.5,8.64,17.86,NA,351.448275906
41,D24W,D2,4,water,0.017,0.303,356.4705882,0.03,0.096,64,29.44,10.64,18.8,NA,627.1999999999999
2,D25F,D2,5,fungicide,0.025,0.931,744.8,0.03,0.173,115.3333333,21.58,8.54,13.04,NA,1130.26666634
16,D25W,D2,5,water,0.018,0.644,715.5555556,0.021,0.059,56.19047619,33.7,8.59,25.11,NA,550.6666666619999
8,D26F 20181022,D2,6,fungicide,0.017,0.87,1023.529412,0.025,0.074,59.2,29.69,8.65,21.04,NA,580.16
46,D26W,D2,6,water,0.023,0.325,282.6086957,0.021,0.038,36.19047619,22.14,8.42,13.72,NA,354.66666666199995
22/42????,D27W,D2,7,water,0.022,0.691,628.1818182,0.024,0.044,36.66666667,17.41,8.58,8.83,"duplicate - one is 7F, ID = B (dated)",359.3333333659999
NA,D27W,D2,7,fungicide,0.021,0.84,800,0.021,0.038,36.19047619,31.91,6.22,25.69,"duplicate - one is 7F, ID = A (not dated), probably this one",354.66666666199995
6,D28F,D2,8,fungicide,0.02,0.738,738,0.03,0.161,107.3333333,21.5,8.61,12.89,NA,1051.86666634
10,D28W,D2,8,water,0.022,1.027,933.6363636,0.025,0.24,192,22.07,8.55,13.52,NA,1881.6
9,D29F,D2,9,fungicide,0.021,0.583,555.2380952,0.025,0.034,27.2,20.36,8.55,11.81,NA,266.55999999999995
44,D29W,D2,9,water,0.015,0.363,484,0.025,0.066,52.8,20.64,8.42,12.22,NA,517.4399999999999
25,D310F,D3,10,fungicide,0.024,0.353,294.1666667,0.025,0.033,26.4,21.63,8.63,13,NA,258.71999999999997
32,D310W,D3,10,water,0.021,1.18,1123.809524,0.019,0.254,267.3684211,25.55,8.74,16.81,NA,2620.2105267799993
35,D31F,D3,1,fungicide,0.019,0.262,275.7894737,0.024,0.139,115.8333333,19.51,8.63,10.88,NA,1135.16666634
15,D31W,D3,1,water,0.015,0.472,629.3333333,0.025,0.346,276.8,24.78,8.62,16.16,NA,2712.64
26,D32F 20181023,D3,2,fungicide,0.014,0.476,680,0.028,0.084,60,23.72,8.72,15,NA,587.9999999999999
14,D32W 20181023,D3,2,water,0.016,0.315,393.75,0.02,0.077,77,18.71,8.49,10.22,NA,754.5999999999999
3,D33F,D3,3,fungicide,0.017,0.623,732.9411765,0.03,0.044,29.33333333,29.3,8.6,20.7,NA,287.466666634
11,D33W,D3,3,water,0.015,0.15,200,0.025,0.037,29.6,34.77,8.62,26.15,NA,290.08
29,D34F,D3,4,fungicide,0.02,1.293,1293,0.027,0.152,112.5925926,30.76,8.69,22.07,NA,1103.4074074799998
12,D34W,D3,4,water,0.015,0.152,202.6666667,0.026,0.096,73.84615385,31.76,8.72,23.04,NA,723.6923077299998
19,D35F,D3,5,fungicide,0.02,0.357,357,0.025,0.139,111.2,19.97,10.84,9.13,NA,1089.76
27,D35W,D3,5,water,0.014,0.449,641.4285714,0.022,0.077,70,20.23,8.74,11.49,NA,685.9999999999999
13,D36F,D3,6,fungicide,0.022,0.985,895.4545455,0.027,0.126,93.33333333,20.88,8.57,12.31,NA,914.666666634
24,D36W,D3,6,water,0.022,0.165,150,0.027,0.126,93.33333333,55.4,10.97,44.43,NA,914.666666634
4,D37F,D3,7,fungicide,0.021,0.282,268.5714286,0.02,0.12,120,25.34,8.64,16.7,NA,1175.9999999999998
34,D37W,D3,7,water,0.022,0.446,405.4545455,0.023,0.122,106.0869565,31.33,8.81,22.52,NA,1039.6521736999998
30,D38F 20181023,D3,8,fungicide,0.023,0.498,433.0434783,0.025,0.155,124,39.44,8.69,30.75,NA,1215.1999999999998
28,D38W 20181023,D3,8,water,0.022,0.36,327.2727273,0.025,0.051,40.8,26.82,8.87,17.95,NA,399.8399999999999
33,D39F,D3,9,fungicide,0.021,0.589,560.952381,0.021,0.126,120,18.75,8.76,9.99,NA,1175.9999999999998
31,D39W,D3,9,water,0.018,0.7,777.7777778,0.025,0.184,147.2,22.51,8.69,13.82,NA,1442.5599999999997
51,D410W,D4,10,water,0.016,0.371,463.75,0.02,0.038,38,35.95,10.99,24.96,NA,372.4
36,D41F,D4,1,fungicide,0.022,0.229,208.1818182,0.026,0.05,38.46153846,33.7,10.92,22.78,NA,376.923076908
48,D41W,D4,1,water,0.017,0.3,352.9411765,0.021,0.093,88.57142857,25.16,10.93,14.23,NA,867.9999999859998
50,D42F,D4,2,fungicide,0.018,0.406,451.1111111,0.024,0.101,84.16666667,22.4,8.56,13.84,NA,824.8333333659999
18,D42W,D4,2,water,0.014,0.159,227.1428571,0.016,0.04,50,21.28,10.76,10.52,NA,489.99999999999994
58,D43F,D4,3,fungicide,0.017,0.581,683.5294118,0.026,0.176,135.3846154,30,6.23,23.77,NA,1326.76923092
