site,plot,treatment,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil
D1,1,fungicide,44.9,21.816666666666666,1340,166.6
D1,1,water,40.25,20.125,391,97.99999999999999
D1,2,fungicide,77.7,48.64999999999999,1432.173913,383.8333333659999
D1,2,water,93.2,54.35,445.4545455,1213.6923072399998
D1,3,fungicide,57.66666666666667,31.88888888888889,628.1818182,385.677419358
D1,3,water,66.5,37.1,1385,914.666666634
D1,4,fungicide,37.333333333333336,21.88888888888889,560,439.31034485799995
D1,4,water,70.4,33.35,290.5263158,48.99999999999999
D1,5,fungicide,46.9,24.35,974.2857143,1870.9090908199998
D1,5,water,65.33333333333333,34.388888888888886,264.4444444,88.19999999999999
D1,6,fungicide,68.77777777777777,36.72222222222222,819,522.666666634
D1,6,water,85.9,64.9,1132.727273,1168.46153816
D1,7,fungicide,54.7,28.45,1372.307692,871.1111111219999
D1,7,water,68,38.18518518518518,585.6,528.347826104
D1,8,fungicide,75.8,41.766666666666666,1015.652174,1019.1999999999999
D1,8,water,109.4,74.83333333333333,576,1533.9130431799997
D1,9,fungicide,76.22222222222223,44.27777777777778,234.1666667,550.30769227
D1,9,water,55.1,28.45,1424.705882,646.0740741139999
D1,10,fungicide,88,48.38333333333333,1687.058824,1198.61538454
D1,10,water,79.88888888888889,41.851851851851855,684.7619048,746.30769227
D2,1,fungicide,54.6,22.233333333333334,1383.157895,2021.2499999999998
D2,1,water,41.6,22.383333333333333,258.9473684,68.6
D2,2,fungicide,32.4,18.9,689.3333333,195.99999999999997
D2,2,water,75.2,32.78333333333333,562,265.99999997199996
D2,3,fungicide,48.5,28.266666666666666,800,669.103448286
D2,3,water,50.7,31.983333333333334,627.6190476,127.39999999999999
D2,4,fungicide,64.5,37.45,474.7368421,351.448275906
D2,4,water,60.1,29.21666666666667,356.4705882,627.1999999999999
D2,5,fungicide,87.8,47.05,744.8,1130.26666634
D2,5,water,96.2,39.45,715.5555556,550.6666666619999
D2,6,fungicide,74.3,43.25,1023.529412,580.16
D2,6,water,55.8,30.416666666666668,282.6086957,354.66666666199995
D2,7,fungicide,56.3,31.78333333333333,800,354.66666666199995
D2,7,water,77.75,41.270833333333336,628.1818182,359.3333333659999
D2,8,fungicide,105.55555555555556,44.7962962962963,738,1051.86666634
D2,8,water,98.2,37.06666666666667,933.6363636,1881.6
D2,9,fungicide,67.9,28.4,555.2380952,266.55999999999995
D2,9,water,56.6,24.666666666666668,484,517.4399999999999
D2,10,fungicide,62.6,27.03333333333333,395.3846154,587.9999999999999
D2,10,water,62.45454545454545,26.71212121212121,268,610.6153846379999
D3,1,fungicide,54.45454545454545,34.40909090909091,275.7894737,1135.16666634
D3,1,water,53.9,33.88333333333333,629.3333333,2712.64
D3,2,fungicide,54.8,32.35,680,587.9999999999999
D3,2,water,77.8,35.833333333333336,393.75,754.5999999999999
D3,3,fungicide,64.6,31.46666666666667,732.9411765,287.466666634
D3,3,water,54,32.55,200,290.08
D3,4,fungicide,56.3,29.916666666666668,1293,1103.4074074799998
D3,4,water,34.4,22.033333333333335,202.6666667,723.6923077299998
D3,5,fungicide,56,30.25,357,1089.76
D3,5,water,52.8,32.3,641.4285714,685.9999999999999
D3,6,fungicide,55.6,32.9,895.4545455,914.666666634
D3,6,water,57.4,29.766666666666666,150,914.666666634
D3,7,fungicide,66.4,33.2,268.5714286,1175.9999999999998
D3,7,water,55.5,34.2,405.4545455,1039.6521736999998
D3,8,fungicide,54,25.166666666666664,433.0434783,1215.1999999999998
D3,8,water,79.1,43.416666666666664,327.2727273,399.8399999999999
D3,9,fungicide,69.4,45.75,560.952381,1175.9999999999998
D3,9,water,57.2,27.616666666666667,777.7777778,1442.5599999999997
D3,10,fungicide,40.3,20.45,294.1666667,258.71999999999997
D3,10,water,46.4,29.3,1123.809524,2620.2105267799993
D4,1,fungicide,43.3,24.616666666666667,208.1818182,376.923076908
D4,1,water,79.6,43.38333333333333,352.9411765,867.9999999859998
D4,2,fungicide,61.6,37.3,451.1111111,824.8333333659999
D4,2,water,72.2,42.46666666666667,227.1428571,489.99999999999994
D4,3,fungicide,60.1,34.166666666666664,683.5294118,1326.76923092
D4,3,water,37.1,14.233333333333334,308.4210526,505.07692309199996
D4,4,fungicide,36.4,19.71666666666667,536,405.51724133199997
D4,4,water,50.5,34.95,400,835.1304347399999
D4,5,fungicide,73.1,41.916666666666664,616,385.00000004199995
D4,5,water,46.7,30.55,756.4705882,195.99999999999997
D4,6,fungicide,64.3,29.6,728.75,1378.53333366
D4,6,water,45.8,27.4,296.3636364,300.99999995799993
D4,7,fungicide,88.11111111111111,43.092592592592595,262.2222222,504.0000000139999
D4,7,water,78.4,43.55,414.7368421,446.87999999999994
D4,8,water,45.1,25,411.25,338.54545458999996
D4,9,fungicide,53.5,29.816666666666666,787.5,826.6086956819998
D4,9,water,49,20.008333333333333,487.5,1008.0000004199999
D4,10,water,59.5,34.95,463.75,372.4
