site,treatment,plot,biomass_bg,biomass_foc_mv,biomass_foc_evS,biomass_foc_evA,biomass.g_m2,biomass_mv,biomass_evS,biomass_evA
D1,water,1,0,86.1,2.41,2.92,NA,86.1,2.41,2.92
D1,fungicide,1,0,1.8,0.9600000000000001,4.1,NA,1.8,0.9600000000000001,4.1
D2,water,1,0,3.42,0.48,2.94,NA,3.42,0.48,2.94
D2,fungicide,1,0,77.47999999999999,3.88,10.01,NA,77.47999999999999,3.88,10.01
D3,water,1,0,41.339999999999996,3.67,5.08,NA,41.339999999999996,3.67,5.08
D3,fungicide,1,0,48.760000000000005,10.15,11.52,NA,48.760000000000005,10.15,11.52
D4,water,1,0,29.75,4.41,7.06,NA,29.75,4.41,7.06
D4,fungicide,1,0,43.080000000000005,3.67,4.52,NA,43.080000000000005,3.67,4.52
D1,fungicide,2,195.88,92.63,4.49,0.85,288.51,288.51,4.49,0.85
D1,water,2,191.3,68.46000000000001,4.2,6.53,259.76,259.76,4.2,6.53
D1,fungicide,3,174.59,29.8,2.99,3.47,204.39000000000001,204.39000000000001,2.99,3.47
D1,water,3,286.5,44.49,3.91,10.2,330.99,330.99,3.91,10.2
D1,fungicide,4,584.09,22.48,1.97,4.43,606.57,606.57,1.97,4.43
D1,water,4,224.16,13.92,1.6,5.52,238.07999999999998,238.07999999999998,1.6,5.52
D1,fungicide,5,4.32,56.34,4.84,1.88,9.16,56.34,9.16,1.88
D1,water,5,5.51,10.58,1.49,6.04,7,10.58,7,6.04
D1,fungicide,6,9.5,29.419999999999998,3.74,1.2,13.24,29.419999999999998,13.24,1.2
D1,water,6,6.55,42.84,1.48,5.28,8.03,42.84,8.03,5.28
D1,fungicide,7,24.62,40.260000000000005,2.24,9.63,26.86,40.260000000000005,26.86,9.63
D1,water,7,27.8,61.72,5.63,3.82,33.43,61.72,33.43,3.82
D1,fungicide,8,22.41,123.87,6.5600000000000005,0.77,23.18,123.87,6.5600000000000005,23.18
D1,water,8,9.95,125.53,5.73,8.14,18.09,125.53,5.73,18.09
D1,fungicide,9,35.82,75.23,2.5300000000000002,18.14,53.96,75.23,2.5300000000000002,53.96
D1,water,9,23.35,35.62,2.09,3.27,26.62,35.62,2.09,26.62
D1,fungicide,10,46.96,182.41000000000003,5.61,0.73,47.69,182.41000000000003,5.61,47.69
D1,water,10,41.08,101.64,4,0.84,41.92,101.64,4,41.92
D2,fungicide,2,8.28,10.86,2.13,0.88,19.14,19.14,2.13,0.88
D2,water,2,66.66,64.83,5.9,3.29,131.49,131.49,5.9,3.29
D2,fungicide,3,216.70999999999998,27.669999999999998,3.89,0.31,244.37999999999997,244.37999999999997,3.89,0.31
D2,water,3,97.43,16.599999999999998,2.92,4.52,114.03,114.03,2.92,4.52
D2,fungicide,4,310.36,24.09,3.41,4.1,334.45,334.45,3.41,4.1
D2,water,4,310.46000000000004,18.96,2.34,2.98,329.42,329.42,2.34,2.98
