time,species,N
1,Annual,0
2,Annual,0
3,Annual,0
4,Annual,0
5,Annual,0
6,Annual,0
7,Annual,0
8,Annual,0
9,Annual,0
10,Annual,0
11,Annual,0
12,Annual,0
13,Annual,0
14,Annual,0
15,Annual,0
16,Annual,0
17,Annual,0
18,Annual,0
19,Annual,0
20,Annual,0
21,Annual,0
22,Annual,0
23,Annual,0
24,Annual,0
25,Annual,0
26,Annual,0
27,Annual,0
28,Annual,0
29,Annual,0
30,Annual,0
31,Annual,0
32,Annual,0
33,Annual,0
34,Annual,0
35,Annual,0
36,Annual,0
37,Annual,0
38,Annual,0
39,Annual,0
40,Annual,0
41,Annual,0
42,Annual,0
43,Annual,0
44,Annual,0
45,Annual,0
46,Annual,0
47,Annual,0
48,Annual,0
49,Annual,0
50,Annual,0
51,Annual,0
52,Annual,0
53,Annual,0
54,Annual,0
55,Annual,0
56,Annual,0
57,Annual,0
58,Annual,0
59,Annual,0
60,Annual,0
61,Annual,0
62,Annual,0
63,Annual,0
64,Annual,0
65,Annual,0
66,Annual,0
67,Annual,0
68,Annual,0
69,Annual,0
70,Annual,0
71,Annual,0
72,Annual,0
73,Annual,0
74,Annual,0
75,Annual,0
76,Annual,0
77,Annual,0
78,Annual,0
79,Annual,0
80,Annual,0
81,Annual,0
82,Annual,0
83,Annual,0
84,Annual,0
85,Annual,0
86,Annual,0
87,Annual,0
88,Annual,0
89,Annual,0
90,Annual,0
91,Annual,0
92,Annual,0
93,Annual,0
94,Annual,0
95,Annual,0
96,Annual,0
97,Annual,0
98,Annual,0
99,Annual,0
100,Annual,0
1,Perennial first-year,0
2,Perennial first-year,191.2976171168664
3,Perennial first-year,4336.783278382731
4,Perennial first-year,13649.635421214518
5,Perennial first-year,14827.888945292216
6,Perennial first-year,14848.315818029012
7,Perennial first-year,14822.627010587847
8,Perennial first-year,14810.11284099353
9,Perennial first-year,14805.073997416783
10,Perennial first-year,14803.113522049078
11,Perennial first-year,14802.356320933755
12,Perennial first-year,14802.064362192723
13,Perennial first-year,14801.951838182922
14,Perennial first-year,14801.908475391916
15,Perennial first-year,14801.891765505561
16,Perennial first-year,14801.88532641471
17,Perennial first-year,14801.88284514616
18,Perennial first-year,14801.881889004331
19,Perennial first-year,14801.881520561066
20,Perennial first-year,14801.881378583721
21,Perennial first-year,14801.881323873746
22,Perennial first-year,14801.881302791582
23,Perennial first-year,14801.881294667694
24,Perennial first-year,14801.881291537253
25,Perennial first-year,14801.881290330906
26,Perennial first-year,14801.881289866067
27,Perennial first-year,14801.88128968691
28,Perennial first-year,14801.881289617924
29,Perennial first-year,14801.881289591289
30,Perennial first-year,14801.881289581053
31,Perennial first-year,14801.881289577092
32,Perennial first-year,14801.881289575585
33,Perennial first-year,14801.881289574983
34,Perennial first-year,14801.881289574781
35,Perennial first-year,14801.881289574707
36,Perennial first-year,14801.881289574665
37,Perennial first-year,14801.88128957462
38,Perennial first-year,14801.881289574601
39,Perennial first-year,14801.881289574625
40,Perennial first-year,14801.881289574616
41,Perennial first-year,14801.881289574627
42,Perennial first-year,14801.881289574638
43,Perennial first-year,14801.881289574638
44,Perennial first-year,14801.881289574638
45,Perennial first-year,14801.881289574638
46,Perennial first-year,14801.881289574638
47,Perennial first-year,14801.881289574638
48,Perennial first-year,14801.881289574638
49,Perennial first-year,14801.881289574638
50,Perennial first-year,14801.881289574638
51,Perennial first-year,14801.881289574638
52,Perennial first-year,14801.881289574638
53,Perennial first-year,14801.881289574638
