plant_group,fungicide,trend,lower.HPD,upper.HPD,source,weeks,treatment,sig
Invader (Mv),0,0.05972394941964921,0.03360977526317115,0.08574962314108123,Surrounding invader,16,control,yes
1st yr comp. (Ev),0,-0.020980338290018673,-0.059053896563620936,0.015218360327735434,Surrounding invader,16,control,no
Adult comp. (Ev),0,-0.044264825359022854,-0.1247761596608362,0.02680674255106128,Surrounding invader,16,control,no
Invader (Mv),1,0.03367360719343409,0.011977902354401875,0.05669419821216759,Surrounding invader,16,fungicide,yes
1st yr comp. (Ev),1,-0.012937284317236921,-0.046239076997203796,0.02130163642372726,Surrounding invader,16,fungicide,no
Adult comp. (Ev),1,0.015200050908972413,-0.044800096172492324,0.08212291936805967,Surrounding invader,16,fungicide,no
Invader (Mv),0,0.011415819311406008,-0.01100188435148885,0.034677467264649695,Invader (Mv),16,control,no
1st yr comp. (Ev),0,0.03872089247678984,0.005664227637770498,0.07396908911343242,Invader (Mv),16,control,yes
Adult comp. (Ev),0,0.07092538345229078,2.0534450925408643e-4,0.13942526150969967,Invader (Mv),16,control,yes
Invader (Mv),1,0.044521522611687445,-0.17587476037509062,0.30422700982469786,Invader (Mv),16,fungicide,no
1st yr comp. (Ev),1,0.06826144022718977,-0.3778186869384042,0.4807361489543645,Invader (Mv),16,fungicide,no
Adult comp. (Ev),1,-0.008492787047830637,-0.5022450296395318,0.479331470362595,Invader (Mv),16,fungicide,no
Invader (Mv),0,-0.01447275837434448,-0.03462752087009297,0.004950339592811952,1st yr comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.012585262341661765,-0.022296133054289145,0.05195844743832131,1st yr comp. (Ev),16,control,no
Adult comp. (Ev),0,-0.0689179375041002,-0.19511984261198706,0.05731703025246024,1st yr comp. (Ev),16,control,no
Invader (Mv),1,0.030465383577909958,-0.0030424580131963226,0.06402397635761664,1st yr comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.03464192681688686,-0.010953797594736688,0.08132918600219363,1st yr comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.006524003802517418,-0.0894278818654895,0.07814801099497602,1st yr comp. (Ev),16,fungicide,no
Invader (Mv),0,-0.059347230984299365,-0.14178313945806179,0.018025073459015068,Adult comp. (Ev),16,control,no
1st yr comp. (Ev),0,-0.03533756929286553,-0.16365823040114588,0.09499348625576132,Adult comp. (Ev),16,control,no
Adult comp. (Ev),0,-4.072573775648526e-4,-0.2926027118780006,0.276886796717105,Adult comp. (Ev),16,control,no
Invader (Mv),1,0.006028911641837282,-0.029668642919079183,0.04326244014795205,Adult comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.04682163244986754,-0.03820834639392265,0.1298834014676057,Adult comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.0042424113579328845,-0.2914316944237026,0.2752099738233579,Adult comp. (Ev),16,fungicide,no
Invader (Mv),0,0.03619342030345527,-0.004637995941014719,0.07995632117667822,Surrounding invader,12,control,no
1st yr comp. (Ev),0,-0.028201391920412527,-0.1360378869102268,0.07345278864076957,Surrounding invader,12,control,no
Adult comp. (Ev),0,-0.05517437174446589,-0.22362456201398515,0.11543771604900606,Surrounding invader,12,control,no
Invader (Mv),1,0.029613947069089958,0.0033919081002818704,0.054661894601571136,Surrounding invader,12,fungicide,yes
1st yr comp. (Ev),1,0.033466512036292057,-0.08754341451085791,0.1492214609973006,Surrounding invader,12,fungicide,no
Adult comp. (Ev),1,0.1523660029435381,-0.09942972930166454,0.3916279558683891,Surrounding invader,12,fungicide,no
Invader (Mv),0,-0.01894313382803895,-0.13112574150032993,0.09560303455820594,Invader (Mv),12,control,no
1st yr comp. (Ev),0,-0.07569692481749205,-0.45057029400085574,0.30261437212599057,Invader (Mv),12,control,no
Adult comp. (Ev),0,-0.1066575715344548,-0.5318693056359739,0.34193997863644326,Invader (Mv),12,control,no
Invader (Mv),1,-0.009251414524548094,-0.10389385393128826,0.0877901283182082,Invader (Mv),12,fungicide,no
1st yr comp. (Ev),1,-0.05226957021715138,-0.48164804281937496,0.37112031367559944,Invader (Mv),12,fungicide,no
Adult comp. (Ev),1,-0.08961093535628531,-0.6828204748645905,0.5451755376694425,Invader (Mv),12,fungicide,no
Invader (Mv),0,0.026902558773029488,0.012110672513490899,0.040333361655103074,1st yr comp. (Ev),12,control,yes
1st yr comp. (Ev),0,-0.018438499592695494,-0.05042243289950399,0.011699413310397996,1st yr comp. (Ev),12,control,no
Adult comp. (Ev),0,-0.013402406950204044,-0.07338774004114174,0.04646002153162777,1st yr comp. (Ev),12,control,no
Invader (Mv),1,0.0011498293313798684,-0.009953626473098335,0.011674789116789697,1st yr comp. (Ev),12,fungicide,no
1st yr comp. (Ev),1,0.02685624185713451,-0.004899663235192408,0.05797718157471629,1st yr comp. (Ev),12,fungicide,no
Adult comp. (Ev),1,-0.015707240998875136,-0.10055089460988696,0.061139166404133034,1st yr comp. (Ev),12,fungicide,no
Invader (Mv),0,0.036493833461318397,0.0022184841383462842,0.06981818290364639,Adult comp. (Ev),12,control,yes
1st yr comp. (Ev),0,-0.0634359517415353,-0.1457636669352777,0.017370537946048672,Adult comp. (Ev),12,control,no
Adult comp. (Ev),0,-0.014009222917908942,-0.18749896891515896,0.15333691720450007,Adult comp. (Ev),12,control,no
Invader (Mv),1,0.013420577322363356,-0.0087164338784324,0.034946627339710816,Adult comp. (Ev),12,fungicide,no
1st yr comp. (Ev),1,0.08982868254552058,0.01945459485597056,0.1579485011931981,Adult comp. (Ev),12,fungicide,yes
Adult comp. (Ev),1,0.005161535364203533,-0.14648759071403009,0.16011864466950226,Adult comp. (Ev),12,fungicide,no
Invader (Mv),0,0.0049821667984057405,-0.007544339416081859,0.017181688547057615,Surrounding invader,8,control,no
1st yr comp. (Ev),0,0.08842063047308273,0.044894024539315285,0.133765543112141,Surrounding invader,8,control,yes
Adult comp. (Ev),0,0.06350949072828035,-0.007664501815884577,0.13458868724343176,Surrounding invader,8,control,no
Invader (Mv),1,-1.8045656253156287e-4,-0.006449269985687194,0.0054713056250972275,Surrounding invader,8,fungicide,no
1st yr comp. (Ev),1,0.013959145176291186,-0.002489290144855261,0.030019098533407427,Surrounding invader,8,fungicide,no
Adult comp. (Ev),1,0.020672868830895377,-0.011612500240460628,0.048187437026244014,Surrounding invader,8,fungicide,no
Invader (Mv),0,-8.348001210741776e-4,-0.006660454460817582,0.00451576012938729,Invader (Mv),8,control,no
1st yr comp. (Ev),0,-0.010069352992672096,-0.031039909460525778,0.009508057437087688,Invader (Mv),8,control,no
Adult comp. (Ev),0,-0.00475475660338581,-0.04225065520288148,0.028537829841759132,Invader (Mv),8,control,no
Invader (Mv),1,0.003940296405525942,-0.030283294938556873,0.040936159589884856,Invader (Mv),8,fungicide,no
1st yr comp. (Ev),1,0.01749966260474156,-0.11405193495708835,0.1660690876664858,Invader (Mv),8,fungicide,no
Adult comp. (Ev),1,0.027808001240056644,-0.1723346774661323,0.24048064517594164,Invader (Mv),8,fungicide,no
Invader (Mv),0,-6.414938252851458e-4,-0.004895226449067654,0.0033544666530718153,1st yr comp. (Ev),8,control,no
1st yr comp. (Ev),0,-0.001342443367801596,-0.013963598352830045,0.011595063125813413,1st yr comp. (Ev),8,control,no
Adult comp. (Ev),0,0.003934629912398933,-0.018997845738261732,0.028840623134545246,1st yr comp. (Ev),8,control,no
Invader (Mv),1,-6.761730088612976e-4,-0.005276388327864156,0.0037949545740078115,1st yr comp. (Ev),8,fungicide,no
1st yr comp. (Ev),1,0.0019870115611603906,-0.010205492394982033,0.014090114320998172,1st yr comp. (Ev),8,fungicide,no
Adult comp. (Ev),1,-0.005573973675170423,-0.027098752176498986,0.014273973157924188,1st yr comp. (Ev),8,fungicide,no
Invader (Mv),0,-0.0014450017315306314,-0.012810039076980442,0.009490102610242676,Adult comp. (Ev),8,control,no
1st yr comp. (Ev),0,0.03583721389633824,0.0032198410185914094,0.06818178672677853,Adult comp. (Ev),8,control,yes
Adult comp. (Ev),0,-0.0432575219596806,-0.10173787968065108,0.018622541208690214,Adult comp. (Ev),8,control,no
Invader (Mv),1,-0.0012481650487948404,-0.007681215298546359,0.004708042992133913,Adult comp. (Ev),8,fungicide,no
1st yr comp. (Ev),1,0.015311908306666407,5.285101200692807e-4,0.029966105542112237,Adult comp. (Ev),8,fungicide,yes
Adult comp. (Ev),1,-0.0302894074205238,-0.06460485605873333,0.0017115767626390544,Adult comp. (Ev),8,fungicide,no
