time,species,N,alpha_AA,alpha_PP
1,Annual,43547.77218405569,0.00114841054018751,0.0013363588551045
2,Annual,43547.59806675684,0.00114841054018751,0.0013363588551045
3,Annual,43546.68379536966,0.00114841054018751,0.0013363588551045
4,Annual,43541.60639966869,0.00114841054018751,0.0013363588551045
5,Annual,64504.28661048458,0.00114841054018751,0.0013363588551045
6,Annual,65455.59675622075,0.00114841054018751,0.0013363588551045
7,Annual,65503.00636200745,0.00114841054018751,0.0013363588551045
8,Annual,65512.27875276412,0.00114841054018751,0.0013363588551045
9,Annual,65516.35285500776,0.00114841054018751,0.0013363588551045
10,Annual,65518.14896226292,0.00114841054018751,0.0013363588551045
11,Annual,65518.89941530378,0.00114841054018751,0.0013363588551045
12,Annual,65519.20069221006,0.00114841054018751,0.0013363588551045
13,Annual,65519.31798562459,0.00114841054018751,0.0013363588551045
14,Annual,65519.3625040287,0.00114841054018751,0.0013363588551045
15,Annual,65519.379028602925,0.00114841054018751,0.0013363588551045
16,Annual,65519.38503816971,0.00114841054018751,0.0013363588551045
17,Annual,65519.38718136884,0.00114841054018751,0.0013363588551045
18,Annual,65519.387930966936,0.00114841054018751,0.0013363588551045
19,Annual,65519.38818791328,0.00114841054018751,0.0013363588551045
20,Annual,65519.38827409619,0.00114841054018751,0.0013363588551045
21,Annual,65519.388302303414,0.00114841054018751,0.0013363588551045
22,Annual,65519.388311271934,0.00114841054018751,0.0013363588551045
23,Annual,65519.38831402088,0.00114841054018751,0.0013363588551045
24,Annual,65519.38831482294,0.00114841054018751,0.0013363588551045
25,Annual,65519.388315040094,0.00114841054018751,0.0013363588551045
26,Annual,65519.38831509175,0.00114841054018751,0.0013363588551045
27,Annual,65519.38831510062,0.00114841054018751,0.0013363588551045
28,Annual,65519.38831510049,0.00114841054018751,0.0013363588551045
29,Annual,65519.38831509897,0.00114841054018751,0.0013363588551045
30,Annual,65519.38831509813,0.00114841054018751,0.0013363588551045
31,Annual,65519.38831509776,0.00114841054018751,0.0013363588551045
32,Annual,65519.388315097305,0.00114841054018751,0.0013363588551045
33,Annual,65519.38831509734,0.00114841054018751,0.0013363588551045
34,Annual,65519.388315097174,0.00114841054018751,0.0013363588551045
35,Annual,65519.388315097,0.00114841054018751,0.0013363588551045
36,Annual,65519.38831509699,0.00114841054018751,0.0013363588551045
37,Annual,65519.38831509711,0.00114841054018751,0.0013363588551045
38,Annual,65519.388315097225,0.00114841054018751,0.0013363588551045
39,Annual,65519.388315097,0.00114841054018751,0.0013363588551045
40,Annual,65519.38831509699,0.00114841054018751,0.0013363588551045
41,Annual,65519.388315097225,0.00114841054018751,0.0013363588551045
42,Annual,65519.388315097116,0.00114841054018751,0.0013363588551045
43,Annual,65519.38831509694,0.00114841054018751,0.0013363588551045
44,Annual,65519.388315097225,0.00114841054018751,0.0013363588551045
45,Annual,65519.388315097116,0.00114841054018751,0.0013363588551045
46,Annual,65519.38831509699,0.00114841054018751,0.0013363588551045
47,Annual,65519.38831509717,0.00114841054018751,0.0013363588551045
48,Annual,65519.388315097065,0.00114841054018751,0.0013363588551045
49,Annual,65519.38831509706,0.00114841054018751,0.0013363588551045
50,Annual,65519.38831509699,0.00114841054018751,0.0013363588551045
1,Perennial first-year,14160.61632515268,0.00114841054018751,0.0013363588551045
2,Perennial first-year,14160.423050633635,0.00114841054018751,0.0013363588551045
3,Perennial first-year,14159.357706212671,0.00114841054018751,0.0013363588551045
4,Perennial first-year,14153.632580839156,0.00114841054018751,0.0013363588551045
5,Perennial first-year,7408.369743913278,0.00114841054018751,0.0013363588551045
6,Perennial first-year,6090.961548012209,0.00114841054018751,0.0013363588551045
7,Perennial first-year,5757.306683836128,0.00114841054018751,0.0013363588551045
8,Perennial first-year,5663.842870841436,0.00114841054018751,0.0013363588551045
9,Perennial first-year,5638.196423221798,0.00114841054018751,0.0013363588551045
10,Perennial first-year,5631.790122288046,0.00114841054018751,0.0013363588551045
11,Perennial first-year,5630.510901374372,0.00114841054018751,0.0013363588551045
12,Perennial first-year,5630.419960335802,0.00114841054018751,0.0013363588551045
13,Perennial first-year,5630.51784652299,0.00114841054018751,0.0013363588551045
14,Perennial first-year,5630.598353990049,0.00114841054018751,0.0013363588551045
15,Perennial first-year,5630.6427006185695,0.00114841054018751,0.0013363588551045
16,Perennial first-year,5630.663761861269,0.00114841054018751,0.0013363588551045
17,Perennial first-year,5630.672990529993,0.00114841054018751,0.0013363588551045
18,Perennial first-year,5630.676828090471,0.00114841054018751,0.0013363588551045
19,Perennial first-year,5630.678364263118,0.00114841054018751,0.0013363588551045
20,Perennial first-year,5630.678961044783,0.00114841054018751,0.0013363588551045
21,Perennial first-year,5630.679187146629,0.00114841054018751,0.0013363588551045
22,Perennial first-year,5630.6792709388055,0.00114841054018751,0.0013363588551045
23,Perennial first-year,5630.679301366734,0.00114841054018751,0.0013363588551045
24,Perennial first-year,5630.679312202604,0.00114841054018751,0.0013363588551045
25,Perennial first-year,5630.679315986984,0.00114841054018751,0.0013363588551045
26,Perennial first-year,5630.679317282151,0.00114841054018751,0.0013363588551045
27,Perennial first-year,5630.679317715852,0.00114841054018751,0.0013363588551045
28,Perennial first-year,5630.679317857468,0.00114841054018751,0.0013363588551045
29,Perennial first-year,5630.679317902391,0.00114841054018751,0.0013363588551045
30,Perennial first-year,5630.679317916113,0.00114841054018751,0.0013363588551045
