time,species,N
1,Annual,10
2,Annual,639.455314648286
3,Annual,20907.356313367174
4,Annual,41673.58484691183
5,Annual,43288.128255178206
6,Annual,43471.79631533573
7,Annual,43519.7873877701
8,Annual,43537.07346573051
9,Annual,43543.661914503165
10,Annual,43546.19232995071
11,Annual,43547.164956861605
12,Annual,43547.53880286327
13,Annual,43547.682488600585
14,Annual,43547.73771172134
15,Annual,43547.75893547971
16,Annual,43547.767092306334
17,Annual,43547.770227174005
18,Annual,43547.77143197917
19,Annual,43547.7718950146
20,Annual,43547.77207297035
21,Annual,43547.7721413629
22,Annual,43547.77216764767
23,Annual,43547.772177749655
24,Annual,43547.772181632085
25,Annual,43547.7721831243
26,Annual,43547.77218369761
27,Annual,43547.77218391806
28,Annual,43547.7721840027
29,Annual,43547.7721840352
30,Annual,43547.7721840478
31,Annual,43547.77218405252
32,Annual,43547.77218405447
33,Annual,43547.77218405517
34,Annual,43547.77218405534
35,Annual,43547.772184055466
36,Annual,43547.77218405553
37,Annual,43547.77218405554
38,Annual,43547.77218405554
39,Annual,43547.77218405543
40,Annual,43547.7721840555
41,Annual,43547.772184055386
42,Annual,43547.7721840555
43,Annual,43547.77218405566
44,Annual,43547.77218405569
45,Annual,43547.77218405569
46,Annual,43547.77218405569
47,Annual,43547.77218405569
48,Annual,43547.77218405569
49,Annual,43547.77218405569
50,Annual,43547.77218405569
51,Annual,43547.77218405569
52,Annual,43547.77218405569
53,Annual,43547.77218405569
54,Annual,43547.77218405569
55,Annual,43547.77218405569
56,Annual,43547.77218405569
57,Annual,43547.77218405569
58,Annual,43547.77218405569
59,Annual,43547.77218405569
60,Annual,43547.77218405569
61,Annual,43547.77218405569
62,Annual,43547.77218405569
63,Annual,43547.77218405569
64,Annual,43547.77218405569
65,Annual,43547.77218405569
66,Annual,43547.77218405569
67,Annual,43547.77218405569
68,Annual,43547.77218405569
69,Annual,43547.77218405569
70,Annual,43547.77218405569
71,Annual,43547.77218405569
72,Annual,43547.77218405569
73,Annual,43547.77218405569
74,Annual,43547.77218405569
75,Annual,43547.77218405569
76,Annual,43547.77218405569
77,Annual,43547.77218405569
78,Annual,43547.77218405569
79,Annual,43547.77218405569
80,Annual,43547.77218405569
81,Annual,43547.77218405569
82,Annual,43547.77218405569
83,Annual,43547.77218405569
84,Annual,43547.77218405569
85,Annual,43547.77218405569
86,Annual,43547.77218405569
87,Annual,43547.77218405569
88,Annual,43547.77218405569
89,Annual,43547.77218405569
90,Annual,43547.77218405569
91,Annual,43547.77218405569
92,Annual,43547.77218405569
93,Annual,43547.77218405569
94,Annual,43547.77218405569
95,Annual,43547.77218405569
96,Annual,43547.77218405569
97,Annual,43547.77218405569
98,Annual,43547.77218405569
99,Annual,43547.77218405569
100,Annual,43547.77218405569
101,Annual,43547.77218405569
102,Annual,43547.77218405569
103,Annual,43547.77218405569
104,Annual,43547.77218405569
105,Annual,43547.77218405569
106,Annual,43547.77218405569
107,Annual,43547.77218405569
108,Annual,43547.77218405569
109,Annual,43547.77218405569
110,Annual,43547.77218405569
111,Annual,43547.77218405569
112,Annual,43547.77218405569
113,Annual,43547.77218405569
114,Annual,43547.77218405569
115,Annual,43547.77218405569
116,Annual,43547.77218405569
117,Annual,43547.77218405569
118,Annual,43547.77218405569
119,Annual,43547.77218405569
120,Annual,43547.77218405569
121,Annual,43547.77218405569
122,Annual,43547.77218405569
123,Annual,43547.77218405569
124,Annual,43547.77218405569
125,Annual,43547.77218405569
126,Annual,43547.77218405569
127,Annual,43547.77218405569
128,Annual,43547.77218405569
129,Annual,43547.77218405569
130,Annual,43547.77218405569
131,Annual,43547.77218405569
132,Annual,43547.77218405569
133,Annual,43547.77218405569
134,Annual,43547.77218405569
135,Annual,43547.77218405569
136,Annual,43547.77218405569
137,Annual,43547.77218405569
138,Annual,43547.77218405569
139,Annual,43547.77218405569
140,Annual,43547.77218405569
141,Annual,43547.77218405569
142,Annual,43547.77218405569
143,Annual,43547.77218405569
144,Annual,43547.77218405569
145,Annual,43547.77218405569
146,Annual,43547.77218405569
147,Annual,43547.77218405569
148,Annual,43547.77218405569
149,Annual,43547.77218405569
150,Annual,43547.77218405569
151,Annual,43547.77218405569
152,Annual,43547.77218405569
153,Annual,43547.77218405569
154,Annual,43547.77218405569
155,Annual,43547.77218405569
156,Annual,43547.77218405569
157,Annual,43547.77218405569
158,Annual,43547.77218405569
159,Annual,43547.77218405569
160,Annual,43547.77218405569
161,Annual,43547.77218405569
162,Annual,43547.77218405569
163,Annual,43547.77218405569
164,Annual,43547.77218405569
165,Annual,43547.77218405569
166,Annual,43547.77218405569
167,Annual,43547.77218405569
168,Annual,43547.77218405569
169,Annual,43547.77218405569
170,Annual,43547.77218405569
171,Annual,43547.77218405569
172,Annual,43547.77218405569
173,Annual,43547.77218405569
174,Annual,43547.77218405569
175,Annual,43547.77218405569
176,Annual,43547.77218405569
177,Annual,43547.77218405569
178,Annual,43547.77218405569
179,Annual,43547.77218405569
180,Annual,43547.77218405569
181,Annual,43547.77218405569
182,Annual,43547.77218405569
183,Annual,43547.77218405569
184,Annual,43547.77218405569
185,Annual,43547.77218405569
186,Annual,43547.77218405569
187,Annual,43547.77218405569
188,Annual,43547.77218405569
189,Annual,43547.77218405569
190,Annual,43547.77218405569
191,Annual,43547.77218405569
192,Annual,43547.77218405569
193,Annual,43547.77218405569
194,Annual,43547.77218405569
195,Annual,43547.77218405569
196,Annual,43547.77218405569
197,Annual,43547.77218405569
198,Annual,43547.77218405569
199,Annual,43547.77218405569
200,Annual,43547.77218405569
1,Perennial first-year,14801.881289574629
2,Perennial first-year,14798.780108658615
3,Perennial first-year,14687.337597579433
4,Perennial first-year,14436.58512340133
5,Perennial first-year,14273.39619181466
6,Perennial first-year,14204.45039027703
7,Perennial first-year,14177.525111740622
8,Perennial first-year,14167.125414014683
9,Perennial first-year,14163.119758639534
10,Perennial first-year,14161.578756117855
11,Perennial first-year,14160.986257970395
12,Perennial first-year,14160.758506484917
13,Perennial first-year,14160.670969940094
14,Perennial first-year,14160.637326615062
15,Perennial first-year,14160.624396540843
16,Perennial first-year,14160.619427183588
17,Perennial first-year,14160.617517337798
18,Perennial first-year,14160.616783337968
19,Perennial first-year,14160.616501244267
20,Perennial first-year,14160.61639282887
21,Perennial first-year,14160.616351162273
22,Perennial first-year,14160.616335148781
23,Perennial first-year,14160.616328994454
24,Perennial first-year,14160.616326629191
25,Perennial first-year,14160.616325720117
26,Perennial first-year,14160.61632537077
27,Perennial first-year,14160.616325236475
28,Perennial first-year,14160.616325184896
29,Perennial first-year,14160.616325165078
30,Perennial first-year,14160.616325157418
31,Perennial first-year,14160.616325154491
32,Perennial first-year,14160.616325153398
33,Perennial first-year,14160.616325152938
34,Perennial first-year,14160.616325152778
35,Perennial first-year,14160.616325152747
36,Perennial first-year,14160.616325152685
37,Perennial first-year,14160.616325152696
38,Perennial first-year,14160.616325152721
39,Perennial first-year,14160.616325152683
40,Perennial first-year,14160.616325152672
41,Perennial first-year,14160.616325152694
42,Perennial first-year,14160.616325152709
43,Perennial first-year,14160.616325152672
44,Perennial first-year,14160.616325152681
45,Perennial first-year,14160.616325152681
46,Perennial first-year,14160.616325152681
47,Perennial first-year,14160.616325152681
48,Perennial first-year,14160.616325152681
49,Perennial first-year,14160.616325152681
50,Perennial first-year,14160.616325152681
51,Perennial first-year,14160.616325152681
52,Perennial first-year,14160.616325152681
53,Perennial first-year,14160.616325152681
54,Perennial first-year,14160.616325152681
55,Perennial first-year,14160.616325152681
56,Perennial first-year,14160.616325152681
57,Perennial first-year,14160.616325152681
58,Perennial first-year,14160.616325152681
59,Perennial first-year,14160.616325152681
60,Perennial first-year,14160.616325152681
61,Perennial first-year,14160.616325152681
62,Perennial first-year,14160.616325152681
63,Perennial first-year,14160.616325152681
64,Perennial first-year,14160.616325152681
65,Perennial first-year,14160.616325152681
66,Perennial first-year,14160.616325152681
67,Perennial first-year,14160.616325152681
68,Perennial first-year,14160.616325152681
69,Perennial first-year,14160.616325152681
70,Perennial first-year,14160.616325152681
71,Perennial first-year,14160.616325152681
72,Perennial first-year,14160.616325152681
73,Perennial first-year,14160.616325152681
74,Perennial first-year,14160.616325152681
75,Perennial first-year,14160.616325152681
76,Perennial first-year,14160.616325152681
77,Perennial first-year,14160.616325152681
78,Perennial first-year,14160.616325152681
79,Perennial first-year,14160.616325152681
80,Perennial first-year,14160.616325152681
81,Perennial first-year,14160.616325152681
82,Perennial first-year,14160.616325152681
83,Perennial first-year,14160.616325152681
84,Perennial first-year,14160.616325152681
85,Perennial first-year,14160.616325152681
86,Perennial first-year,14160.616325152681
87,Perennial first-year,14160.616325152681
88,Perennial first-year,14160.616325152681
89,Perennial first-year,14160.616325152681
90,Perennial first-year,14160.616325152681
91,Perennial first-year,14160.616325152681
92,Perennial first-year,14160.616325152681
93,Perennial first-year,14160.616325152681
94,Perennial first-year,14160.616325152681
95,Perennial first-year,14160.616325152681
96,Perennial first-year,14160.616325152681
97,Perennial first-year,14160.616325152681
98,Perennial first-year,14160.616325152681
99,Perennial first-year,14160.616325152681
100,Perennial first-year,14160.616325152681
101,Perennial first-year,14160.616325152681
102,Perennial first-year,14160.616325152681
103,Perennial first-year,14160.616325152681
104,Perennial first-year,14160.616325152681
105,Perennial first-year,14160.616325152681
106,Perennial first-year,14160.616325152681
107,Perennial first-year,14160.616325152681
108,Perennial first-year,14160.616325152681
109,Perennial first-year,14160.616325152681
110,Perennial first-year,14160.616325152681
111,Perennial first-year,14160.616325152681
112,Perennial first-year,14160.616325152681
113,Perennial first-year,14160.616325152681
114,Perennial first-year,14160.616325152681
115,Perennial first-year,14160.616325152681
116,Perennial first-year,14160.616325152681
117,Perennial first-year,14160.616325152681
118,Perennial first-year,14160.616325152681
119,Perennial first-year,14160.616325152681
120,Perennial first-year,14160.616325152681
121,Perennial first-year,14160.616325152681
122,Perennial first-year,14160.616325152681
123,Perennial first-year,14160.616325152681
124,Perennial first-year,14160.616325152681
125,Perennial first-year,14160.616325152681
126,Perennial first-year,14160.616325152681
127,Perennial first-year,14160.616325152681
128,Perennial first-year,14160.616325152681
129,Perennial first-year,14160.616325152681
130,Perennial first-year,14160.616325152681
131,Perennial first-year,14160.616325152681
132,Perennial first-year,14160.616325152681
133,Perennial first-year,14160.616325152681
134,Perennial first-year,14160.616325152681
135,Perennial first-year,14160.616325152681
136,Perennial first-year,14160.616325152681
137,Perennial first-year,14160.616325152681
138,Perennial first-year,14160.616325152681
139,Perennial first-year,14160.616325152681
140,Perennial first-year,14160.616325152681
141,Perennial first-year,14160.616325152681
142,Perennial first-year,14160.616325152681
143,Perennial first-year,14160.616325152681
144,Perennial first-year,14160.616325152681
145,Perennial first-year,14160.616325152681
146,Perennial first-year,14160.616325152681
147,Perennial first-year,14160.616325152681
148,Perennial first-year,14160.616325152681
149,Perennial first-year,14160.616325152681
150,Perennial first-year,14160.616325152681
151,Perennial first-year,14160.616325152681
152,Perennial first-year,14160.616325152681
153,Perennial first-year,14160.616325152681
154,Perennial first-year,14160.616325152681
155,Perennial first-year,14160.616325152681
156,Perennial first-year,14160.616325152681
157,Perennial first-year,14160.616325152681
158,Perennial first-year,14160.616325152681
159,Perennial first-year,14160.616325152681
160,Perennial first-year,14160.616325152681
161,Perennial first-year,14160.616325152681
162,Perennial first-year,14160.616325152681
163,Perennial first-year,14160.616325152681
164,Perennial first-year,14160.616325152681
165,Perennial first-year,14160.616325152681
166,Perennial first-year,14160.616325152681
167,Perennial first-year,14160.616325152681
168,Perennial first-year,14160.616325152681
169,Perennial first-year,14160.616325152681
170,Perennial first-year,14160.616325152681
171,Perennial first-year,14160.616325152681
172,Perennial first-year,14160.616325152681
173,Perennial first-year,14160.616325152681
174,Perennial first-year,14160.616325152681
175,Perennial first-year,14160.616325152681
176,Perennial first-year,14160.616325152681
177,Perennial first-year,14160.616325152681
178,Perennial first-year,14160.616325152681
179,Perennial first-year,14160.616325152681
180,Perennial first-year,14160.616325152681
181,Perennial first-year,14160.616325152681
182,Perennial first-year,14160.616325152681
183,Perennial first-year,14160.616325152681
184,Perennial first-year,14160.616325152681
185,Perennial first-year,14160.616325152681
186,Perennial first-year,14160.616325152681
187,Perennial first-year,14160.616325152681
188,Perennial first-year,14160.616325152681
189,Perennial first-year,14160.616325152681
190,Perennial first-year,14160.616325152681
191,Perennial first-year,14160.616325152681
192,Perennial first-year,14160.616325152681
193,Perennial first-year,14160.616325152681
194,Perennial first-year,14160.616325152681
195,Perennial first-year,14160.616325152681
196,Perennial first-year,14160.616325152681
197,Perennial first-year,14160.616325152681
198,Perennial first-year,14160.616325152681
199,Perennial first-year,14160.616325152681
200,Perennial first-year,14160.616325152681
1,Perennial adult,39867.003892271954
2,Perennial adult,39868.06799781039
3,Perennial adult,39864.85599604717
4,Perennial adult,39733.923629836594
5,Perennial adult,39434.55183478908
6,Perennial adult,39076.63840942994
7,Perennial adult,38706.0589471749
8,Perennial adult,38339.23475133563
9,Perennial adult,37981.98022292484
10,Perennial adult,37636.20787046655
11,Perennial adult,37302.36702780007
12,Perennial adult,36980.358632540825
13,Perennial adult,36669.883185258994
14,Perennial adult,36370.57365737381
15,Perennial adult,36082.04616321958
16,Perennial adult,35803.91909707131
17,Perennial adult,35535.82017072894
18,Perennial adult,35277.388813615034
19,Perennial adult,35028.27680173347
20,Perennial adult,34788.14821654525
21,Perennial adult,34556.67915651929
22,Perennial adult,34333.557363463
23,Perennial adult,34118.48182557833
24,Perennial adult,33911.16238070871
25,Perennial adult,33711.31932846555
26,Perennial adult,33518.68305425626
27,Perennial adult,33332.99366606881
28,Perennial adult,33154.000644046515
29,Perennial adult,32981.46250258149
30,Perennial adult,32815.146464548285
31,Perennial adult,32654.828147267817
32,Perennial adult,32500.291259789454
33,Perennial adult,32351.327311087167
34,Perennial adult,32207.735328777762
35,Perennial adult,32069.32158798241
36,Perennial adult,31935.899349965828
37,Perennial adult,31807.288610200678
38,Perennial adult,31683.31585551729
39,Perennial adult,31563.81383001108
40,Perennial adult,31448.62130939187
41,Perennial adult,31337.582883470648
42,Perennial adult,31230.54874649035
43,Perennial adult,31127.37449501775
44,Perennial adult,31027.920933123838
45,Perennial adult,30932.05388458981
46,Perennial adult,30839.644011885313
47,Perennial adult,30750.566641674726
48,Perennial adult,30664.701596616098
49,Perennial adult,30581.933033225752
