Parameter,Treatment,Estimate
g_A,fungicide,0.7790495930251267
g_A,control,0.7610311715960317
g_P,fungicide,0.175834607708257
g_P,control,0.22173172862958834
c_A,fungicide,68.99645108166276
c_A,control,76.96477972486836
c_F,fungicide,7.776905415134249
c_F,control,8.469029471971313
c_P,fungicide,20.75015014674627
c_P,control,19.01929148056388
e_A,fungicide,0.9991679338426736
e_A,control,0.9889010131319416
e_P,fungicide,0.9932398497719315
e_P,control,0.9442422465682732
l_P,fungicide,0.9639378088468045
l_P,control,0.9462086413046557
n_P,fungicide,0.4183876650680405
n_P,control,0.4106924953760935
b_A,NA,0.031
b_F,NA,0.004
b_P,NA,0.031
gamma_A,NA,0.0011819944726425904
gamma_P,NA,4.999709405098041e-4
h,NA,5500
d,NA,0.59
s_P,NA,0.05
s_A,NA,0.15
dis_thresh,NA,0.15
