effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),-3.862491649047251,0.3563495528525545,-4.560028349967478,-3.169082529834305,1.0000260701229085,11015.107203239704
fixed,cond,NA,fungicide,0.6883750664021275,0.5298057139023633,-0.3667490118835811,1.6998564671365226,1.000085391779674,10117.137701788039
fixed,cond,NA,background_density,0.03617550394059994,0.012767856035642072,0.01133310431524285,0.06124381581224783,1.000161779768056,11278.312757690543
fixed,cond,NA,monthlate_aug,2.090604051641628,0.9006406858892578,0.3572218659814489,3.8423226536674338,1.0003566931185046,6716.063971339032
fixed,cond,NA,monthsep,1.4899789392331744,0.9094495282871332,-0.3046943681185998,3.2606317645703413,1.0002440395532959,7631.6543044591435
fixed,cond,NA,fungicide:background_density,-0.03251608708516959,0.01659519098567932,-0.06490747036099104,4.845667666499981e-4,1.0002373168876486,9439.057363556756
fixed,cond,NA,fungicide:monthlate_aug,-2.3230790133981447,1.0599558097646007,-4.343277283958224,-0.22328506423055172,1.0001283116543371,6969.376032300272
fixed,cond,NA,fungicide:monthsep,-3.554606961747959,1.117505971673094,-5.744565118050062,-1.3550745283206342,0.9999801716811131,7888.456098419844
fixed,cond,NA,background_density:monthlate_aug,-0.09873925734885841,0.07156496196194961,-0.23091577806653502,0.04979130592815913,1.0002714354894489,6870.840608815463
fixed,cond,NA,background_density:monthsep,-0.12401749567185252,0.07512475206179191,-0.26650311955600336,0.027142760492682733,1.0001633057548005,7707.363977947394
fixed,cond,NA,fungicide:background_density:monthlate_aug,0.1112901127780216,0.07332035377547276,-0.029532446416034017,0.25880195972778736,1.0001941683627764,6701.378455354672
fixed,cond,NA,fungicide:background_density:monthsep,0.14306117766345267,0.07686040367856932,-0.011690779146681166,0.28929719303434787,1.0001077847002124,7434.969041461542
ran_pars,cond,plotID,sd__(Intercept),0.27364526501372627,0.19363818326105603,7.228161899851108e-6,0.6427754562481593,1.0001842011710549,6085.562399402213
ran_pars,cond,plotID:plantID,sd__(Intercept),0.23903456441090812,0.1726871000513389,3.145190217530255e-5,0.5655877550330055,1.0003368165153563,6555.957636980758
ran_pars,cond,Residual,sd__Observation,1.4556700824191822,0.10680060430992853,1.252385385087163,1.667646393275214,1.0001517882830016,16614.501214640135
