term,estimate,std.error,conf.low,conf.high
intercept,2.4878865013091356,0.1817943568621144,2.1386348163272366,2.8521483722388594
adult Ev focal,-0.9446043610802318,0.21035928727050343,-1.3599312786169941,-0.5302269197222341
1st yr Ev focal,-2.29769129797498,0.154441881371848,-2.5988769553287727,-1.9961496961927392
fungicide,0.06683037025907378,0.2542798769413358,-0.43302595460281795,0.5633052769894121
biomass,-8.119897656463502e-4,9.179896223551569e-4,-0.0026425464212916808,9.548648304386115e-4
adult Ev focal:fungicide,-0.5458729032724801,0.3016171760387761,-1.1357320281922665,0.04215265181374234
1st yr Ev focal:fungicide,0.16552630864142495,0.22314796152130717,-0.2723508795054636,0.5995810995580019
biomass:adult Ev bckgrd,0.0013060982871929102,0.005196480986737448,-0.00907479862756858,0.01130287694902562
biomass:1st yr Ev bckgrd,0.009752119314346039,0.006618397774505893,-0.0033346179435590757,0.02246139161168203
adult Ev focal:biomass,2.6526917831169885e-4,0.001060943339054412,-0.0017899094750158681,0.0023772983292047615
1st yr Ev focal:biomass,4.1555383423545e-4,7.713724023142002e-4,-0.001096485446503272,0.0019210620198869214
fungicide:biomass,1.308939427793415e-4,0.0011478433408683814,-0.0020792251454917073,0.002414677346673009
adult Ev focal:biomass:adult Ev bckgrd,-0.00858265534112473,0.006829294914292365,-0.022030477977368484,0.004795231044511685
1st yr Ev focal:biomass:adult Ev bckgrd,-6.184897584681845e-4,0.004523986877093703,-0.00934901005420015,0.008354169540553394
adult Ev focal:biomass:1st yr Ev bckgrd,-0.0059616393173046655,0.007914019413643043,-0.02157242244872283,0.009465519238035475
1st yr Ev focal:biomass:1st yr Ev bckgrd,4.833835576282427e-4,0.0058554482227312545,-0.011027871705365526,0.011936984597064043
fungicide:biomass:adult Ev bckgrd,0.007053206644928478,0.0070333205884852024,-0.006516386799583931,0.02098530627787629
fungicide:biomass:1st yr Ev bckgrd,-0.004351061228594548,0.008780799109342714,-0.021300923471892476,0.01329920380541733
adult Ev focal:fungicide:biomass,6.330413150116445e-4,0.0013457390410187308,-0.0020415246364509257,0.0032436271935017275
1st yr Ev focal:fungicide:biomass,-2.8898261221231217e-4,9.772846397997368e-4,-0.0022087785865384916,0.0016316318316901227
adult Ev focal:fungicide:biomass:adult Ev bckgrd,0.012776899035636028,0.00972249251334236,-0.006284835331518973,0.03178101984456257
1st yr Ev focal:fungicide:biomass:adult Ev bckgrd,-0.004488593799059165,0.006237919860688023,-0.01683458162832886,0.007757550772639825
adult Ev focal:fungicide:biomass:1st yr Ev bckgrd,0.01418703630248059,0.01054273648794301,-0.00635478464143393,0.03491029235146123
1st yr Ev focal:fungicide:biomass:1st yr Ev bckgrd,0.002841590039457466,0.007893466358997236,-0.012609062431874662,0.018376453926553266
random intercept: plot,0.44155690666756664,0.05177088566057655,0.34883090760310503,0.5525968773032927
sigma,0.5939147182807728,0.02144630810348218,0.5530773913579076,0.6379037361545806
