Covariate,Estimate_16,Est.Error_16,l-95% CI_16,u-95% CI_16,Estimate_20,Est.Error_20,l-95% CI_20,u-95% CI_20
(Intercept),-2.7042427170512755,0.16830782854454138,-3.042457074421594,-2.38174381625399,-1.4923245444452573,0.14901825579193914,-1.7896613126787833,-1.2071418597876387
1st yr comp,0.708082673619134,0.31513411276164954,0.09491997849912653,1.3120470280284184,-0.830296652360253,0.34144308691238323,-1.5132232785813273,-0.17575930756990432
adult comp,0.7552667237916149,0.3113060301128356,0.11660344203156556,1.3365098572393759,-0.7637967390483784,0.3697803347706436,-1.5083254175779879,-0.06843508837190374
fung,-0.4645668343500455,0.2478035282697586,-0.9567195104227764,0.022222835253992542,-1.3431579651283316,0.23539454046178424,-1.8071803324937419,-0.8807809462857886
src invader,0.030275594432637238,0.284589244411269,-0.5591002593862493,0.5607946149260933,0.25096732666116145,0.09630434745059606,0.059175282653876615,0.44211420047894856
src 1st yr,0.056178498315461525,0.06967326755102679,-0.0887392775691676,0.18583162033823955,0.07270458065989426,0.06837190843101364,-0.06273188940837561,0.20489903248518773
src adult,0.039110935485395876,0.10211456428506618,-0.17168746527074136,0.22989186820773383,0.061826855715573587,0.10475684911380066,-0.15140492735219294,0.26046154698281354
src surr,0.014370388625945123,0.008089737636372826,-0.001830720102615052,0.03021080214310901,NA,NA,NA,NA
1st yr comp:fung,0.36907783393961363,0.4037986179697468,-0.40785660832302484,1.1695157912737737,0.7018897673899195,0.41638660136437566,-0.12163460665694548,1.5174108913624826
adult comp:fung,0.029538644039760018,0.4241727336974961,-0.7949978537517869,0.8664106695209357,0.9896425450463179,0.4831403922762543,0.040705279215395344,1.9325951325370374
1st yr comp:src invader,0.07202725351553381,0.395418447360941,-0.7250787009686557,0.8372041996282918,-0.49347433309203803,0.5454413881173114,-1.5840944907095602,0.5636745051283547
adult comp:src invader,0.378037149594012,0.5367286733353269,-0.7226220663548779,1.4095676692362653,-0.24141606321574366,0.2045380384050383,-0.6863833960618253,0.11987777844247614
1st yr comp:src 1st yr,0.41951022443903385,0.2841916945722813,-0.16131014137090569,0.9572411726969674,-0.1194361104341203,0.11730660956852662,-0.36984871126123203,0.09227317008742428
adult comp:src 1st yr,-0.0027714358253749945,0.16540082517004187,-0.3535416781316181,0.30159131903088504,-0.48405000774762674,0.2897539266590781,-1.1085069735258053,0.022149297084175217
1st yr comp:src adult,0.3365077945417236,0.24763980916552625,-0.18596572476648965,0.791462296713686,-0.44223335266265745,0.4938948751533924,-1.5060811628872706,0.44170148692254546
adult comp:src adult,-0.15361941126057038,0.290114384422577,-0.7949691074011587,0.34002376543909435,-0.27650835052716394,0.8343845928850496,-1.9383101235546556,1.3403955801180008
1st yr comp:src surr,-0.024117923734167514,0.014054071595819954,-0.052127510919436224,0.0032442274514386175,NA,NA,NA,NA
adult comp:src surr,-0.05192546301160914,0.023705110897880428,-0.1010814678081131,-0.007934161272022285,NA,NA,NA,NA
fung:src invader,0.14363904391621182,0.47805948982804586,-0.8326042064565414,1.0545143377324369,0.05655467768397226,0.3922169798109066,-0.7291297506088928,0.8025926183266376
fung:src 1st yr,-0.048766554328822966,0.1354592345608181,-0.3258804989609759,0.20958370617820438,-0.07954813962485306,0.2022234584800453,-0.49292631418333677,0.3016673587820398
fung:src adult,-0.16873514825936606,0.2682310857584202,-0.7215100463463966,0.3257363037641486,0.04348086671586844,0.26307226164187897,-0.49406333358650295,0.5347466598064599
fung:src surr,-0.021385427825881063,0.015862653118738378,-0.05330236313166038,0.008878971635618522,NA,NA,NA,NA
1st yr comp:fung:src invader,-0.30743990674356836,0.6872154094647237,-1.6913156155079367,0.9907803943381688,0.6016603229594959,0.6965530981346065,-0.791578478170353,1.9423415986965105
adult comp:fung:src invader,0.4584379398419041,0.7092377332217061,-0.9381633442672667,1.8456961402102023,0.05596436777264097,0.6905028129120897,-1.3445556047284108,1.377592996120924
1st yr comp:fung:src 1st yr,0.0760320162927807,0.3985506373049438,-0.71730421273656,0.8494877953260155,-0.012201349130196007,0.2931104647677141,-0.5962661675052333,0.5455668611683475
adult comp:fung:src 1st yr,0.07917971892128381,0.22757341122945107,-0.35733815806182695,0.5342791603808861,0.07049367997566398,0.7798906529506319,-1.530586833133385,1.5268403034716507
1st yr comp:fung:src adult,0.13233232750631135,0.735419257574654,-1.3413873613805618,1.5422854102229593,0.3289896318839448,0.886389752786145,-1.4710874075338984,2.0382133791996444
adult comp:fung:src adult,-0.07842572944520931,0.6392123804766084,-1.3909634285476704,1.1478547503299028,-0.07824569013859005,0.9467820297936084,-1.925577232881281,1.779018320529142
1st yr comp:fung:src surr,-0.0053886127273428935,0.02595333910347594,-0.05701993751328768,0.04538236435724112,NA,NA,NA,NA
adult comp:fung:src surr,0.0440329745860417,0.03263037448768324,-0.020104223914599966,0.10858846590052253,NA,NA,NA,NA
