effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),-6.032056627133804,0.37049614055386887,-6.713224002029851,-5.2689672554292155,1.0003621445141553,3656.6998848310654
fixed,cond,NA,fungicide,0.570143231720305,0.5345652947960013,-0.5036915487346829,1.6071669463236746,1.0010086333626567,3643.814347381453
fixed,cond,NA,background_density,0.09363117990751571,0.08020428968985478,-0.062030541427831494,0.2536393667321143,1.0008024263574158,3534.7047210048727
fixed,cond,NA,monthlate_aug,2.317507405868698,0.33295580442899037,1.6760772785205806,2.9826988064577846,1.0003617817636703,5056.007944771289
fixed,cond,NA,monthsep,3.5582899724636996,0.3349462660513935,2.894213241314016,4.210000329016912,1.0002316341289847,5443.036085957717
fixed,cond,NA,fungicide:background_density,-0.18637073545614233,0.12069870160306821,-0.4237319349592931,0.04950104138102239,1.0015166187342357,3558.5838606082434
fixed,cond,NA,fungicide:monthlate_aug,-2.064239209002146,0.49761421408595957,-3.0017874431400076,-1.0514894112306228,1.0003537793921247,4867.0801792739885
fixed,cond,NA,fungicide:monthsep,-2.5384060703154487,0.4958309894994131,-3.533095623905354,-1.5771622476857485,1.000439490285304,5180.4757549758615
fixed,cond,NA,background_density:monthlate_aug,-0.004796238069435402,0.07387612260950543,-0.1458528228952638,0.14563383504481492,1.0001819549015112,5097.243988940578
fixed,cond,NA,background_density:monthsep,-0.02499219001876378,0.07600800134968469,-0.1756246750501663,0.12449251044320539,1.0001857770604112,5395.937141555588
fixed,cond,NA,fungicide:background_density:monthlate_aug,0.12615111736856865,0.11238148756786273,-0.09298323965794288,0.34535773492896027,1.0003512266539945,4991.814725143894
fixed,cond,NA,fungicide:background_density:monthsep,0.17538267358097545,0.11584338312247136,-0.05722099156647853,0.3991463587084109,1.0002982748775608,5389.350370617919
ran_pars,cond,plotID,sd__(Intercept),0.7027646418568062,0.1405531418190577,0.4443861352458162,0.9760995638932579,1.0010272972281955,4683.733678753124
ran_pars,cond,plotID:plantID,sd__(Intercept),0.16764414418538506,0.11529179873457389,6.219892426080638e-8,0.38287065980771295,1.0009765356556803,3237.284123647947
ran_pars,cond,Residual,sd__Observation,1.0413949970851848,0.05315207136641767,0.9379053214578335,1.145933919549161,1.0003879749233806,11359.921719617569
