effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),-5.1707542184730295,0.38961924560191075,-5.924623392077167,-4.3981280568930305,1.0004022164545525,4894.56918512624
fixed,cond,NA,fungicide,-0.6289942105541672,0.554860505461182,-1.695607876174439,0.47890085208401095,1.0003710717242194,4780.929358449001
fixed,cond,NA,background_density,-0.012607514100857269,0.011911536606529554,-0.03704507020555867,0.009978549353084653,1.000395204211378,5449.077042923774
fixed,cond,NA,monthlate_aug,1.7334188995111532,0.3003549490097806,1.1530009623563702,2.3284211913451447,1.0000401103256644,9529.514526816336
fixed,cond,NA,monthsep,2.9774674416900977,0.3034750197289347,2.381468302937627,3.568616485297037,1.0001844215595233,9340.626912129464
fixed,cond,NA,fungicide:background_density,0.0128470801041386,0.017020986432424903,-0.02026627541930403,0.04653078908841786,1.0002328173707544,5412.901984750776
fixed,cond,NA,fungicide:monthlate_aug,-1.4922964077350218,0.44193121219206083,-2.384627703738631,-0.6505261751785106,0.9999731158829415,9698.944216633845
fixed,cond,NA,fungicide:monthsep,-1.5624938760149698,0.4364933171718692,-2.427858226038172,-0.7131300452340278,1.0000805371118333,9922.487700889644
fixed,cond,NA,background_density:monthlate_aug,0.010413145641818545,0.00920597835813058,-0.007652268746631033,0.028610114186727254,0.9999562448346548,9283.633697657404
fixed,cond,NA,background_density:monthsep,0.019152461014547865,0.009424961390061081,4.4155808834751625e-4,0.03712089587373579,1.0002294064973678,9482.347445525078
fixed,cond,NA,fungicide:background_density:monthlate_aug,1.973176659213398e-4,0.013494481908995258,-0.027183864981091963,0.026439464901046275,1.0001829792974595,8942.492786796747
fixed,cond,NA,fungicide:background_density:monthsep,-0.021396213248249047,0.013615417283804526,-0.048805127056836053,0.004297839129348399,1.0000420921790432,9655.7789559457
ran_pars,cond,plotID,sd__(Intercept),0.9943854361352567,0.16348097163140204,0.7087417612522565,1.3386676510939057,0.9999549429690927,5168.3702384098315
ran_pars,cond,plotID:plantID,sd__(Intercept),0.1263999697387216,0.09357506709482165,4.418382601688008e-6,0.30298764959242713,1.000284887440971,7184.283967556519
ran_pars,cond,Residual,sd__Observation,1.0958092073903547,0.05424614025443473,0.9967791352276665,1.2085658684480878,1.0000005634912372,15714.277760145857
