time,species,N,Parameter,Estimate
1,Annual,43547.77218405569,r_A,0.01
2,Annual,27700.797711571617,r_A,0.01
3,Annual,21958.51066149743,r_A,0.01
4,Annual,19523.114751900863,r_A,0.01
5,Annual,18431.3989361845,r_A,0.01
6,Annual,17938.15816191025,r_A,0.01
7,Annual,17719.888459956943,r_A,0.01
8,Annual,17627.541661306303,r_A,0.01
9,Annual,17591.369865033073,r_A,0.01
10,Annual,17579.09284418332,r_A,0.01
11,Annual,17576.209034336935,r_A,0.01
12,Annual,17576.511946740746,r_A,0.01
13,Annual,17577.54218047402,r_A,0.01
14,Annual,17578.452134635554,r_A,0.01
15,Annual,17579.03711172253,r_A,0.01
16,Annual,17579.316711823154,r_A,0.01
17,Annual,17579.366861298196,r_A,0.01
18,Annual,17579.260561328265,r_A,0.01
19,Annual,17579.052512922546,r_A,0.01
20,Annual,17578.779388064388,r_A,0.01
21,Annual,17578.46427972035,r_A,0.01
22,Annual,17578.12123638941,r_A,0.01
23,Annual,17577.758693253552,r_A,0.01
24,Annual,17577.381797846516,r_A,0.01
25,Annual,17576.993848766975,r_A,0.01
26,Annual,17576.59716265074,r_A,0.01
27,Annual,17576.193561584863,r_A,0.01
28,Annual,17575.784637848956,r_A,0.01
29,Annual,17575.371889487298,r_A,0.01
30,Annual,17574.956783128433,r_A,0.01
31,Annual,17574.540776802856,r_A,0.01
32,Annual,17574.12532168907,r_A,0.01
33,Annual,17573.71185173609,r_A,0.01
34,Annual,17573.301771299142,r_A,0.01
35,Annual,17572.896437136584,r_A,0.01
36,Annual,17572.49714229069,r_A,0.01
37,Annual,17572.105101233697,r_A,0.01
38,Annual,17571.72143555927,r_A,0.01
39,Annual,17571.34716459278,r_A,0.01
40,Annual,17570.98319447555,r_A,0.01
41,Annual,17570.63031962012,r_A,0.01
42,Annual,17570.289206498543,r_A,0.01
43,Annual,17569.960402136392,r_A,0.01
44,Annual,17569.644335434303,r_A,0.01
45,Annual,17569.341314353085,r_A,0.01
46,Annual,17569.051540323933,r_A,0.01
47,Annual,17568.77510929461,r_A,0.01
48,Annual,17568.512020383278,r_A,0.01
49,Annual,17568.262186088275,r_A,0.01
50,Annual,17568.025434454048,r_A,0.01
1,Perennial first-year,14160.61632515268,r_A,0.01
2,Perennial first-year,14207.919658396415,r_A,0.01
3,Perennial first-year,14316.800243779666,r_A,0.01
4,Perennial first-year,14393.99866927772,r_A,0.01
5,Perennial first-year,14437.124324819746,r_A,0.01
6,Perennial first-year,14459.36678737061,r_A,0.01
7,Perennial first-year,14470.370931287713,r_A,0.01
8,Perennial first-year,14475.630591182364,r_A,0.01
9,Perennial first-year,14478.048396874323,r_A,0.01
10,Perennial first-year,14479.10166947213,r_A,0.01
11,Perennial first-year,14479.521079542932,r_A,0.01
12,Perennial first-year,14479.6577681536,r_A,0.01
13,Perennial first-year,14479.674979881935,r_A,0.01
14,Perennial first-year,14479.645498872347,r_A,0.01
15,Perennial first-year,14479.599960957139,r_A,0.01
